
[00:00:00.000 --> 00:00:02.940]  各位捕蟲的弟兄姊妹主內平安
[00:00:02.940 --> 00:00:07.800]  這一次只能透過錄影直播的方式與大家見面
[00:00:07.800 --> 00:00:11.640]  對我來說實在是無奈也是遺憾
[00:00:11.640 --> 00:00:16.600]  因爲你們當中的一部分弟兄姊妹是我很久沒有見面了
[00:00:16.600 --> 00:00:18.440]  我常常想念你們
[00:00:18.440 --> 00:00:23.940]  可惜星期天這個時段我是要帶到另外一個成長班
[00:00:23.940 --> 00:00:27.000]  而且成長班以後還有其他聚會
[00:00:27.000 --> 00:00:31.600]  所以其實我是很期待能夠在這個地方
[00:00:31.600 --> 00:00:34.960]  與一些老朋友見見面聊聊天
[00:00:34.960 --> 00:00:39.260]  可是這一次的暫停來得非常突然
[00:00:39.260 --> 00:00:42.140]  令人措手不及
[00:00:42.140 --> 00:00:44.660]  短短的兩三個星期
[00:00:44.660 --> 00:00:48.540]  確診的數字是從幾十到幾百
[00:00:48.540 --> 00:00:54.200]  幾千甚至到有些人說破萬是肯定的
[00:00:54.200 --> 00:00:59.440]  我們說疫情的急促的惡化
[00:00:59.440 --> 00:01:02.040]  很多無奈的事都在發生
[00:01:02.040 --> 00:01:06.260]  面對非個人能力所能抵抗的
[00:01:06.260 --> 00:01:09.800]  那我們能做什麼呢
[00:01:09.800 --> 00:01:12.860]  我寫這段文字的時候想的是什麼呢
[00:01:12.860 --> 00:01:17.100]  想的是我們手機上面在傳播的
[00:01:17.100 --> 00:01:20.540]  都是哪裏有淺淺哪裏有微風
[00:01:20.540 --> 00:01:25.600]  甚至呢我們在想如何避免中病毒
[00:01:25.600 --> 00:01:28.660]  但是到這兩天
[00:01:28.660 --> 00:01:32.140]  我相信大家手機上面傳的是什麼
[00:01:32.140 --> 00:01:36.500]  是蓮花清溫的在哪裏買
[00:01:36.500 --> 00:01:41.140]  然後快速測試的在哪裏能夠團購
[00:01:41.140 --> 00:01:45.060]  我們從能避免中毒病毒到現在
[00:01:45.060 --> 00:01:47.940]  幾乎大家都在準備
[00:01:47.940 --> 00:01:52.460]  如果我中病毒的時候我怎麼處理
[00:01:52.460 --> 00:01:55.860]  這種心態的轉變對很多人來說
[00:01:55.860 --> 00:01:58.700]  有些人是認爲是好的
[00:01:58.700 --> 00:02:01.500]  但有些人是認爲這樣是非常無奈
[00:02:01.500 --> 00:02:05.060]  甚至是委屈無力的事情
[00:02:05.060 --> 00:02:07.840]  所以我想請大家想一想
[00:02:07.840 --> 00:02:10.500]  我們對抗的是在外在的環境
[00:02:10.500 --> 00:02:12.760]  現在外在的危機的時候
[00:02:12.760 --> 00:02:15.440]  我們可以調整我們的心態
[00:02:15.440 --> 00:02:18.260]  仰望永恆
[00:02:18.260 --> 00:02:19.600]  投靠上帝
[00:02:19.600 --> 00:02:21.600]  期待上帝的公義
[00:02:21.600 --> 00:02:23.300]  但你有沒有想過
[00:02:23.300 --> 00:02:25.660]  在你面對無理委屈的時候
[00:02:25.660 --> 00:02:27.460]  不甘心的時候
[00:02:27.460 --> 00:02:31.500]  上帝如果沉默沒有回應
[00:02:31.500 --> 00:02:33.560]  你怎麼辦
[00:02:33.560 --> 00:02:38.500]  如果在我們這種長期的忍耐當中
[00:02:38.500 --> 00:02:41.640]  我們會有怎樣的心態呢
[00:02:41.640 --> 00:02:45.740]  今天這段經文所說的哈娜
[00:02:45.740 --> 00:02:48.400]  她面對這樣的處境
[00:02:48.400 --> 00:02:50.540]  她是如何面對的呢
[00:02:50.540 --> 00:02:53.740]  我相信大家對這段經文肯定有印象
[00:02:53.740 --> 00:02:55.600]  甚至是熟悉
[00:02:55.600 --> 00:02:57.840]  因爲今年年頭的時候
[00:02:57.840 --> 00:02:59.860]  我們弟兄姊妹在查經
[00:02:59.860 --> 00:03:02.260]  就查過這段經文
[00:03:02.260 --> 00:03:04.740]  我們大家都知道她的委屈
[00:03:04.740 --> 00:03:06.500]  後來我們當然知道
[00:03:06.500 --> 00:03:09.200]  這段經文的結局是開心的
[00:03:09.200 --> 00:03:14.040]  但你知道悲劇是怎麼樣扭轉過來的嗎
[00:03:14.040 --> 00:03:17.840]  從現身委屈到看見恩典
[00:03:17.840 --> 00:03:22.500]  有什麼方法我們能從當中歸納出來的呢
[00:03:22.500 --> 00:03:25.400]  我們是不是什麼都不用做
[00:03:25.400 --> 00:03:29.740]  坐在哪兒而等待神蹟的出現呢
[00:03:29.740 --> 00:03:30.960]  如果不是
[00:03:30.960 --> 00:03:32.800]  那我們要做的是什麼
[00:03:32.800 --> 00:03:38.540]  所以今天我們從經文來一起學習
[00:03:38.540 --> 00:03:40.960]  以法聯三弟的拉瑪索菲
[00:03:40.960 --> 00:03:43.200]  有一個以法聯人
[00:03:43.200 --> 00:03:44.800]  名叫以利迦納
[00:03:44.800 --> 00:03:47.540]  是蘇福的元孫
[00:03:47.540 --> 00:03:49.000]  託護的曾孫
[00:03:49.000 --> 00:03:50.800]  以利護的孫子
[00:03:50.800 --> 00:03:53.800]  也羅漢的兒子
[00:03:53.800 --> 00:03:56.600]  其實我不用唸書經文了
[00:03:56.600 --> 00:03:58.700]  其實等大家去看
[00:03:58.700 --> 00:04:00.840]  但我提你看一些
[00:04:00.840 --> 00:04:03.300]  我專門在那些經文上面
[00:04:03.300 --> 00:04:05.460]  專門標註出來的
[00:04:05.460 --> 00:04:06.640]  一名哈娜
[00:04:06.640 --> 00:04:08.040]  一名比利納
[00:04:08.040 --> 00:04:10.900]  其實這兩個字形容詞的時候
[00:04:10.900 --> 00:04:13.360]  是有兩個不同的形容詞
[00:04:13.360 --> 00:04:15.460]  一個是第一一個是第二
[00:04:15.460 --> 00:04:18.840]  然後後面他提到的呢
[00:04:18.840 --> 00:04:24.040]  哈娜沒有兒女排在後面
[00:04:24.040 --> 00:04:25.840]  比利納有兒女
[00:04:25.840 --> 00:04:27.100]  哈娜沒有兒女
[00:04:27.100 --> 00:04:30.240]  這是符合當時的文化
[00:04:30.240 --> 00:04:34.300]  但是前面一名哈娜一名比利納
[00:04:34.300 --> 00:04:36.360]  這好像有點不符合
[00:04:36.360 --> 00:04:40.160]  因爲當時吾子對婦女來說
[00:04:40.160 --> 00:04:43.240]  是巨大的侵入
[00:04:43.240 --> 00:04:49.900]  他被人視爲是神不讓他有兒子
[00:04:49.900 --> 00:04:55.360]  甚至他可能有機會喪失妻子的權利
[00:04:55.360 --> 00:04:58.440]  被人趕離夫家
[00:04:58.440 --> 00:05:01.000]  所以然後我們一起看下去
[00:05:01.000 --> 00:05:03.560]  第三節他那裏提到的
[00:05:03.560 --> 00:05:06.040]  是他們到四羅去獻志
[00:05:06.040 --> 00:05:07.600]  敬拜上帝
[00:05:07.600 --> 00:05:12.400]  然後第四節
[00:05:12.400 --> 00:05:15.800]  伊利加納他每逢獻志的時候
[00:05:15.800 --> 00:05:18.960]  繼肉這個字其實原文不是繼肉
[00:05:18.960 --> 00:05:21.540]  原文是應得的份
[00:05:21.540 --> 00:05:27.560]  他將應得的份分給他有兒女的妻子
[00:05:27.560 --> 00:05:31.840]  這是符合當時的摩西律法
[00:05:31.840 --> 00:05:38.500]  然後他給哈娜的合本本是翻譯爲雙份
[00:05:38.500 --> 00:05:43.840]  但有一些不同的譯本會翻譯是哪個一份
[00:05:43.840 --> 00:05:46.240]  那是他原文是怎麼說呢
