
[00:00:00.000 --> 00:00:02.000]  各位頂節妹晚安
[00:00:02.000 --> 00:00:04.860]  讓我們先打開今天的《聖經》
[00:00:04.860 --> 00:00:10.940]  今天《聖經》是《馬可福音》第十章十七到三十一節
[00:00:10.940 --> 00:00:13.700]  頂節妹這段經文熟不熟啊?
[00:00:13.700 --> 00:00:15.500]  很熟啊,很多頂節妹都額晒頭了
[00:00:15.500 --> 00:00:18.140]  因為這段經文常常都會聽到的
[00:00:18.140 --> 00:00:19.720]  當我預備今天跟大家分享的時候
[00:00:19.720 --> 00:00:21.180]  打開經課看到
[00:00:21.180 --> 00:00:24.380]  一節非常熟的經文
[00:00:24.380 --> 00:00:27.080]  甚至我發現大約在三年前一五年的時候
[00:00:27.080 --> 00:00:29.380]  我在這裡跟大家分享過這段《聖經》
[00:00:29.380 --> 00:00:30.600]  記不記得?
[00:00:30.600 --> 00:00:32.260]  當然不記得了,三年怎會記得
[00:00:32.260 --> 00:00:33.600]  牧師聽了這麼多
[00:00:33.600 --> 00:00:35.520]  所以如果今天你聽完之後發覺
[00:00:35.520 --> 00:00:36.720]  有些東西還想聽多一點
[00:00:36.720 --> 00:00:38.520]  那你上網找找吧,三年前
[00:00:38.520 --> 00:00:42.920]  當時我用的題目是生命中所缺少的一件事
[00:00:42.920 --> 00:00:45.220]  為什麼今天重新再講這段經文呢?
[00:00:45.220 --> 00:00:48.320]  一方面它是經課,很重要,被我們提醒
[00:00:48.320 --> 00:00:51.360]  另一方面讓我想起很多的思緒
[00:00:51.360 --> 00:00:53.160]  話說有一年,很多年前
[00:00:53.160 --> 00:00:56.060]  我跟師母和朋友去美國旅行
[00:00:56.060 --> 00:00:57.660]  很多很多年前了
[00:00:57.660 --> 00:00:59.960]  去到美國旅行的時候,當中其中一個很特別的節目
[00:00:59.960 --> 00:01:00.980]  是什麼節目呢?
[00:01:00.980 --> 00:01:04.220]  就是去看當時的一些酒店
[00:01:04.220 --> 00:01:05.240]  怎麼去看酒店呢?
[00:01:05.240 --> 00:01:06.640]  當時很流行的一件事就是
[00:01:06.640 --> 00:01:08.520]  它鼓勵你來看看一些酒店
[00:01:08.520 --> 00:01:11.680]  然後去推銷一些酒店的套餐
[00:01:11.680 --> 00:01:14.100]  然後你就可以參與那些酒店
[00:01:14.100 --> 00:01:15.040]  譬如你給一些錢
[00:01:15.040 --> 00:01:16.880]  每年可以租那間酒店住多少晚
[00:01:16.880 --> 00:01:18.280]  然後你就可以享受酒店
[00:01:18.280 --> 00:01:19.580]  類似的套餐
[00:01:19.580 --> 00:01:21.000]  我們就去那裡觀光
[00:01:21.000 --> 00:01:22.440]  當時在美國的一個地方
[00:01:22.440 --> 00:01:24.240]  一個度假酒店,也挺漂亮的
[00:01:24.240 --> 00:01:27.820]  去到酒店,那個推銷的銷售員就問了一個問題
[00:01:27.820 --> 00:01:29.880]  他第一個問題就是
[00:01:29.880 --> 00:01:32.900]  你想不想做百萬富翁?
[00:01:32.900 --> 00:01:35.760]  他用英文問的,你想不想做百萬富翁?
[00:01:35.760 --> 00:01:38.680]  當時我們三個就看著他
[00:01:38.680 --> 00:01:40.760]  搖頭
[00:01:40.760 --> 00:01:41.760]  然後他很驚訝
[00:01:41.760 --> 00:01:44.840]  我懷疑他從來沒有試過這一招銷售不行的
[00:01:44.840 --> 00:01:46.000]  應該第一句就是
[00:01:46.000 --> 00:01:47.440]  百萬富翁就有這個享受
[00:01:47.440 --> 00:01:50.200]  多漂亮的海景,最漂亮的酒店
[00:01:50.200 --> 00:01:51.400]  當時我們搖了搖頭
[00:01:51.400 --> 00:01:53.680]  他再問一句,你是不是想做百萬富翁?
[00:01:53.680 --> 00:01:55.400]  我們都搖了搖頭
[00:01:55.400 --> 00:01:57.400]  然後他應該是懷疑我們英文的能力
[00:01:57.400 --> 00:01:59.960]  他就問,你知不知道什麼叫做百萬富翁?
[00:01:59.960 --> 00:02:01.480]  我說知道
[00:02:01.480 --> 00:02:02.840]  然後他再問
[00:02:02.840 --> 00:02:04.360]  那你想不想做百萬富翁?
[00:02:04.360 --> 00:02:07.280]  我們三個不約而同都搖了搖頭
[00:02:07.280 --> 00:02:09.200]  他看著我們一個苦笑
[00:02:09.200 --> 00:02:10.520]  然後沒辦法推銷下去
[00:02:10.520 --> 00:02:12.440]  因為他的計劃應該是從那裡開始
[00:02:12.440 --> 00:02:13.960]  結果就推銷不成
[00:02:13.960 --> 00:02:15.960]  我們之後就離開
[00:02:15.960 --> 00:02:18.000]  離開的時候我們聊天就聊
[00:02:18.000 --> 00:02:21.360]  為什麼我們搖頭的百萬富翁
[00:02:21.360 --> 00:02:23.840]  因為一百萬其實沒什麼錢
[00:02:23.840 --> 00:02:26.680]  百萬富翁哪裡是富翁
[00:02:26.680 --> 00:02:29.240]  我小時候經常聽百萬富翁
[00:02:29.240 --> 00:02:30.720]  甚至記得電視台有個節目
[00:02:30.720 --> 00:02:34.320]  是不是有一些百萬的文答比賽遊戲
[00:02:34.320 --> 00:02:35.720]  一百萬又不是什麼錢
[00:02:35.720 --> 00:02:39.040]  就算美國美金幾百萬是什麼錢呢?
[00:02:39.040 --> 00:02:40.080]  一百萬當然很多
[00:02:40.080 --> 00:02:41.800]  對我來說很多,我沒有
[00:02:41.800 --> 00:02:43.640]  但是其實百萬不是很多
[00:02:43.640 --> 00:02:45.840]  今時今日政府說的那些不知多少
[00:02:45.840 --> 00:02:48.480]  萬億不就是一百萬的一百萬
[00:02:48.480 --> 00:02:52.720]  總之很多就不知什麼事
[00:02:52.720 --> 00:02:55.240]  錢這個數字我很差的
[00:02:55.240 --> 00:02:56.080]  所以我看節目時常說
[00:02:56.080 --> 00:02:57.640]  牧師你不太理會錢的數字
[00:02:57.640 --> 00:02:59.280]  我說我一向都很差
[00:02:59.280 --> 00:03:00.560]  但是我經常想
[00:03:00.560 --> 00:03:02.360]  一百萬在這個世代真的不是很多
[00:03:02.360 --> 00:03:05.000]  香港有多少百萬富翁你知道嗎?
[00:03:05.000 --> 00:03:05.840]  不知道
[00:03:05.840 --> 00:03:07.760]  你身邊有多少百萬富翁你知道嗎?
