
[00:00:00.000 --> 00:00:03.000]  各位帶子媒,我們返回上帝的說話,好嗎?
[00:00:03.000 --> 00:00:05.000]  我們去到《士郎行傳》第四章尾
[00:00:05.000 --> 00:00:11.000]  我們有一個系列,一直由年頭到現在是誇圓
[00:00:11.000 --> 00:00:14.000]  在這一年裏面,我們希望記得這個字
[00:00:14.000 --> 00:00:16.000]  Crossover,或者是誇圓
[00:00:16.000 --> 00:00:18.000]  我們希望能夠去挑戰到各位
[00:00:18.000 --> 00:00:21.000]  如果你是信耶穌的話,我們是信主的話
[00:00:21.000 --> 00:00:24.000]  我們基督徒的生命應該要繼續去Crossover
[00:00:24.000 --> 00:00:27.000]  應該要繼續去Challenge我們自己
[00:00:27.000 --> 00:00:29.000]  離開我們自己安心的地方
[00:00:29.000 --> 00:00:33.000]  所以我們不斷在說《士郎行傳》
[00:00:33.000 --> 00:00:37.000]  第一章開始,到現在已經到第四章
[00:00:37.000 --> 00:00:39.000]  不如我們看看這段聖經
[00:00:39.000 --> 00:00:41.000]  有兩個point我想說的
[00:00:41.000 --> 00:00:47.000]  就是當時克勒初期的教會是一個彼此分享的團體
[00:00:47.000 --> 00:00:50.000]  並且是一個彼此願意去問責
[00:00:50.000 --> 00:00:54.000]  在上帝面前願意被問責,keep accountable
[00:00:54.000 --> 00:00:59.000]  在整個社群裏面,願意keep accountable 的一個群體
[00:00:59.000 --> 00:01:02.000]  如果你有聖經的話,跟我一起打開
[00:01:02.000 --> 00:01:04.000]  去《士郎行傳》第四章尾這個地方
[00:01:04.000 --> 00:01:07.000]  這樣去描述當時的教會
[00:01:07.000 --> 00:01:10.000]  可以算是聖靈的第二次降臨
[00:01:10.000 --> 00:01:13.000]  你記得第一次降臨是甚麼時候嗎?
[00:01:13.000 --> 00:01:17.000]  是五巡節的時候,第二章的時候
[00:01:17.000 --> 00:01:19.000]  這個算是第二次了
[00:01:19.000 --> 00:01:22.000]  四章三十一節裏面說甚麼呢?
[00:01:22.000 --> 00:01:25.000]  他說這個教會他們受迫害的時候
[00:01:25.000 --> 00:01:27.000]  有很多壓力的時候,他們就禱告
[00:01:27.000 --> 00:01:31.000]  求上帝給他們力量,然後聚會的地方震動
[00:01:31.000 --> 00:01:35.000]  他們都被聖靈充滿放膽傳講上帝的道
[00:01:35.000 --> 00:01:37.000]  聖靈又再次充滿他們
[00:01:37.000 --> 00:01:42.000]  許多信徒都一心一意,沒有一人說他的任何東西是自己的
[00:01:42.000 --> 00:01:47.000]  大家共融,試圖以大能見證主耶穌復活
[00:01:47.000 --> 00:01:49.000]  眾人亦都蒙了大恩
[00:01:49.000 --> 00:01:53.000]  他們當中沒有一個缺乏的
[00:01:53.000 --> 00:01:57.000]  因為凡有田產房屋的都敗了
[00:01:57.000 --> 00:02:01.000]  把所賣的錢拿來,放在使徒的面前
[00:02:01.000 --> 00:02:04.000]  照每個人所需要的分給各人
[00:02:04.000 --> 00:02:07.000]  這個第一點就是,講到這個社群
[00:02:07.000 --> 00:02:11.000]  講到他們是給錢能夠去分享的
[00:02:11.000 --> 00:02:13.000]  你有沒有留意在《小郎傳》裏面
[00:02:13.000 --> 00:02:15.000]  或者甚至整本聖經裏面
[00:02:15.000 --> 00:02:17.000]  上帝不是救一個人的
[00:02:17.000 --> 00:02:19.000]  不是救你一個個體
[00:02:19.000 --> 00:02:22.000]  另外救一個個體,然後大家分開
[00:02:22.000 --> 00:02:25.000]  永遠都是組成一個新的子民
[00:02:25.000 --> 00:02:28.000]  一班新的人,一個新的家庭
[00:02:28.000 --> 00:02:31.000]  一個新的社群,一個新的community
[00:02:31.000 --> 00:02:33.000]  一個新的community
[00:02:33.000 --> 00:02:35.000]  這個社群能夠成長
[00:02:35.000 --> 00:02:38.000]  能夠去跨出他們自己的界限
[00:02:38.000 --> 00:02:41.000]  去到侍奉其他的種族
[00:02:41.000 --> 00:02:43.000]  侍奉其他的語言方言的人
[00:02:43.000 --> 00:02:46.000]  都不是一個人講到的事
[00:02:46.000 --> 00:02:49.000]  因為這裏第四章做一個總結的時候
[00:02:49.000 --> 00:02:51.000]  它說初期的教會從三眼開始
[00:02:51.000 --> 00:02:55.000]  並非是一個人講到很叻
[00:02:55.000 --> 00:02:58.000]  大家知道彼得講到第二章五巡節的時候
[00:02:58.000 --> 00:03:00.000]  吸引了很多人來信主,是不是?
[00:03:00.000 --> 00:03:03.000]  但是他總結的時候隻字不提
[00:03:03.000 --> 00:03:06.000]  沒有提到因為有一個講到的很叻
[00:03:06.000 --> 00:03:07.000]  也都沒有講到說
[00:03:07.000 --> 00:03:10.000]  有一班人,有一班領袖,他們很巴閉
[00:03:10.000 --> 00:03:13.000]  而是整個群體一心一意的
[00:03:13.000 --> 00:03:17.000]  每個人來去貢獻在這個群體裏面
[00:03:17.000 --> 00:03:20.000]  這就是聖經信仰那個特別的地方
[00:03:20.000 --> 00:03:23.000]  聖經信仰和其他宗教是很不同的
[00:03:23.000 --> 00:03:26.000]  其他宗教是一個人你自己搞定
[00:03:26.000 --> 00:03:28.000]  你figure out philosophy
[00:03:28.000 --> 00:03:31.000]  那個idea,那就足夠了
[00:03:31.000 --> 00:03:32.000]  但是聖經的信仰
[00:03:32.000 --> 00:03:34.000]  由始至終耶穌基督的信仰
[00:03:34.000 --> 00:03:35.000]  都不是一個人的事
