
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 各位朋友平安
[00:00:03.000 --> 00:00:11.500]  今天早上我在紐西蘭的海灘陪大家讀聖經
[00:00:11.500 --> 00:00:15.500]  我不知道在你人生中有沒有仇敵
[00:00:15.500 --> 00:00:17.500]  你說當然有
[00:00:17.500 --> 00:00:21.500]  有些人很壞的 專門作弄我
[00:00:21.500 --> 00:00:24.500]  你可能被同事害過
[00:00:24.500 --> 00:00:30.500]  你可能被親戚煽動到很慘
[00:00:30.500 --> 00:00:35.500]  甚至你可能被弟兄姊妹欺騙過
[00:00:35.500 --> 00:00:40.500]  有些人就說他是主內的 是信主的
[00:00:40.500 --> 00:00:42.500]  不如找他幫忙吧
[00:00:42.500 --> 00:00:46.500]  誰不知就被人害到很慘
[00:00:46.500 --> 00:00:52.500]  我想我們都試過受迫害那種感覺
[00:00:52.500 --> 00:00:55.500]  今天很想跟大家思想的
[00:00:55.500 --> 00:00:59.500]  就是詩篇143篇
[00:00:59.500 --> 00:01:02.500]  這篇詩是大衛所作
[00:01:02.500 --> 00:01:06.500]  在中文聖經裏面有個標題
[00:01:06.500 --> 00:01:11.500]  就是仇敵迫伯求主救脫
[00:01:11.500 --> 00:01:15.500]  救他脫離仇敵的迫伯
[00:01:15.500 --> 00:01:18.500]  大家都知道在詩篇裏面
[00:01:18.500 --> 00:01:22.500]  有一類的詩篇我們稱為懺悔詩
[00:01:22.500 --> 00:01:26.500]  就是詩人帶著一個很迫切的禱告
[00:01:26.500 --> 00:01:28.500]  神啊 你要聽我祈禱
[00:01:28.500 --> 00:01:31.500]  神啊 為什麼你還不來救拔我
[00:01:31.500 --> 00:01:33.500]  我真是很苦啊
[00:01:33.500 --> 00:01:36.500]  這些就叫做懺悔詩
[00:01:36.500 --> 00:01:39.500]  在詩篇150篇裏面
[00:01:39.500 --> 00:01:43.500]  懺悔詩一共有7篇
[00:01:43.500 --> 00:01:49.500]  143篇是7篇裏面最後的一篇
[00:01:49.500 --> 00:01:52.500]  或者我都讀一讀其他的6篇
[00:01:52.500 --> 00:02:00.500]  第6篇 30篇 38篇 51篇
[00:02:00.500 --> 00:02:07.500]  102篇和130篇 26篇懺悔詩
[00:02:07.500 --> 00:02:12.500]  加起來143篇 剛剛好是7篇
[00:02:12.500 --> 00:02:16.500]  大家都知道在猶太人來說
[00:02:16.500 --> 00:02:20.500]  7是一個完整的數目
[00:02:20.500 --> 00:02:24.500]  所以詩篇裏面一共有7篇懺悔詩
[00:02:24.500 --> 00:02:27.500]  到底這篇詩是誰作的呢
[00:02:27.500 --> 00:02:31.500]  標題很清楚 大衛的詩
[00:02:31.500 --> 00:02:35.500]  大衛是詩篇這卷書裏面
[00:02:35.500 --> 00:02:38.500]  最重要的一位作者
[00:02:38.500 --> 00:02:42.500]  而在拉丁文的譯本裏面
[00:02:42.500 --> 00:02:46.500]  就說由希伯來文翻譯成拉丁文
[00:02:46.500 --> 00:02:51.500]  拉丁文的譯本其中一本最出名的
[00:02:51.500 --> 00:02:54.500]  就叫做武大加譯本
[00:02:54.500 --> 00:02:57.500]  或者有些人翻譯成武加大
[00:02:57.500 --> 00:02:59.500]  武加大道的
[00:02:59.500 --> 00:03:01.500]  我們那時讀神學就大家說笑
[00:03:01.500 --> 00:03:04.500]  你有沒有加大 我沒有加大
[00:03:04.500 --> 00:03:07.500]  就是這本拉丁文的譯本
