
[00:00:00.000 --> 00:00:03.000]  我們接著一起來思想聖經的訊息
[00:00:03.000 --> 00:00:05.000]  大家和我在一起仰望祈禱
[00:00:05.000 --> 00:00:15.000]  天父我們感謝你
[00:00:15.000 --> 00:00:20.000]  因為你每一天每一天帶領我們走人生的路
[00:00:20.000 --> 00:00:24.000]  你都來到去吩咐我們
[00:00:24.000 --> 00:00:27.000]  要行在你自己的光當中
[00:00:27.000 --> 00:00:31.000]  主我們知道你的說話不單止是指導
[00:00:31.000 --> 00:00:33.000]  更加是帶著能力
[00:00:33.000 --> 00:00:36.000]  當我們來到聽從的時候
[00:00:36.000 --> 00:00:38.000]  給我們生命的力量
[00:00:38.000 --> 00:00:42.000]  來行在你自己的路上
[00:00:42.000 --> 00:00:45.000]  因此主如今我們再次向主等候
[00:00:45.000 --> 00:00:48.000]  渴望主賜下你自己聖經的說話
[00:00:48.000 --> 00:00:51.000]  你自己的聖靈的能力
[00:00:51.000 --> 00:00:54.000]  叫我們可以行在你的路上
[00:00:54.000 --> 00:00:57.000]  蒙受你要賜下的恩惠
[00:00:57.000 --> 00:00:58.000]  求你施恩
[00:00:58.000 --> 00:01:01.000]  帶領我們繼續一起思想聖經的時間
[00:01:01.000 --> 00:01:03.000]  我們仰望祈禱
[00:01:03.000 --> 00:01:05.000]  奉耶穌聖名求
[00:01:05.000 --> 00:01:06.000]  阿們
[00:01:24.000 --> 00:01:27.000]  主要的一個訊息
[00:01:27.000 --> 00:01:30.000]  就好像我們現在所講及的
[00:01:30.000 --> 00:01:34.000]  是一邊行一邊瞓
[00:01:34.000 --> 00:01:37.000]  在日間當行路的時候
[00:01:37.000 --> 00:01:40.000]  一邊行一邊瞓覺
[00:01:40.000 --> 00:01:45.000]  這就是聖經裏面包含了一種沉睡的含義
[00:01:45.000 --> 00:01:47.000]  當然如果在實際生活上
[00:01:47.000 --> 00:01:50.000]  如果你能夠一邊行一邊瞓覺
[00:01:50.000 --> 00:01:53.000]  你的技術都很高超
[00:01:53.000 --> 00:01:56.000]  我相信沒有誰可以這樣做
[00:01:56.000 --> 00:01:59.000]  但當然有些人能夠這樣做
[00:01:59.000 --> 00:02:01.000]  我們叫他們做甚麼?
[00:02:01.000 --> 00:02:04.000]  做夢遊
[00:02:04.000 --> 00:02:06.000]  我真的認識一個親人
[00:02:06.000 --> 00:02:09.000]  他的家庭有一次去到一個地方旅行
[00:02:09.000 --> 00:02:12.000]  半夜的時候全部人都睡了
[00:02:12.000 --> 00:02:14.000]  突然間酒店的員工走來敲門
[00:02:14.000 --> 00:02:17.000]  帶了一個小童
[00:02:17.000 --> 00:02:19.000]  小童哥是不是你們的?
[00:02:19.000 --> 00:02:20.000]  他說是呀
[00:02:20.000 --> 00:02:22.000]  女兒怎會走出去的呢?
[00:02:22.000 --> 00:02:26.000]  原來小孩子半夜夢遊
[00:02:26.000 --> 00:02:29.000]  出去酒店周圍的地方
[00:02:29.000 --> 00:02:31.000]  一個人周圍走
[00:02:31.000 --> 00:02:33.000]  經過游泳池
[00:02:33.000 --> 00:02:35.000]  可能遇到一些陌生人
[00:02:35.000 --> 00:02:37.000]  最終被員工發現
[00:02:37.000 --> 00:02:40.000]  問及他你從哪裏來的?
[00:02:40.000 --> 00:02:41.000]  在哪間房?
[00:02:41.000 --> 00:02:43.000]  他才醒過來
[00:02:43.000 --> 00:02:46.000]  但他不知道自己住哪間房
[00:02:46.000 --> 00:02:49.000]  所以經過一輪查察敲門之後
[00:02:49.000 --> 00:02:54.000]  才找他的父母帶他進去
[00:02:54.000 --> 00:02:58.000]  如果一邊走一邊睡覺
[00:02:58.000 --> 00:03:01.000]  或者你覺得很有效率
[00:03:01.000 --> 00:03:03.000]  可以一邊工作一邊睡覺
[00:03:03.000 --> 00:03:05.000]  但另一方面你會很清楚知道
[00:03:05.000 --> 00:03:08.000]  這種情況是極其危險的情形
[00:03:08.000 --> 00:03:10.000]  隨時會遇到意外
[00:03:10.000 --> 00:03:15.000]  甚至是很多的傷亡
[00:03:15.000 --> 00:03:20.000]  聖經講述一個情況就是人既然在白天生活
[00:03:20.000 --> 00:03:23.000]  就不應該沉睡
[00:03:23.000 --> 00:03:25.000]  亦都意味著屬神的人
[00:03:25.000 --> 00:03:27.000]  既然是屬於白日
[00:03:27.000 --> 00:03:29.000]  聖經稱為白日之子
[00:03:29.000 --> 00:03:31.000]  白晝之子
[00:03:31.000 --> 00:03:33.000]  就不應該沉睡
[00:03:33.000 --> 00:03:35.000]  所以在聖經第五章
[00:03:35.000 --> 00:03:37.000]  貼在你的前書
[00:03:37.000 --> 00:03:40.000]  正是勉勵我們要留心
[00:03:40.000 --> 00:03:43.000]  不要在白日來沉睡
[00:03:43.000 --> 00:03:49.000]  大家請先看聖經第五章第二節
[00:04:13.000 --> 00:04:16.000]  這個日子沒有人能夠避開
[00:04:16.000 --> 00:04:20.000]  請用兩個比喻來描述這種情況
[00:04:20.000 --> 00:04:22.000]  第一種情況就是說
[00:04:22.000 --> 00:04:26.000]  主的日子來到好像夜間的賊來到一樣
[00:04:26.000 --> 00:04:28.000]  夜間的賊來到
[00:04:28.000 --> 00:04:31.000]  是不會事先通知你的
[00:04:31.000 --> 00:04:33.000]  亦都不會打電話給你
[00:04:33.000 --> 00:04:35.000]  今晚三點半鐘來
[00:04:35.000 --> 00:04:37.000]  時間對不對
[00:04:37.000 --> 00:04:39.000]  不會和你商量
[00:04:39.000 --> 00:04:41.000]  不會和你預約
[00:04:41.000 --> 00:04:46.000]  是會在你完全意想不到
[00:04:46.000 --> 00:04:48.000]  沒有預料到的情況
[00:04:48.000 --> 00:04:51.000]  出其不意突然間會出現
[00:04:51.000 --> 00:04:54.000]  聖經就描述主耶穌的在來
[00:04:54.000 --> 00:04:58.000]  是沒有人能夠預料何時
[00:04:58.000 --> 00:05:00.000]  是突然間出來
[00:05:00.000 --> 00:05:02.000]  出現的情況
[00:05:02.000 --> 00:05:04.000]  聖經又再說
[00:05:04.000 --> 00:05:05.000]  主耶穌在來的時候
[00:05:05.000 --> 00:05:09.000]  好像婦人懷胎生產的時候的情形
[00:05:09.000 --> 00:05:11.000]  第三節
[00:05:11.000 --> 00:05:14.000]  人正在說平安穩妥的時候
[00:05:14.000 --> 00:05:18.000]  毀滅性的災禍就突然臨到他們
[00:05:18.000 --> 00:05:22.000]  好像生產的痛苦臨到懷胎的婦人一樣
[00:05:22.000 --> 00:05:25.000]  她們絕不能逃脫
[00:05:25.000 --> 00:05:28.000]  一位女士要生產孩子的時候
[00:05:28.000 --> 00:05:31.000]  她沒錯大概預計到是何時
[00:05:31.000 --> 00:05:34.000]  但當胎兒要出生的時候
[00:05:34.000 --> 00:05:36.000]  她不可以說
[00:05:36.000 --> 00:05:38.000]  這個時候不是多方便
[00:05:38.000 --> 00:05:41.000]  我正在享受一頓豐富的晚餐
[00:05:41.000 --> 00:05:44.000]  孩子請你遲一點來
[00:05:44.000 --> 00:05:48.000]  是不可以將事情推延的
[00:05:48.000 --> 00:05:52.000]  不可以去改變那個時刻
[00:05:52.000 --> 00:05:55.000]  她要去接受那個時刻
[00:05:55.000 --> 00:05:57.000]  是不可以逃避開的
[00:05:57.000 --> 00:05:59.000]  聖經就說到這種情況
[00:05:59.000 --> 00:06:01.000]  當主來到日子的時候
[00:06:01.000 --> 00:06:03.000]  既然我們不能夠逃避開
[00:06:03.000 --> 00:06:07.000]  也不能夠作所謂的預備
[00:06:07.000 --> 00:06:12.000]  反而我們是常作準備
[00:06:12.000 --> 00:06:14.000]  沒有預料到是何時
[00:06:14.000 --> 00:06:16.000]  但是常作準備
[00:06:16.000 --> 00:06:20.000]  就是一種真正的回應的態度
[00:06:20.000 --> 00:06:21.000]  正因為這樣的情況
[00:06:21.000 --> 00:06:24.000]  聖經就說我們要面對將來神的審判
[00:06:24.000 --> 00:06:27.000]  但是這個時候我們作為神的子民
[00:06:27.000 --> 00:06:29.000]  要怎樣去作準備呢?
[00:06:29.000 --> 00:06:31.000]  因此第五節就再說
[00:06:31.000 --> 00:06:36.000]  「你們都是光明之子、白晝之子
[00:06:36.000 --> 00:06:38.000]  我們不是屬於黑夜的
[00:06:38.000 --> 00:06:41.000]  也不是屬於黑暗的
[00:06:41.000 --> 00:06:44.000]  是光明之子相對於黑暗」
[00:06:44.000 --> 00:06:49.000]  黑暗也意味著在罪惡的權勢之下
[00:06:49.000 --> 00:06:53.000]  在罪惡的捆綁之中
[00:06:53.000 --> 00:06:55.000]  但不是在黑暗當中
[00:06:55.000 --> 00:06:59.000]  也意味著是屬於光明的
