
[00:00:00.000 --> 00:00:02.140]  領姊妹主內平安
[00:00:02.140 --> 00:00:06.900]  今天我想和大家講一篇有關傳福音的信息
[00:00:06.900 --> 00:00:08.200]  在年頭的時候
[00:00:08.200 --> 00:00:10.060]  盼望我們能夠彼此鼓勵
[00:00:10.060 --> 00:00:13.280]  將神的福音傳開
[00:00:13.280 --> 00:00:18.800]  這是我們最應該在新年的時候要有的新年立志
[00:00:18.800 --> 00:00:19.940]  不過很多時候
[00:00:19.940 --> 00:00:22.400]  當我們去到年尾回顧的時候
[00:00:22.400 --> 00:00:24.020]  結果是怎樣呢?
[00:00:24.020 --> 00:00:28.880]  結果很多時候我們都是希望明年再加把勁
[00:00:28.880 --> 00:00:30.800]  明年繼續努力
[00:00:30.800 --> 00:00:34.600]  不知道你有沒有試過這樣的經驗
[00:00:34.600 --> 00:00:38.280]  領姊妹當我們去傳福音的時候
[00:00:38.280 --> 00:00:43.360]  最叫我們停滯不前的是甚麼原因呢?
[00:00:43.360 --> 00:00:45.640]  可以有不同的情況 有不同的原因
[00:00:45.640 --> 00:00:50.260]  但我相信其中一個最常見的原因是恐懼
[00:00:50.260 --> 00:00:52.160]  我們試試回想一下
[00:00:52.160 --> 00:00:54.820]  當我們想傳福音的時候
[00:00:54.820 --> 00:00:57.640]  我們會害怕被人拒絕
[00:00:57.640 --> 00:01:01.400]  我們會害怕別人的目光
[00:01:01.400 --> 00:01:06.340]  害怕壓上我們和人與人之間的關係
[00:01:06.340 --> 00:01:10.760]  擔心沒意思去講我們自己的故事
[00:01:10.760 --> 00:01:12.940]  擔心我們自己的見證
[00:01:12.940 --> 00:01:18.840]  是否要我們所講的、所傳的來相稱等等
[00:01:18.840 --> 00:01:21.500]  在一些對基督教不友善的地區
[00:01:21.500 --> 00:01:24.980]  傳福音更加可能會帶來不同的危險
[00:01:24.980 --> 00:01:28.000]  今日我想繼續和大家一同思想
[00:01:28.000 --> 00:01:30.680]  《貼撒羅尼加前書》的訊息
[00:01:30.680 --> 00:01:35.180]  題目是「放開膽量傳揚神的福音」
[00:01:35.180 --> 00:01:39.400]  我們會看《貼撒羅尼加前書》二章上半部分
[00:01:39.400 --> 00:01:44.780]  是有關保羅對他傳福音、對他宣教工作的辯護
[00:01:44.780 --> 00:01:47.180]  從中讓我們一同思想
[00:01:47.180 --> 00:01:52.140]  一同學習保羅的膽量和他的心腸
