
[00:00:00.000 --> 00:00:07.000]  不知道在大家身邊,有沒有這些人經常存在在你的身邊?
[00:00:07.000 --> 00:00:10.500]  我不知道你的身邊是不是有這麼一些人在你身邊?
[00:00:10.500 --> 00:00:12.500]  這是什麼樣的人呢?
[00:00:12.500 --> 00:00:17.000]  這個人總是為你留下一些東西讓你做的。
[00:00:17.000 --> 00:00:20.000]  他留下一些手尾讓你去做。
[00:00:20.000 --> 00:00:22.500]  俗稱叫留下一些手尾讓你撿的。
[00:00:22.500 --> 00:00:25.500]  就是要你去跟他收拾手尾。
[00:00:25.500 --> 00:00:30.000]  很多時候在工作場合裏面有這樣的人。
[00:00:30.000 --> 00:00:32.000]  在工作場合裏面有這樣的人。
[00:00:32.000 --> 00:00:36.000]  在你家裏也可能有好幾個這樣的人。
[00:00:36.000 --> 00:00:39.000]  在你家裏可能也有好幾個這樣的人。
[00:00:39.000 --> 00:00:44.000]  我曾經在香港工作的時候,在一間商行裏面做會計。
[00:00:44.000 --> 00:00:48.000]  我曾經在香港工作的時候,在一間商行做會計。
[00:00:48.000 --> 00:00:55.000]  做會計除了每個月要將所有公司的數入去電腦之外,
[00:00:55.000 --> 00:00:58.500]  做會計除了每個月要將所有公司的數入去電腦之外,
[00:00:58.500 --> 00:01:00.500]  做會計除了每個月要將所有公司的數入去電腦之外,
[00:01:00.500 --> 00:01:02.500]  還要做很多分析報告。
[00:01:02.500 --> 00:01:07.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:07.500 --> 00:01:08.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:08.500 --> 00:01:09.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:09.000 --> 00:01:09.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:09.500 --> 00:01:10.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:10.000 --> 00:01:10.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:10.500 --> 00:01:26.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:01:40.500 --> 00:02:04.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:02:11.500 --> 00:02:40.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:02:40.500 --> 00:02:51.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:02:51.000 --> 00:03:18.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:03:21.000 --> 00:03:48.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:03:48.500 --> 00:03:52.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:03:52.000 --> 00:03:52.500]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:03:52.500 --> 00:04:03.000]  還要做很多分析報告,為我們的主管提供很多的資料,
[00:04:03.000 --> 00:04:04.000]  還要做很多分析報告,為我們的主管提供很多的資料,
