
[00:00:00.000 --> 00:00:05.500]  在香港,我們每天的生活都是多姿多彩的
[00:00:05.500 --> 00:00:12.000]  但是我們經歷的是自我的世代
[00:00:12.000 --> 00:00:15.500]  全球的經歷是自拍的世代
[00:00:15.500 --> 00:00:20.500]  而在香港,我們進入一個虛荒的世代
[00:00:20.500 --> 00:00:22.500]  為什麼這麼說呢?
[00:00:22.500 --> 00:00:27.000]  虛荒的意思是我們覺得是無伶兩可
[00:00:27.000 --> 00:00:30.000]  甚至覺得意亂情迷
[00:00:30.000 --> 00:00:34.000]  甚至我們覺得不知道什麼是正確
[00:00:34.000 --> 00:00:41.000]  虛荒的世代正是香港所身處的一個境況
[00:00:41.000 --> 00:00:43.000]  今天跟大家分享的題目就是
[00:00:43.000 --> 00:00:47.000]  在虛荒的世代活出真風聖
[00:00:47.000 --> 00:00:49.000]  為什麼說是虛荒的世代
[00:00:49.000 --> 00:00:51.000]  或者我們說在香港的地方
[00:00:51.000 --> 00:00:55.000]  因為我們在報紙,在互聯網,在電視機
[00:00:55.000 --> 00:00:58.000]  無日無之都告訴我們
[00:00:58.000 --> 00:01:04.000]  是騙人的,是欺騙,是騙局
[00:01:04.000 --> 00:01:06.000]  我們有時不忿的就是
[00:01:06.000 --> 00:01:10.000]  巧取豪奪
[00:01:10.000 --> 00:01:14.000]  在我們日常運用的互聯網
[00:01:14.000 --> 00:01:20.000]  我們一些叫做社交平台,念書
[00:01:20.000 --> 00:01:23.000]  我們從起初運用到現在
[00:01:23.000 --> 00:01:28.000]  我們相信就是建立這個念書的創辦人
[00:01:28.000 --> 00:01:30.000]  一位猶太人的青年人
[00:01:30.000 --> 00:01:34.000]  他的初心就是讓人與人之間
[00:01:34.000 --> 00:01:38.000]  能夠交換生活上的細節
[00:01:38.000 --> 00:01:43.000]  還有透過相片的分享了解你的狀況
[00:01:43.000 --> 00:01:45.000]  我們都是用到整個城市
[00:01:45.000 --> 00:01:49.000]  或者我們每天都用這個平台
[00:01:49.000 --> 00:01:53.000]  你去聯絡,你發一張相片的時候
