
[00:00:00.000 --> 00:00:05.520]  好 今天我都要和大家思考著繼續創世紀
[00:00:05.520 --> 00:00:08.460]  因為隔著了那個螢幕
[00:00:08.460 --> 00:00:11.860]  可能我這裡是夜晚
[00:00:11.860 --> 00:00:16.740]  所以可能狀態的反應未必像平時那麼活躍
[00:00:16.740 --> 00:00:18.580]  那麼大反應也不一定
[00:00:18.580 --> 00:00:20.300]  但是我們一起去學習
[00:00:20.300 --> 00:00:24.080]  隔著都可以一起繼續去學習新的說話
[00:00:24.080 --> 00:00:26.400]  我們一起有個祈禱
[00:00:26.400 --> 00:00:27.860]  好 親愛的主我們願意
[00:00:27.860 --> 00:00:31.640]  將我們今天繼續思考上大地的說話的時間
[00:00:31.640 --> 00:00:32.860]  加在你手裡面
[00:00:32.860 --> 00:00:35.820]  幫助我們 幫助我們去聽得明白
[00:00:35.820 --> 00:00:39.540]  幫助我們了解 幫助我們能夠去用出來
[00:00:39.540 --> 00:00:41.220]  劉主你就帶領我們一起
[00:00:41.220 --> 00:00:42.820]  在這段崇拜的時間裡面
[00:00:42.820 --> 00:00:45.740]  去思考《創世紀》裡面的片段
[00:00:45.740 --> 00:00:47.740]  你就帶領聽我們祈禱
[00:00:47.740 --> 00:00:50.760]  奉耶穌名字而救 阿們
[00:00:50.760 --> 00:00:53.420]  那麼今天是父親節
[00:00:53.420 --> 00:00:57.320]  所以都用父親節的畫面給大家看
[00:00:57.320 --> 00:01:01.180]  現在這裡只是10點多的時間
[00:01:01.180 --> 00:01:04.360]  大家可能晚一點可以去父親節不同的活動
[00:01:04.360 --> 00:01:08.060]  但是我們香港已經是去到晚上的時間了
[00:01:08.060 --> 00:01:09.560]  都還沒升的了
[00:01:09.560 --> 00:01:12.220]  父親節的慶祝都差不多了
[00:01:12.220 --> 00:01:17.480]  不知道大家想想父親節會怎麼過
[00:01:17.480 --> 00:01:19.060]  我也覺得很有趣
[00:01:19.060 --> 00:01:21.660]  我們聽到我們香港的弟兄姊妹
[00:01:21.660 --> 00:01:24.260]  就是父親節的時候
[00:01:24.260 --> 00:01:29.700]  有一個弟兄一個人自己就吃魚蛋粉了
[00:01:29.700 --> 00:01:33.700]  因為他的兒女稍後的時間去吃晚餐
[00:01:33.700 --> 00:01:38.280]  不過父親就受不了了 就要吃魚蛋粉了
[00:01:38.280 --> 00:01:43.800]  我父親節我都是在家裡吃牛腩飯而已
[00:01:43.800 --> 00:01:45.320]  還要自己一個人吃
[00:01:45.320 --> 00:01:49.380]  因為他們不同時間出去完成不同的事情
[00:01:49.380 --> 00:01:51.220]  就回來一起吃
[00:01:51.220 --> 00:01:56.400]  不過做父親也不是吃什麼決定開不開心的
[00:01:56.400 --> 00:02:01.280]  而是經歷做父親的時候都是有很多喜樂的
[00:02:01.280 --> 00:02:03.360]  不過又這麼說
[00:02:03.360 --> 00:02:07.120]  父親節當想起做父親的時候
[00:02:07.120 --> 00:02:10.800]  大家都知道做爸爸是不容易做的
[00:02:10.800 --> 00:02:17.080]  特別自己做爸爸經歷了很多事情
[00:02:17.080 --> 00:02:18.380]  或者成長的階段
[00:02:18.380 --> 00:02:21.680]  到了小朋友他們經歷的成長的時候
[00:02:21.680 --> 00:02:23.680]  可能跟你的想法又不一樣
[00:02:23.680 --> 00:02:27.560]  所以有時候有些我喜歡的東西
[00:02:27.560 --> 00:02:29.240]  子女是未必喜歡的
[00:02:29.240 --> 00:02:31.240]  所以這裡特別說一件事
[00:02:31.240 --> 00:02:33.600]  爸爸不容易做的時候就是
[00:02:33.600 --> 00:02:36.360]  原來不知道你知不知道
[00:02:36.360 --> 00:02:40.400]  我的子女覺得他爸爸有些怪怪的
[00:02:40.400 --> 00:02:44.240]  不過你們也不覺得我怪怪的
[00:02:44.240 --> 00:02:46.240]  其中一個其實他們都覺得
[00:02:46.240 --> 00:02:49.160]  他們眼裡的爸爸怪怪的是什麼呢?
[00:02:49.160 --> 00:02:51.160]  原來就是在說
[00:02:51.160 --> 00:02:56.200]  他爸爸有一個很奇怪的興趣或者嗜好
[00:02:56.200 --> 00:02:58.440]  不知道你們知不知道
[00:02:58.440 --> 00:03:01.360]  就是我很喜歡考試的
