
[00:00:00.000 --> 00:00:03.740]  當一羣人聚在一起 特別想完成一些事情的時候
[00:00:03.740 --> 00:00:08.580]  很難避免說沒有分歧的地方
[00:00:08.580 --> 00:00:11.140]  只要有人的地方 就會有不同的意見
[00:00:11.140 --> 00:00:16.140]  無論是家庭也好 學校裏面的學習也好 工作也好
[00:00:16.140 --> 00:00:20.000]  只要有人的地方 特別當我們想一起去完成一些事情的時候
[00:00:20.000 --> 00:00:24.140]  大家就會給意見 很難說完全是一致意見的
[00:00:24.140 --> 00:00:27.880]  而最大的問題就是 有不同的意見是不要緊的
[00:00:27.880 --> 00:00:33.600]  問題是當不同的意見變成極端的矛盾和衝突的時候
[00:00:33.600 --> 00:00:36.180]  就會造成很嚴重的影響
[00:00:36.180 --> 00:00:42.220]  剛纔的短片裏面只是冰山一角 給你看一看
[00:00:42.220 --> 00:00:46.300]  當我們有矛盾和衝突出現在我們當中
[00:00:46.300 --> 00:00:49.900]  而我們不懂得如何恰當去處理的時候
[00:00:49.900 --> 00:00:54.020]  你去不理 但問題是不會走的
[00:00:54.020 --> 00:01:03.000]  結果會導致一些由壓力而導致的疾病
[00:01:03.000 --> 00:01:05.500]  很多人就會心理失調
[00:01:05.500 --> 00:01:12.360]  很難專心工作 因爲要用盡自己的能量去處理矛盾和衝突
[00:01:12.360 --> 00:01:15.820]  很容易無法達標
[00:01:15.820 --> 00:01:18.900]  於是很多時候就會影響你的工作表現
[00:01:18.900 --> 00:01:23.860]  做事做得不好 老實開始投訴越來越多
[00:01:23.860 --> 00:01:27.320]  到了一個地步
[00:01:27.320 --> 00:01:30.500]  爲了要保護自己 爲了要爲自己解釋
[00:01:30.500 --> 00:01:33.340]  你就會將自己個人的興趣
[00:01:33.340 --> 00:01:36.360]  擺在其他人的興趣之上
[00:01:36.360 --> 00:01:40.960]  甚至是擺在其他組織的上面
[00:01:40.960 --> 00:01:47.440]  這就會令到問題變得越來越嚴重和越來越恐怖
[00:01:47.440 --> 00:01:51.000]  那些不懂得去解決矛盾衝突
[00:01:51.000 --> 00:01:54.960]  讓這些矛盾衝突不斷地惡化的時候
[00:01:54.960 --> 00:01:57.400]  很多時候我們時常聽到的結果是什麼呢
[00:01:57.400 --> 00:02:03.940]  你會發覺有些人都有一個憤怒的情況出現
[00:02:03.940 --> 00:02:09.080]  你不去處理的時候 你的憤怒會越來越激烈
[00:02:09.080 --> 00:02:12.060]  然後有些人又不敢發出來
[00:02:12.060 --> 00:02:14.620]  不發出來就要向裏面塞
[00:02:14.620 --> 00:02:17.140]  於是你心裏的那種苦毒
[00:02:17.140 --> 00:02:20.660]  很不滿就越來越膨脹
[00:02:20.660 --> 00:02:22.320]  而對於這些人來說
[00:02:22.320 --> 00:02:27.120]  當他們的心靈比較脆弱的時候
[00:02:27.120 --> 00:02:29.440]  就會發展到一個地步
[00:02:29.440 --> 00:02:33.780]  會讓這些矛盾衝突 這些壓抑
[00:02:33.780 --> 00:02:41.040]  將我們轉化成爲一個無情冷血殘暴的野獸
[00:02:41.040 --> 00:02:43.100]  爲什麼我這樣說呢 因爲其實大家都知道
[00:02:43.100 --> 00:02:46.060]  從時間到時間 時不時你都會聽到
[00:02:46.060 --> 00:02:47.280]  有些新聞是什麼呢
[00:02:47.280 --> 00:02:53.900]  學校開槍殺人 在工作的地方拿槍進去
[00:02:53.900 --> 00:02:56.920]  看見別人射 其實不是看見別人射
[00:02:56.920 --> 00:03:01.500]  是有目標的 射那個他不喜歡的人
[00:03:01.500 --> 00:03:08.040]  這只是其中一個導致有嚴重問題發生的情況
[00:03:08.040 --> 00:03:09.820]  作爲一個基督徒
[00:03:09.820 --> 00:03:13.660]  我們是否可以隱瞞 沒有遇到矛盾衝突呢
[00:03:13.660 --> 00:03:16.500]  當然不可以 因爲我們同樣生存在世界上
[00:03:16.500 --> 00:03:21.180]  基督徒同樣需要面對很多矛盾和衝突的處境
[00:03:21.180 --> 00:03:22.900]  不過我可以這樣說
[00:03:22.900 --> 00:03:24.620]  作爲基督徒的時候
[00:03:24.620 --> 00:03:28.340]  我覺得我們有一個比較好的位置
[00:03:28.340 --> 00:03:35.180]  可以如何去面對和處理這些矛盾和衝突
[00:03:35.180 --> 00:03:36.420]  或者最低限度
[00:03:36.420 --> 00:03:39.660]  從聖經裏面我們能夠找到合適的方法
[00:03:39.660 --> 00:03:43.180]  幫助我們如何去處理這些矛盾和衝突
[00:03:43.180 --> 00:03:44.860]  爲什麼我這樣說呢
[00:03:44.860 --> 00:03:47.060]  因爲其實基督教的信仰
[00:03:47.060 --> 00:03:49.100]  就是說耶穌基督來到這個世界
[00:03:49.100 --> 00:03:50.780]  就是要和平
[00:03:50.780 --> 00:03:53.100]  也就是在這個世界上使人與上帝和好
[00:03:53.100 --> 00:03:55.220]  使人與人和好
[00:03:55.220 --> 00:03:56.540]  有一段聖經的這一筆所書
[00:03:56.540 --> 00:03:57.660]  和大家去看一看
[00:03:57.660 --> 00:03:59.260]  這一筆所書
[00:03:59.260 --> 00:04:02.380]  第二章在歐拉姆的《榮光墓》有掛
[00:04:02.380 --> 00:04:04.380]  二章十四字裏面怎麼說呢
[00:04:04.380 --> 00:04:08.660]  基督親自把和平賜給我們
[00:04:08.660 --> 00:04:10.900]  祂使猶太人和外邦人
[00:04:10.900 --> 00:04:13.220]  即非猶太人 合而爲一
[00:04:13.220 --> 00:04:17.780]  以自己的身體推倒了使人互相敵對
[00:04:17.780 --> 00:04:20.060]  使他們分裂的牆
[00:04:20.060 --> 00:04:22.140]  所以看耶穌來到這個世界上
[00:04:22.140 --> 00:04:24.140]  不僅使我們和上帝和好
[00:04:24.140 --> 00:04:26.860]  而且使人與人之間的隔膜
[00:04:26.860 --> 00:04:28.700]  甚至是仇恨
[00:04:28.700 --> 00:04:30.380]  所導致的隔膜
[00:04:30.380 --> 00:04:31.940]  都可以消除
[00:04:31.940 --> 00:04:33.740]  可以將一面牆拆毀
[00:04:33.740 --> 00:04:35.380]  以至人與人之間
[00:04:35.380 --> 00:04:40.980]  可以重新建立一個和好和平的關係
[00:04:40.980 --> 00:04:45.180]  所以這幾個星期我們教務同工爲大家預備了一年七課
[00:04:45.180 --> 00:04:48.940]  講到怎麼去處理矛盾和衝突問題
[00:04:48.940 --> 00:04:50.100]  這個問題
[00:04:50.100 --> 00:04:52.580]  我希望你不僅是自己回來聽
[00:04:52.580 --> 00:04:54.180]  你能夠邀請你的同事朋友
[00:04:54.180 --> 00:04:56.660]  如果你知道他們遇到這樣的問題
[00:04:56.660 --> 00:04:58.780]  或者在你家裏工作的環境
[00:04:58.780 --> 00:05:01.500]  其實有些冷戰熱戰的
[00:05:01.500 --> 00:05:02.540]  未必這幾個星期
[00:05:02.540 --> 00:05:05.020]  我希望神透過他自己的說話
[00:05:05.020 --> 00:05:06.580]  能夠給大家一些提醒
[00:05:06.580 --> 00:05:07.780]  一些教導
[00:05:07.780 --> 00:05:09.220]  一些建議
[00:05:09.220 --> 00:05:10.420]  一些方法
[00:05:10.420 --> 00:05:12.540]  怎麼去面對和處理
[00:05:12.540 --> 00:05:13.500]  但是今天
[00:05:13.500 --> 00:05:15.340]  首先我們的重點
[00:05:15.340 --> 00:05:17.380]  纔要和大家去看的就是
[00:05:17.380 --> 00:05:19.980]  The Cause of Human Conflicts
[00:05:19.980 --> 00:05:20.740]  就是說
[00:05:20.740 --> 00:05:24.940]  人爲什麼會有一些這樣的矛盾衝突的情況出現呢
[00:05:24.940 --> 00:05:26.220]  今天我們的經文
[00:05:26.220 --> 00:05:28.060]  是記載在雅各書的
[00:05:28.060 --> 00:05:29.540]  我們很快看看
[00:05:29.540 --> 00:05:32.580]  雅各書的第四章
[00:05:32.580 --> 00:05:34.580]  第一節到第十節
[00:05:34.580 --> 00:05:37.700]  我這個應該是新譯本
[00:05:37.700 --> 00:05:40.700]  熒光幕上那句應該是現代中文
[00:05:40.700 --> 00:05:41.300]  我們忘記了
[00:05:41.300 --> 00:05:42.100]  不過不要緊
[00:05:42.100 --> 00:05:45.140]  大家可以跟着一起去get a sense
[00:05:45.140 --> 00:05:47.580]  到底雅各書第四章
[00:05:47.580 --> 00:05:49.340]  怎麼告訴我們
[00:05:49.340 --> 00:05:54.140]  人與人之間的矛盾衝突的來源在哪裏呢
[00:05:54.140 --> 00:05:55.740]  第四章第一節說
[00:05:55.740 --> 00:05:59.220]  你們中間的爭執和打鬥是從哪裏來的呢
[00:05:59.220 --> 00:06:01.780]  不是從你們肢體中
[00:06:01.780 --> 00:06:04.020]  好鬥的私慾來的
[00:06:04.020 --> 00:06:05.900]  你們的放縱貪慾
[00:06:05.900 --> 00:06:07.980]  如果得不到就殺人
[00:06:07.980 --> 00:06:09.140]  你們窒道
[00:06:09.140 --> 00:06:12.460]  如果一無所得就打鬥爭執
[00:06:12.460 --> 00:06:13.460]  你們得不到
[00:06:13.460 --> 00:06:14.860]  因爲你們不求
[00:06:14.860 --> 00:06:16.540]  你們求也不得補
[00:06:16.540 --> 00:06:18.940]  因爲你們是動機不良
[00:06:18.940 --> 00:06:22.500]  要把所得的耗費在你們的私慾上
[00:06:22.500 --> 00:06:23.780]  淫亂的人
[00:06:23.780 --> 00:06:26.020]  你們不知道與世俗爲友
[00:06:26.020 --> 00:06:28.260]  就是與神爲敵嗎
