
[00:00:00.000 --> 00:00:06.680]  請大家再次一齊低頭祈禱
[00:00:06.680 --> 00:00:08.360]  親愛的感謝祢
[00:00:08.360 --> 00:00:10.600]  感謝祢帶領我們
[00:00:10.600 --> 00:00:12.120]  在聖主的清晨
[00:00:12.120 --> 00:00:14.760]  來到祢的面前一起敬拜
[00:00:14.760 --> 00:00:18.640]  主讓我們能夠親自來遇見祢
[00:00:18.640 --> 00:00:22.080]  讓祢去滋潤我們的生命
[00:00:22.080 --> 00:00:26.000]  願講的和聽的都同夢祢的月亮
[00:00:26.000 --> 00:00:28.320]  祈禱奉主耶穌基督的名 求
[00:00:28.320 --> 00:00:32.960]  阿彌陀佛
[00:00:32.960 --> 00:00:40.200]  不知道大家有沒有遇見過復活了的耶穌呢?
[00:00:40.200 --> 00:00:42.240]  我們不如看看聖經
[00:00:42.240 --> 00:00:46.040]  剛才黃國麒堂委跟我們讀了
[00:00:46.040 --> 00:00:48.160]  那段經文的十九節
[00:00:48.160 --> 00:00:53.360]  我相信對大部分的同鄉姐妹來說都很熟悉
[00:00:53.360 --> 00:00:55.000]  耶穌復活之後
[00:00:55.000 --> 00:00:56.840]  祂多次向門徒顯現
[00:00:56.840 --> 00:00:59.200]  包括有復活的清晨
[00:00:59.200 --> 00:01:01.920]  在墳墓之外向莫大拉 瑪利亞
[00:01:01.920 --> 00:01:04.000]  以及一群婦女顯現
[00:01:04.000 --> 00:01:05.440]  在復活當天
[00:01:05.440 --> 00:01:10.120]  有兩個門徒在二萬五屍的路上遇見了耶穌
[00:01:10.120 --> 00:01:13.520]  不過他們初時認不出耶穌
[00:01:13.520 --> 00:01:15.840]  還有一次就是復活當晚
[00:01:15.840 --> 00:01:17.840]  向一群門徒顯現
[00:01:17.840 --> 00:01:22.560]  當時他們躲在屋內逃避猶太人
[00:01:22.560 --> 00:01:25.360]  有另一次是復活之後的第八天
[00:01:25.360 --> 00:01:27.600]  再向一群門徒顯現
[00:01:27.600 --> 00:01:30.800]  當時他們也躲在屋內
[00:01:30.800 --> 00:01:33.520]  這次特別提到多瑪
[00:01:33.520 --> 00:01:34.640]  今天的經文
[00:01:34.640 --> 00:01:37.280]  耶穌又向門徒顯現了
[00:01:37.280 --> 00:01:40.920]  這一次是向七個門徒顯現
[00:01:40.920 --> 00:01:44.040]  當中有我們所熟悉的西門彼得
[00:01:44.040 --> 00:01:45.240]  多瑪
[00:01:45.240 --> 00:01:47.880]  西彼太的兩個兒子雅各和約翰
[00:01:47.880 --> 00:01:48.960]  那丹葉
[00:01:48.960 --> 00:01:53.280]  以及另外兩個沒有寫名字的門徒
[00:01:53.280 --> 00:01:58.200]  這幾位門徒曾經經驗耶穌父所帶來的喜樂
[00:01:58.200 --> 00:02:00.320]  我們試想一下
[00:02:00.320 --> 00:02:04.840]  當你有摯愛親朋離世
[00:02:04.840 --> 00:02:07.120]  他說在三天之後復活
[00:02:07.120 --> 00:02:09.080]  他向你顯現
[00:02:09.080 --> 00:02:13.840]  不知道你有什麼反應呢?
[00:02:13.840 --> 00:02:15.000]  記住
[00:02:15.000 --> 00:02:17.000]  是你的摯愛
[00:02:17.000 --> 00:02:19.480]  因為對方和你的關係怎樣呢?
[00:02:19.480 --> 00:02:22.600]  直接影響你當時的反應
[00:02:22.600 --> 00:02:24.600]  是不是?
[00:02:24.600 --> 00:02:26.880]  離別總是讓人悲傷的
[00:02:26.880 --> 00:02:30.640]  重逢當然是喜悅和興奮
[00:02:30.640 --> 00:02:33.000]  不過之後呢?
[00:02:33.000 --> 00:02:34.800]  之後會怎樣?
[00:02:34.800 --> 00:02:37.160]  一切似要回復慣常
[00:02:37.160 --> 00:02:38.200]  上學的上學
[00:02:38.200 --> 00:02:39.680]  上班的上班
[00:02:39.680 --> 00:02:42.000]  如常地去生活
[00:02:42.000 --> 00:02:43.160]  於是
[00:02:43.160 --> 00:02:44.760]  彼得就提議
[00:02:44.760 --> 00:02:46.520]  我打於去
[00:02:46.520 --> 00:02:48.640]  重操故業
[00:02:48.640 --> 00:02:49.920]  不是這樣
[00:02:49.920 --> 00:02:51.840]  還有什麼好做呢?
[00:02:51.840 --> 00:02:53.920]  正常不過
[00:02:53.920 --> 00:02:56.440]  其他同行的門徒都和應
[00:02:56.440 --> 00:02:59.160]  我們都和你一起去
[00:02:59.160 --> 00:03:01.760]  不過那一晚
[00:03:01.760 --> 00:03:04.080]  他們沒有什麼收穫
[00:03:04.080 --> 00:03:05.720]  天空亮的時候
[00:03:05.720 --> 00:03:08.160]  復活的耶穌站在岸邊
[00:03:08.160 --> 00:03:10.720]  向船上叫過去
[00:03:10.720 --> 00:03:13.880]  你們有沒有抓到什麼呢?
[00:03:13.880 --> 00:03:17.920]  上述門徒坐的船不是離岸很遠
[00:03:17.920 --> 00:03:19.680]  他們聽得很清楚
