
[00:00:00.000 --> 00:00:02.000]  各位朋友 大家好
[00:00:02.000 --> 00:00:06.000]  我是從事新聞工作很多年
[00:00:06.000 --> 00:00:11.000]  在2014年2月26日 一個星期三的早上
[00:00:11.000 --> 00:00:19.000]  我上班途中 在側魚涌利景灣海旁受到襲擊
[00:00:19.000 --> 00:00:25.000]  背部和兩邊大腿都被刀斬傷
[00:00:25.000 --> 00:00:30.000]  白車將我送去東區醫院急症室
[00:00:30.000 --> 00:00:35.000]  在急症室內 護士為我檢查傷勢時
[00:00:35.000 --> 00:00:38.000]  翻轉我的身體 撕開我的衣服
[00:00:38.000 --> 00:00:42.000]  我感到劇烈的痛楚 做大聲喊痛
[00:00:42.000 --> 00:00:47.000]  醫生決定提早下麻醉藥 使我昏迷
[00:00:47.000 --> 00:00:50.000]  在麻醉藥發生作用 我昏迷之前
[00:00:50.000 --> 00:00:56.000]  我最後聽到有護士檢查我背部傷勢時
[00:00:56.000 --> 00:01:01.000]  大聲跟其他人說 我見到他的內臟
[00:01:01.000 --> 00:01:08.000]  當麻醉藥逐漸過去 我蘇醒過來的時候
[00:01:08.000 --> 00:01:15.000]  醫生告訴我 背部傷勢相當危險
[00:01:15.000 --> 00:01:21.000]  因為利刀破開了胸腹 流了大量血
[00:01:21.000 --> 00:01:27.000]  但刀鋒被尾龍骨擋了一擋
[00:01:27.000 --> 00:01:32.000]  差一點沒有刺傷內臟
[00:01:32.000 --> 00:01:35.000]  主要是失血過多的風險
[00:01:35.000 --> 00:01:41.000]  醫生為我輸了十包血 合共四千CC
[00:01:41.000 --> 00:01:47.000]  像我一樣體重身高 全身不超過五千CC
[00:01:47.000 --> 00:01:51.000]  差不多由頭到腳換了一轉
[00:01:51.000 --> 00:01:54.000]  兩隻腳的坐骨神經線斷了
[00:01:54.000 --> 00:01:58.000]  雖然沒有生命危險 但手臂很長
[00:01:58.000 --> 00:02:01.000]  因為坐骨神經線斷裂
[00:02:01.000 --> 00:02:07.000]  膝蓋對落大部分位置失去知覺
[00:02:07.000 --> 00:02:11.000]  亦沒有活動能力 無法行走
[00:02:11.000 --> 00:02:14.000]  甚至站立都有困難
[00:02:14.000 --> 00:02:18.000]  需要長時間的復康鍛鍊
[00:02:18.000 --> 00:02:22.000]  等候神經線逐漸生長
[00:02:22.000 --> 00:02:25.000]  原本醫生估計兩年左右
[00:02:25.000 --> 00:02:29.000]  結果用了四年時間
[00:02:29.000 --> 00:02:32.000]  在這個漫長的復康旅程裡
[00:02:32.000 --> 00:02:36.000]  我學會了很多重要的人生功課
[00:02:36.000 --> 00:02:39.000]  想跟大家握腰去分享
[00:02:39.000 --> 00:02:45.000]  我還記得在深切治療病房蘇醒過來的時候
[00:02:45.000 --> 00:02:48.000]  全身插滿了很多的喉管
[00:02:48.000 --> 00:02:51.000]  背部的傷口 大腿的傷口
[00:02:51.000 --> 00:02:53.000]  嚴密地包裹著
[00:02:53.000 --> 00:02:58.000]  包到整個人像隻腫一樣 動彈不得
[00:02:58.000 --> 00:03:01.000]  就在那個情況裡 我就祈禱
