
[00:00:00.000 --> 00:00:05.000]  各位姐妹們,聖誕快樂
[00:00:05.000 --> 00:00:07.000]  昨晚你們去了哪裏?
[00:00:07.000 --> 00:00:09.000]  有多少人在家?
[00:00:09.000 --> 00:00:12.000]  可能很多人都回家睡了
[00:00:12.000 --> 00:00:16.000]  十一點鐘之前,已經在家的有多少人?
[00:00:16.000 --> 00:00:18.000]  哇,大部分喔
[00:00:18.000 --> 00:00:22.000]  大家都沒有到處揮,到處揮
[00:00:22.000 --> 00:00:26.000]  想起聖誕節,我想起
[00:00:26.000 --> 00:00:29.000]  我喜歡在家,特別是平安夜
[00:00:29.000 --> 00:00:35.000]  我覺得自己一個人,靜靜地思想
[00:00:35.000 --> 00:00:39.000]  這個恩典,究竟發生了什麼事
[00:00:39.000 --> 00:00:41.000]  是非常重要的
[00:00:41.000 --> 00:00:47.000]  小時候,很多時候聖誕節就要做一些話劇
[00:00:47.000 --> 00:00:50.000]  要背很多經文
[00:00:50.000 --> 00:00:53.000]  小時候的經文就是這樣背的
[00:00:53.000 --> 00:01:00.000]  《路加福音》第二章
[00:01:24.000 --> 00:01:28.000]  忽然有一大隊天兵,和那天使讚美神說
[00:01:28.000 --> 00:01:32.000]  在至高之處,榮耀歸於神
[00:01:32.000 --> 00:01:36.000]  在地上,平安歸於他所喜悅的人
[00:01:36.000 --> 00:01:40.000]  因爲每一年都這樣背,所以我會背
[00:01:40.000 --> 00:01:44.000]  我們就是這樣背
[00:01:44.000 --> 00:01:48.000]  但一直背的時候,每一次重新思想的時候
[00:01:48.000 --> 00:01:50.000]  我都會問自己一些問題
[00:01:50.000 --> 00:01:52.000]  第一個問題
[00:01:52.000 --> 00:01:59.000]  爲什麼在聖經裏面說耶穌降生的事不是很多
[00:01:59.000 --> 00:02:03.000]  耶穌降生那個晚上所發生的事
[00:02:03.000 --> 00:02:06.000]  就是《路加福音》第二章這個片段
[00:02:06.000 --> 00:02:11.000]  另一個片段就是幾個博士看到天空的異象
[00:02:11.000 --> 00:02:13.000]  那些星的運行
[00:02:13.000 --> 00:02:16.000]  其實那些是星相學家
[00:02:16.000 --> 00:02:20.000]  然後遠遠從東方來尋找主耶穌
[00:02:20.000 --> 00:02:23.000]  是這兩幕,然後就沒什麼了
[00:02:23.000 --> 00:02:28.000]  就即是說當耶穌降世的那個晚上
[00:02:28.000 --> 00:02:34.000]  聖經重視的是《路加福音》第二章這一幕
[00:02:34.000 --> 00:02:37.000]  我第一個問題就是
[00:02:37.000 --> 00:02:41.000]  爲什麼耶穌降世不在耶路撒冷
[00:02:41.000 --> 00:02:43.000]  而在白利恆
[00:02:43.000 --> 00:02:47.000]  因爲大家都想他應該在耶路撒冷
[00:02:47.000 --> 00:02:52.000]  以致在東方那幾個博士那幾個星相學家來的時候
[00:02:52.000 --> 00:02:53.000]  他第一件事去哪裏
[00:02:53.000 --> 00:02:54.000]  去耶路撒冷
[00:02:54.000 --> 00:02:56.000]  找希臘王
[00:02:56.000 --> 00:02:59.000]  問要出生的王在哪裏
[00:02:59.000 --> 00:03:01.000]  因爲那個是王來的
[00:03:01.000 --> 00:03:03.000]  王應該就在耶路撒冷
[00:03:03.000 --> 00:03:08.000]  因爲耶路撒冷是一個君王登基
[00:03:08.000 --> 00:03:10.000]  作王的一個地方
[00:03:10.000 --> 00:03:13.000]  是一個掌權的地方
[00:03:13.000 --> 00:03:17.000]  是一個以色列民盼望君王在那裏
[00:03:17.000 --> 00:03:22.000]  帶領一幫以色列民重新奮鬥
[00:03:22.000 --> 00:03:27.000]  打仗脫離羅馬政權的一個城市
[00:03:27.000 --> 00:03:30.000]  但爲什麼不是耶路撒冷
[00:03:30.000 --> 00:03:31.000]  而是白利恆
[00:03:31.000 --> 00:03:34.000]  莫名其妙
[00:03:34.000 --> 00:03:36.000]  剛剛過了星期日
[00:03:36.000 --> 00:03:38.000]  羅莫斯講到的時候就說
[00:03:38.000 --> 00:03:41.000]  白利恆城只不過是一個很小的城市
[00:03:41.000 --> 00:03:44.000]  大家記得吧並不顯眼
[00:03:44.000 --> 00:03:49.000]  但當天使報喜訊給牧羊人的時候
[00:03:49.000 --> 00:03:50.000]  他直接說
[00:03:50.000 --> 00:03:56.000]  因今天在大衛的城裏
[00:03:56.000 --> 00:03:59.000]  爲你們伸了救主就是主基督
[00:03:59.000 --> 00:04:01.000]  大衛的城裏
[00:04:01.000 --> 00:04:03.000]  爲什麼
[00:04:03.000 --> 00:04:09.000]  因爲白利恆城是大衛出生的地方
[00:04:09.000 --> 00:04:13.000]  白利恆城是大衛的家鄉
[00:04:13.000 --> 00:04:16.000]  天使報喜訊的時候特別點到明
[00:04:16.000 --> 00:04:18.000]  他不是講白利恆城
[00:04:18.000 --> 00:04:20.000]  他是講大衛的城
[00:04:20.000 --> 00:04:23.000]  在舊日的時候大衛城通常是講耶路撒冷
[00:04:23.000 --> 00:04:25.000]  但很明顯
[00:04:25.000 --> 00:04:29.000]  這次講白利恆城是講大衛的故鄉
[00:04:29.000 --> 00:04:30.000]  就是昔日
[00:04:30.000 --> 00:04:33.000]  當約瑟爾帶領以色列人進入迦南
[00:04:33.000 --> 00:04:35.000]  進入英許之地
[00:04:35.000 --> 00:04:39.000]  跟着不斷要跟迦南里面不同的民族打仗
[00:04:39.000 --> 00:04:40.000]  可不可以打贏
[00:04:40.000 --> 00:04:42.000]  全部不能夠全部打贏
[00:04:42.000 --> 00:04:44.000]  拿了某部分的地方
[00:04:44.000 --> 00:04:47.000]  跟着史詩時代就不斷繼續打
[00:04:47.000 --> 00:04:49.000]  有贏有輸
[00:04:49.000 --> 00:04:52.000]  都不能夠佔據
[00:04:52.000 --> 00:04:55.000]  整個神所給他們的流納與密之地
[00:04:55.000 --> 00:04:58.000]  到第一個皇帝蘇羅王登基
