
[00:00:00.000 --> 00:00:04.000]  好,今日分享的題目是真正的付足
[00:00:04.000 --> 00:00:10.000]  我想問大家,如果今日你有三個願望的話
[00:00:10.000 --> 00:00:13.000]  不知道你會許哪三個願望
[00:00:13.000 --> 00:00:17.000]  昨天在一個童工賽修裏面,我們抽不同的問題
[00:00:17.000 --> 00:00:21.000]  其中有一個童工抽到這條問題,於是就問
[00:00:21.000 --> 00:00:25.000]  如果你有三個願望,那你會許哪三個願望呢
[00:00:25.000 --> 00:00:30.000]  他第一個願望是這樣說的,他說我想可以去天堂看一看
[00:00:30.000 --> 00:00:37.000]  然後下來,我說你小心許願,一會兒上了去,下來怎麼辦
[00:00:37.000 --> 00:00:45.000]  第二個願望是,他很想未信主的家人能夠信耶穌
[00:00:45.000 --> 00:00:49.000]  我覺得這也是我們很多人心中的願望,是不是
[00:00:49.000 --> 00:00:52.000]  於是就問他,那第三個願望呢
[00:00:52.000 --> 00:00:56.000]  他說我第三個願望,就是想要多三個願望
[00:00:56.000 --> 00:00:59.000]  我說,怎麼會這樣呢
[00:00:59.000 --> 00:01:02.000]  其實這是來自我喜歡看的一套電影
[00:01:02.000 --> 00:01:05.000]  周星馳其中一套電影裏面的對白
[00:01:05.000 --> 00:01:09.000]  這套電影裏面就說周星馳由九十年代的香港
[00:01:09.000 --> 00:01:11.000]  去了三十年代的上海
[00:01:11.000 --> 00:01:15.000]  在三十年代的上海就見到上海大亨
[00:01:15.000 --> 00:01:18.000]  他為上海大亨做了一件事
[00:01:18.000 --> 00:01:21.000]  上海大亨就說我給你三個願望
[00:01:21.000 --> 00:01:24.000]  很快就射完頭兩個願望了
[00:01:24.000 --> 00:01:26.000]  射完頭兩個願望的時候,大亨就說
[00:01:26.000 --> 00:01:29.000]  那你不如說第三個願望給我聽
[00:01:29.000 --> 00:01:31.000]  了了我的心事,於是周星馳就說
[00:01:31.000 --> 00:01:35.000]  我第三個願望,就是想要多三個願望
[00:01:35.000 --> 00:01:37.000]  但是有時候我想究竟
[00:01:37.000 --> 00:01:40.000]  其實我們就算多三個願望
[00:01:40.000 --> 00:01:46.000]  是不是能夠真的讓我們的生命得到真正的滿足呢
[00:01:46.000 --> 00:01:48.000]  有時候如果我們回望我們的生命
[00:01:48.000 --> 00:01:51.000]  在我們不同的時間
[00:01:51.000 --> 00:01:54.000]  可能我們都會有不同的盼望和願望
[00:01:54.000 --> 00:01:59.000]  讀書的時候,可能希望成績進步
[00:01:59.000 --> 00:02:04.000]  成績進步之後,又希望可能進到心儀的學校
[00:02:04.000 --> 00:02:11.000]  因為我們這個周末是整個教會都是看同一段的經文
[00:02:11.000 --> 00:02:13.000]  所以昨天在兩堂崇拜中間
[00:02:13.000 --> 00:02:15.000]  我就上去了少年崇拜
[00:02:15.000 --> 00:02:18.000]  因為我有一個中二的導師
[00:02:18.000 --> 00:02:21.000]  所以我就帶著四個中學生開組
[00:02:21.000 --> 00:02:23.000]  我問同一條問題
[00:02:23.000 --> 00:02:25.000]  那你的願望是什麼
[00:02:25.000 --> 00:02:29.000]  他說我的願望就是進到心儀的學校
[00:02:29.000 --> 00:02:32.000]  我說進到心儀的學校之後是怎麼樣
[00:02:32.000 --> 00:02:35.000]  他就說希望讀到心儀的學科
[00:02:35.000 --> 00:02:37.000]  我說讀到心儀的學科是什麼
[00:02:37.000 --> 00:02:39.000]  一個就說讀拜科
[00:02:39.000 --> 00:02:43.000]  另外一個就說是free camp 裝假試彈一科
[00:02:43.000 --> 00:02:46.000]  他說好啊,進到心儀的學科
[00:02:46.000 --> 00:02:48.000]  之後你又想怎麼樣
[00:02:48.000 --> 00:02:53.000]  他說當然是希望能夠有心儀的職業
[00:02:53.000 --> 00:02:55.000]  進了心儀的職業之後
[00:02:55.000 --> 00:03:00.000]  可能接下來就會想結識心儀的伴侶
[00:03:00.000 --> 00:03:02.000]  結識了心儀的伴侶之後
[00:03:02.000 --> 00:03:05.000]  接下來就希望生兒育女
[00:03:05.000 --> 00:03:07.000]  生兒育女之後怎麼樣呢
[00:03:07.000 --> 00:03:10.000]  希望他們成績進步
[00:03:10.000 --> 00:03:13.000]  然後就像回頭一樣進到心儀的學校
[00:03:13.000 --> 00:03:17.000]  然後又希望他們能夠進到心儀的學科
[00:03:17.000 --> 00:03:20.000]  又希望他們能夠進到心儀的職業
[00:03:20.000 --> 00:03:24.000]  然後又擔心他們能不能找到心儀的伴侶
[00:03:24.000 --> 00:03:28.000]  然後發現原來人生都是這樣繞圈的
[00:03:28.000 --> 00:03:32.000]  確實我們在不同生命的狀況裡面
[00:03:32.000 --> 00:03:34.000]  去追求不同的東西
