
[00:00:00.000 --> 00:00:01.520]  弟兄姐妹
[00:00:01.520 --> 00:00:03.520]  非常感恩
[00:00:03.520 --> 00:00:06.520]  今天在這個詩歌當中
[00:00:06.520 --> 00:00:09.020]  讓我們看見一般
[00:00:09.020 --> 00:00:10.520]  在族裡面
[00:00:10.520 --> 00:00:13.520]  充滿智慧的人
[00:00:13.520 --> 00:00:15.020]  家有一老
[00:00:15.020 --> 00:00:16.520]  儒有一寶
[00:00:16.520 --> 00:00:17.520]  是不是
[00:00:17.520 --> 00:00:19.020]  普通話
[00:00:19.020 --> 00:00:21.020]  教會我們有很多的寶
[00:00:21.020 --> 00:00:22.520]  在我們的當中
[00:00:22.520 --> 00:00:24.520]  我們充滿感恩
[00:00:24.520 --> 00:00:26.020]  那其實
[00:00:26.020 --> 00:00:27.520]  我也願意在這個地方說
[00:00:27.520 --> 00:00:29.520]  當我們比幾個摸西的時間
[00:00:29.520 --> 00:00:32.520]  摸西是八十歲才開始
[00:00:32.520 --> 00:00:35.020]  他的最精的時間
[00:00:35.020 --> 00:00:38.520]  黃金的時間是八十歲開始
[00:00:38.520 --> 00:00:40.020]  所以我願望
[00:00:40.020 --> 00:00:42.520]  我們當中
[00:00:42.520 --> 00:00:45.520]  預備好人生
[00:00:45.520 --> 00:00:46.520]  是什麼呢
[00:00:46.520 --> 00:00:48.520]  第一齡
[00:00:48.520 --> 00:00:50.020]  青少兒童
[00:00:50.020 --> 00:00:51.520]  第二齡
[00:00:51.520 --> 00:00:53.520]  直青
[00:00:53.520 --> 00:00:55.520]  第三齡
[00:00:55.520 --> 00:00:58.520]  那現在沒有叫長青的
[00:00:58.520 --> 00:01:00.520]  有沒有長輩的
[00:01:00.520 --> 00:01:03.020]  現在都叫第三齡
[00:01:03.020 --> 00:01:05.520]  第三齡是什麼呢
[00:01:05.520 --> 00:01:09.020]  這是六十歲以後
[00:01:09.020 --> 00:01:10.520]  這是第三齡
[00:01:10.520 --> 00:01:12.020]  第三齡
[00:01:12.020 --> 00:01:14.520]  你看見整個的世界已經越來越
[00:01:14.520 --> 00:01:16.520]  感覺到他們的重要性
[00:01:16.520 --> 00:01:17.520]  所以他們希望呢
[00:01:17.520 --> 00:01:19.520]  把這個退休的年齡
[00:01:19.520 --> 00:01:22.020]  越退越後越退越後
[00:01:22.020 --> 00:01:24.020]  希望沒有退休
[00:01:24.020 --> 00:01:25.020]  可以退
[00:01:25.020 --> 00:01:26.520]  但不是休
[00:01:26.520 --> 00:01:28.020]  我們也是一樣
[00:01:28.020 --> 00:01:29.520]  我們是去到第三
[00:01:29.520 --> 00:01:31.520]  我是去到第三齡了
[00:01:31.520 --> 00:01:32.520]  所以跟你講
[00:01:32.520 --> 00:01:35.020]  但是我繼續不斷提醒我自己
[00:01:35.020 --> 00:01:37.520]  摸西八十歲才開始
[00:01:37.520 --> 00:01:39.020]  所以我就希望
[00:01:39.020 --> 00:01:43.520]  現在養精蘇銳
