
[00:00:00.000 --> 00:00:03.000]  想問問大家,你們幸不幸福?
[00:00:03.000 --> 00:00:06.000]  幸福,很開心
[00:00:06.000 --> 00:00:09.000]  有時幸福的定義不一樣
[00:00:09.000 --> 00:00:12.000]  其實今天也是輕鬆聊聊天
[00:00:12.000 --> 00:00:14.000]  因為我突然想起
[00:00:14.000 --> 00:00:16.000]  幸福其實有時很簡單
[00:00:16.000 --> 00:00:19.000]  當你可以預備來參加聚會又慢慢來
[00:00:19.000 --> 00:00:23.000]  因為我們今天比較遲,大家很慢才來
[00:00:23.000 --> 00:00:26.000]  我們都擔心今天的人會不會來
[00:00:26.000 --> 00:00:29.000]  但後來我說不是,其實這是很幸福的事
[00:00:29.000 --> 00:00:32.000]  能夠吃一頓飯,不用趕時間
[00:00:32.000 --> 00:00:34.000]  踏踏條走去
[00:00:34.000 --> 00:00:37.000]  一邊吃飯,一邊有東西聽
[00:00:37.000 --> 00:00:40.000]  人生中如果可以改變
[00:00:40.000 --> 00:00:42.000]  叫做transformation
[00:00:42.000 --> 00:00:43.000]  這樣也不錯
[00:00:43.000 --> 00:00:47.000]  所以,take it easy
[00:00:47.000 --> 00:00:51.000]  我們就很幸福,有一個午餐禮會的時間
[00:00:51.000 --> 00:00:54.000]  這是我做人的其中一個宗旨
[00:00:54.000 --> 00:00:56.000]  就是不用急
[00:00:56.000 --> 00:00:59.000]  現在香港人是怎樣?
[00:00:59.000 --> 00:01:02.000]  但我加上不用急,只是要準時
[00:01:02.000 --> 00:01:08.000]  我準時看著時間,踏九就看大家有沒有問題
[00:01:08.000 --> 00:01:10.000]  踏十就大家放學
[00:01:10.000 --> 00:01:12.000]  對不起,因為我以前是教書的
[00:01:12.000 --> 00:01:14.000]  口頭禪就是大家放學
[00:01:14.000 --> 00:01:15.000]  這樣的形式
[00:01:15.000 --> 00:01:18.000]  好,我先開了powerpoint給大家看
[00:01:18.000 --> 00:01:23.000]  Grace也說了一個剛剛發生的事
[00:01:23.000 --> 00:01:29.000]  我在港福堂的commission,即是工作
[00:01:29.000 --> 00:01:32.000]  就會到這個月底完結
[00:01:32.000 --> 00:01:38.000]  我現在當然和大家經歷過一樣,正在找工作
[00:01:38.000 --> 00:01:40.000]  當然要來討論這個topic
[00:01:40.000 --> 00:01:43.000]  也有的,如果以後雙福我只和Simon談
[00:01:43.000 --> 00:01:46.000]  有機會我會再來
[00:01:46.000 --> 00:01:49.000]  可以談談天
[00:01:49.000 --> 00:01:52.000]  這樣做一定有得做
[00:01:52.000 --> 00:01:54.000]  我將會做些甚麼?
[00:01:54.000 --> 00:01:56.000]  比較新的,還未完全落實
[00:01:56.000 --> 00:01:59.000]  就是我會幫助香港一個機構
[00:01:59.000 --> 00:02:04.000]  希望改變這個社會
[00:02:04.000 --> 00:02:07.000]  特別是小朋友,特別是現在的學生
[00:02:07.000 --> 00:02:11.000]  他們很多是自殺的問題
[00:02:11.000 --> 00:02:13.000]  今年有多少宗?
[00:02:13.000 --> 00:02:15.000]  2017年已經有七宗
[00:02:15.000 --> 00:02:17.000]  到現在
[00:02:17.000 --> 00:02:21.000]  七宗裏面,我一會兒會有數出來
[00:02:21.000 --> 00:02:25.000]  但是我覺得這個工作很有價值
[00:02:25.000 --> 00:02:27.000]  而且很落地
[00:02:27.000 --> 00:02:31.000]  如果訓練到一些學生,或者一些「矮仔」
[00:02:31.000 --> 00:02:34.000]  他們不會走那條路
[00:02:34.000 --> 00:02:36.000]  不過我想問大家一個問題
[00:02:36.000 --> 00:02:41.000]  「矮仔」比較容易自殺,還是「乖仔」比較容易自殺?
[00:02:41.000 --> 00:02:43.000]  為甚麼?
[00:02:43.000 --> 00:02:46.000]  有要求嘛,我小時候是「矮仔」
[00:02:46.000 --> 00:02:48.000]  不知道大家有沒有聽過
[00:02:48.000 --> 00:02:50.000]  我是outstanding student
[00:02:50.000 --> 00:02:54.000]  我是站在學校的班房外面上課的
[00:02:54.000 --> 00:02:58.000]  我認識一位姐妹,她是中小企
[00:02:58.000 --> 00:03:01.000]  中學又企,小學又企
[00:03:01.000 --> 00:03:03.000]  叫中小企
[00:03:03.000 --> 00:03:05.000]  如果你想搞中小企,很簡單
[00:03:05.000 --> 00:03:08.000]  你跟著兒子上學就可能中小企
[00:03:08.000 --> 00:03:12.000]  我媽媽和我的老師自小都很熟
[00:03:12.000 --> 00:03:15.000]  他們經常開會
[00:03:15.000 --> 00:03:20.000]  我「矮仔」是記得不交功課
[00:03:20.000 --> 00:03:22.000]  記得不交功課
[00:03:22.000 --> 00:03:25.000]  「矮仔」是否真的比較不容易自殺?
[00:03:25.000 --> 00:03:26.000]  「乖仔」就是
[00:03:26.000 --> 00:03:29.000]  根據統計
[00:03:29.000 --> 00:03:33.000]  連同12月,2016年有一個
[00:03:33.000 --> 00:03:37.000]  在香港最流行跳橋
[00:03:37.000 --> 00:03:41.000]  在美國三環市就流行跳橋
[00:03:41.000 --> 00:03:43.000]  金門橋是最重要
[00:03:43.000 --> 00:03:45.000]  其他幾棟橋都沒有那麼多人
[00:03:45.000 --> 00:03:47.000]  其他幾棟橋只有一個位數字
[00:03:47.000 --> 00:03:50.000]  金門橋已經有四個位數字
[00:03:50.000 --> 00:03:53.000]  相差很遠,可以過一千
[00:03:53.000 --> 00:03:57.000]  香港當然方便跳樓
[00:03:57.000 --> 00:03:59.000]  上橋你以為容易嗎?
[00:03:59.000 --> 00:04:02.000]  去汀口橋,選擇汀口橋跳下去
[00:04:02.000 --> 00:04:04.000]  這個不要錄音播出
[00:04:04.000 --> 00:04:06.000]  不是有copycat的作用
[00:04:06.000 --> 00:04:08.000]  希望大家當中不會有誰
[00:04:08.000 --> 00:04:12.000]  過幾個月在汀口橋下面發現你
[00:04:13.000 --> 00:04:15.000]  原來他們為何會跳呢?
[00:04:15.000 --> 00:04:18.000]  第一,生活問題有不開心
[00:04:18.000 --> 00:04:21.000]  第二,校園生活不容易
[00:04:21.000 --> 00:04:24.000]  跟人吵架,被人挾持
[00:04:24.000 --> 00:04:30.000]  第三,最多人
[00:04:30.000 --> 00:04:33.000]  五個都是學業有壓力
[00:04:33.000 --> 00:04:34.000]  就是這樣
[00:04:34.000 --> 00:04:37.000]  今天講這個講題是之前定的
[00:04:37.000 --> 00:04:40.000]  因為前三次都是吳忠民牧師來講
[00:04:40.000 --> 00:04:45.000]  講了新年樓樓
[00:04:45.000 --> 00:04:49.000]  講生肖,各樣名利
[00:04:49.000 --> 00:04:52.000]  我覺得不如我們講福
[00:04:52.000 --> 00:04:56.000]  本來應該找幸福雙豐數贊助今天的講道
[00:04:56.000 --> 00:04:59.000]  因為我都是講幸福喜樂人生的要素
[00:04:59.000 --> 00:05:02.000]  有些東西想大家留心
[00:05:02.000 --> 00:05:05.000]  我們中國人跟福字是否很有關係
[00:05:05.000 --> 00:05:08.000]  很多福頭,後面看起來
[00:05:08.000 --> 00:05:10.000]  偽仔讀書也是這樣
[00:05:10.000 --> 00:05:15.000]  看了最後那兩三頁就預備考試
[00:05:15.000 --> 00:05:22.000]  福頭,福象,福字心靈,福如東海,實死難生
[00:05:22.000 --> 00:05:28.000]  福星拱照,福澤悠悠,福字心靈,福壽相傳
[00:05:28.000 --> 00:05:30.000]  還有沒有什麼福?
[00:05:30.000 --> 00:05:32.000]  大家可以給一點
[00:05:32.000 --> 00:05:34.000]  如果叫你作句
[00:05:34.000 --> 00:05:38.000]  還有什麼福?
