
[00:00:00.000 --> 00:00:03.000]  我今天跟大家來分享的題目叫做
[00:00:03.000 --> 00:00:06.020]  應得咎而感恩
[00:00:06.020 --> 00:00:07.020]  應得咎而感恩
[00:00:07.020 --> 00:00:11.980]  在約伯記的二十九章第一節
[00:00:11.980 --> 00:00:14.240]  到第五節
[00:00:14.240 --> 00:00:17.020]  第一節到第五節
[00:00:17.020 --> 00:00:19.320]  讓我把這個經文念出來
[00:00:19.320 --> 00:00:23.280]  這個是約伯在
[00:00:23.280 --> 00:00:25.540]  接受了苦難的鍛鍊
[00:00:25.540 --> 00:00:28.620]  回應了朋友對他的
[00:00:28.620 --> 00:00:31.460]  這個查問,他發出
[00:00:31.460 --> 00:00:35.000]  心底中的一種的回響
[00:00:35.000 --> 00:00:38.840]  他特別在講到他與神之間的關係
[00:00:38.840 --> 00:00:41.840]  約伯記的二十九章第一節
[00:00:41.840 --> 00:00:44.440]  約伯又接著說
[00:00:44.440 --> 00:00:46.620]  惟願我的景況
[00:00:46.620 --> 00:00:49.760]  如從前的月份
[00:00:49.760 --> 00:00:53.500]  如神保守我的日子
[00:00:53.500 --> 00:00:57.500]  那時他的燈照在
[00:00:57.500 --> 00:01:00.500]  我的頭上
[00:01:00.500 --> 00:01:03.560]  我借著他的光行過
[00:01:03.560 --> 00:01:04.560]  黑暗
[00:01:04.560 --> 00:01:08.440]  我願如壯年的時候
[00:01:08.440 --> 00:01:11.640]  那時我在帳篷中
[00:01:11.640 --> 00:01:14.180]  神待我有親
[00:01:14.180 --> 00:01:16.260]  有密友之情
[00:01:16.260 --> 00:01:19.820]  傳揚著人與我同在
[00:01:19.820 --> 00:01:23.320]  我的兒女都環繞我
[00:01:25.560 --> 00:01:28.940]  在這個經文裡面有三個很特別的經歷
[00:01:28.940 --> 00:01:31.600]  是你跟我都走過的
[00:01:31.600 --> 00:01:35.100]  第一個經歷就是神如何的
[00:01:35.100 --> 00:01:37.540]  保守我們的日子
[00:01:37.540 --> 00:01:40.320]  請大家注意當中保守這個字
[00:01:40.320 --> 00:01:44.240]  的意思是神
[00:01:44.240 --> 00:01:48.500]  檢查我們,觀看我們
[00:01:48.500 --> 00:01:54.180]  第二個經歷就是
[00:01:54.180 --> 00:01:57.200]  我們走過黑暗的日子
[00:01:57.200 --> 00:02:03.560]  特別的注意當中走過這個字
[00:02:03.560 --> 00:02:05.780]  第三個經歷
[00:02:05.780 --> 00:02:09.300]  就是與神親密的
[00:02:09.300 --> 00:02:12.180]  這個關係,第四節
[00:02:12.180 --> 00:02:14.720]  神待我有密友之情
[00:02:14.720 --> 00:02:18.200]  這個經文當中有個很特別的地方
[00:02:18.200 --> 00:02:21.200]  神沒有說他如何的在旁邊
[00:02:21.200 --> 00:02:24.060]  為我們準備許多的事物
[00:02:24.220 --> 00:02:27.120]  神很多時候告訴我們
[00:02:27.120 --> 00:02:29.440]  他正在擦看我們的人生
[00:02:29.440 --> 00:02:33.120]  凡是要擦看就是要有個距離
[00:02:33.120 --> 00:02:36.640]  原來我們人生裡面有些時候走過的日子
[00:02:36.640 --> 00:02:40.000]  好像神不在,其實神在
[00:02:40.000 --> 00:02:43.000]  周圍,在遠的距離當中
[00:02:43.000 --> 00:02:44.960]  來觀看我們
