
[00:00:00.000 --> 00:00:05.000]  好!再一次給掌聲旁邊的頂子們,好不好!歡迎你!
[00:00:05.000 --> 00:00:09.000]  要預備聽主的信息!
[00:00:09.000 --> 00:00:12.000]  這個世界太多雜聲了!
[00:00:12.000 --> 00:00:19.000]  所以,我其中有一個定期會做的,就是微小的聲音!
[00:00:19.000 --> 00:00:25.000]  聽上帝和你的說話!
[00:00:25.000 --> 00:00:29.000]  我想問這裡有多少人信了耶穌?舉高手,好不好!
[00:00:29.000 --> 00:00:31.000]  嘩!大部份信了耶穌了!
[00:00:31.000 --> 00:00:36.000]  好!我又想你問一問,有多少人聽到神的聲音?舉高手!
[00:00:36.000 --> 00:00:40.000]  咦!這麼奇怪!很多人信了耶穌!
[00:00:40.000 --> 00:00:44.000]  但其實很多人都有祈禱,對不對!
[00:00:44.000 --> 00:00:47.000]  我們將很多事情告訴上帝知道!
[00:00:47.000 --> 00:00:54.000]  但不是很多人聽到上帝和他講的說話!
[00:00:54.000 --> 00:00:56.000]  想想你怎樣信耶穌!
[00:00:56.000 --> 00:00:58.000]  可能你遇到困難!
[00:00:58.000 --> 00:01:01.000]  接著就是信仰幫助我們!
[00:01:01.000 --> 00:01:04.000]  嘩!我們很開心!我們就喜歡祈禱!
[00:01:04.000 --> 00:01:07.000]  因為上帝聽我們祈禱!
[00:01:07.000 --> 00:01:11.000]  但當我們遇到困難,再祈禱,一直不斷地說!
[00:01:11.000 --> 00:01:14.000]  但上帝好像也不聽我們的祈禱!
[00:01:14.000 --> 00:01:19.000]  你有沒有發覺,你的禱告只是你說!
[00:01:19.000 --> 00:01:26.000]  但有多少次你會聽到,究竟祂和我們講些什麼呢?
[00:01:26.000 --> 00:01:33.000]  今天特別跟大家講一個大家很熟悉的聖經人物!
[00:01:33.000 --> 00:01:36.000]  這個人物叫做「以利亞」!
[00:01:36.000 --> 00:01:38.000]  有聽過,請舉高手!
[00:01:38.000 --> 00:01:42.000]  「以利亞」!嘩!大家都很熟悉,舊約的先知!
[00:01:42.000 --> 00:01:46.000]  在北角阿哈年代的一個先知!
[00:01:46.000 --> 00:01:50.000]  我們形容他好像一個呼風喚雨的先知!
[00:01:50.000 --> 00:01:56.000]  坦白說,在四福音裡對「以利亞」說了有二十六次!
[00:01:56.000 --> 00:02:01.000]  特別在耶穌登山變象的時候,大家還記得嗎?
[00:02:01.000 --> 00:02:05.000]  祂的徒弟彼得說:我為你搭三座棚!
[00:02:05.000 --> 00:02:07.000]  第一是給耶穌你自己!
[00:02:07.000 --> 00:02:10.000]  第二當然是給摩西!
[00:02:10.000 --> 00:02:12.000]  好像一個律法的代表!
[00:02:12.000 --> 00:02:14.000]  第三座棚,搭給誰?
[00:02:14.000 --> 00:02:16.000]  大聲一點!搭給誰?
[00:02:16.000 --> 00:02:18.000]  「以利亞」!
[00:02:18.000 --> 00:02:25.000]  原來對他們來說,「以利亞」就是整個先知的代表人物!
[00:02:25.000 --> 00:02:27.000]  所以大家想起「以利亞」,
[00:02:27.000 --> 00:02:32.000]  我們很快跳到《列王記》上的第十八章!
[00:02:32.000 --> 00:02:34.000]  就是「以利亞」那種很厲害!
[00:02:34.000 --> 00:02:39.000]  以一個人能夠對450個先知,
[00:02:39.000 --> 00:02:41.000]  一個有權能、權柄,
[00:02:41.000 --> 00:02:49.000]  以一能夠去敵眾的一群外邦的先知的人!
[00:02:49.000 --> 00:02:51.000]  簡單來說,很厲害!
[00:02:51.000 --> 00:02:53.000]  但是我今天跟大家說的,
[00:02:53.000 --> 00:02:57.000]  並不是列王記上的第十八章!
[00:02:57.000 --> 00:03:01.000]  我是說列王記上的第十九章!
[00:03:01.000 --> 00:03:04.000]  這麼顯赫的東西,大家很熟悉!
[00:03:04.000 --> 00:03:07.000]  我今天就想說它怎樣滾下來!
[00:03:07.000 --> 00:03:12.000]  我今天就想跟大家說為什麼一個這麼偉大的先知,
[00:03:12.000 --> 00:03:16.000]  他的靈性那麼高,去到加密山,
[00:03:16.000 --> 00:03:18.000]  但是他可以轉個頭,
[00:03:18.000 --> 00:03:22.000]  他可以滾到一個山谷的裡面,
[00:03:22.000 --> 00:03:27.000]  甚至在這個羅騰樹下求死!
[00:03:27.000 --> 00:03:29.000]  親愛的弟兄姊妹,
[00:03:29.000 --> 00:03:32.000]  我記得亞國書五章十七節,
[00:03:32.000 --> 00:03:33.000]  一起讀好嗎?
[00:03:33.000 --> 00:03:34.000]  預備起!
[00:03:34.000 --> 00:03:38.000]  「以利亞與我們是一樣盛情的人。」
[00:03:38.000 --> 00:03:40.000]  看著鏡頭,讀給他聽!
[00:03:40.000 --> 00:03:41.000]  大聲一點,好嗎?
[00:03:41.000 --> 00:03:45.000]  「以利亞與我們是一樣盛情的人。」
[00:03:45.000 --> 00:03:48.000]  即是你也像以利亞那樣!
[00:03:48.000 --> 00:03:50.000]  為什麼呢?
[00:03:50.000 --> 00:03:53.000]  以利亞的靈性可以去到這麼高,
[00:03:53.000 --> 00:03:55.000]  我們可不可以?
[00:03:55.000 --> 00:03:56.000]  給我一些反應!
[00:03:56.000 --> 00:03:57.000]  可不可以?
[00:03:57.000 --> 00:03:59.000]  可以!一樣的!
[00:03:59.000 --> 00:04:02.000]  所以其實你靈性可以去到很高峰!
[00:04:02.000 --> 00:04:07.000]  但是以利亞可以跌到人生最低谷的時候,
[00:04:07.000 --> 00:04:09.000]  你會不會有機會呢?
[00:04:09.000 --> 00:04:11.000]  也可以有這個機會!
[00:04:11.000 --> 00:04:15.000]  因為他與我們是一樣的!
[00:04:15.000 --> 00:04:18.000]  所以坦白說,請大家不要誤解,
[00:04:18.000 --> 00:04:23.000]  你們這些組長、同工、執事,
[00:04:23.000 --> 00:04:25.000]  他們特別厲害!
[00:04:25.000 --> 00:04:28.000]  其實我們都是一樣的!
[00:04:28.000 --> 00:04:31.000]  坦白說,不需要性化你自己!
[00:04:31.000 --> 00:04:34.000]  我們都會有憂愁,我們會有破碎,
[00:04:34.000 --> 00:04:36.000]  我們會有人生的高和低,
[00:04:36.000 --> 00:04:39.000]  我們會有成功,我們會有失敗,
[00:04:39.000 --> 00:04:42.000]  我們會有得勝,我們會有沮喪的時候!
[00:04:42.000 --> 00:04:47.000]  所以,我們更加需要與你旁邊的人說,好嗎?
[00:04:47.000 --> 00:04:49.000]  看著旁邊的人,告訴他!
[00:04:49.000 --> 00:04:51.000]  「我好軟弱的。」
[00:04:51.000 --> 00:04:56.000]  「我需要你守望。」
[00:04:56.000 --> 00:05:00.000]  任何一個人,你應該大膽告訴他!
[00:05:00.000 --> 00:05:03.000]  無論你是執事,你是一個牧師,
[00:05:03.000 --> 00:05:05.000]  你是哪一個人都好!
