
[00:00:00.000 --> 00:00:03.360]  今天會跟大家一起繼續看過往
[00:00:03.360 --> 00:00:06.080]  去年我跟大家看過提摩太后書
[00:00:06.080 --> 00:00:08.800]  上年跟大家總共有三次來看過
[00:00:08.800 --> 00:00:12.840]  我都仍然用保羅的丁玲來作為總題目
[00:00:12.840 --> 00:00:18.640]  今天我們跟大家來到第三章的第一到十三節
[00:00:18.640 --> 00:00:20.280]  這段經文準備的時候
[00:00:20.280 --> 00:00:23.360]  我發覺剛剛都是我們2012年尾的時候
[00:00:23.360 --> 00:00:27.280]  可能有些人都留意一下新聞的消息都有關的
[00:00:27.280 --> 00:00:30.560]  所以我先跟大家看第三章的一節
[00:00:30.560 --> 00:00:32.080]  我們看這段經文
[00:00:32.080 --> 00:00:34.160]  讓我們去認識一下
[00:00:34.160 --> 00:00:38.520]  原來聖經裡面講的有關這個事情
[00:00:38.520 --> 00:00:41.320]  更加讓我們去有一個認識
[00:00:41.320 --> 00:00:42.640]  我們一起來讀這段經文吧
[00:00:42.640 --> 00:00:43.640]  可以備起
[00:00:43.640 --> 00:00:49.160]  末世必有危險的日子來到
[00:00:49.160 --> 00:00:52.640]  這段經文沒有放在去年的十二月二十一日讀
[00:00:52.640 --> 00:00:56.520]  但是在今天我們讀仍然都會有些印象
[00:00:56.520 --> 00:00:59.760]  原來我們有時候都跟別人聊聊天
[00:00:59.760 --> 00:01:01.960]  如果去年十二月二十一日前
[00:01:01.960 --> 00:01:05.640]  可能大家都關心一下世界末日何時來
[00:01:05.640 --> 00:01:09.000]  我相信如果真的仍然有一些朋友
[00:01:09.000 --> 00:01:13.000]  你身邊都覺得對世界末日課題都挺有興趣的話
[00:01:13.000 --> 00:01:15.800]  我有個建議你不如跟他們看看聖經
[00:01:15.800 --> 00:01:19.920]  你會慢慢發覺原來聖經講末日都講不少的
[00:01:19.920 --> 00:01:23.720]  所以大家如果多一點時間去讀聖經的時候
[00:01:23.720 --> 00:01:27.960]  你就會發覺我們應該透過聖經來幫助一些人
[00:01:27.960 --> 00:01:30.480]  可以讓他們正確地去明白
[00:01:30.480 --> 00:01:32.960]  什麼才是世界的末日
[00:01:32.960 --> 00:01:35.960]  有人就曾經用一個比喻講世界末日是怎樣的呢
[00:01:35.960 --> 00:01:37.200]  他說世界末日的時候
[00:01:37.200 --> 00:01:42.280]  可能是好像那些人在懸崖上高來到正在走路
[00:01:42.280 --> 00:01:45.320]  左右兩邊可能都是懸崖峭壁
[00:01:45.320 --> 00:01:48.280]  越走越是一步一驚心
[00:01:48.280 --> 00:01:50.720]  隨時會怎樣
[00:01:50.720 --> 00:01:51.480]  墮崖
[00:01:51.480 --> 00:01:55.360]  最近美國已經處理了他們的墮崖危機
[00:01:55.360 --> 00:01:58.200]  就是在講他們的財政懸崖
[00:01:58.200 --> 00:01:59.920]  不過其實可能還沒處理得好
[00:01:59.920 --> 00:02:01.720]  暫時沒有掉下去
[00:02:01.720 --> 00:02:03.600]  其實遲些可能都不知道什麼時候掉下去
[00:02:03.600 --> 00:02:05.240]  到2、3月他們又說
[00:02:05.240 --> 00:02:09.320]  美國的債務問題又是另一個警號
[00:02:09.320 --> 00:02:10.920]  這裡讓我們看見
[00:02:10.920 --> 00:02:13.040]  普羅提神提摩泰
[00:02:13.040 --> 00:02:15.800]  他所面對的這個末世是一個很危險的
[00:02:15.800 --> 00:02:17.640]  這個危險有一些艱難
[00:02:17.640 --> 00:02:19.440]  就好像正在走懸崖一樣
[00:02:19.440 --> 00:02:22.600]  隨時會生命都沒有
[00:02:22.600 --> 00:02:27.720]  所以他告訴提摩泰知道這個末世時代的人是怎樣的
[00:02:27.720 --> 00:02:30.360]  他要怎樣去防備要去小心
[00:02:30.360 --> 00:02:34.480]  第一個他會提到就是人心是每況愈下
[00:02:34.480 --> 00:02:37.600]  人的心那種邪惡
[00:02:37.600 --> 00:02:42.680]  那種壞的地方是越來越壞越來越差
[00:02:42.680 --> 00:02:45.920]  他用了19個的形容詞
[00:02:45.920 --> 00:02:50.000]  稍後我們讀的2到4節裡面總共用了19個形容詞
[00:02:50.000 --> 00:02:53.360]  來描述末世的人那種心態是怎樣
[00:02:53.360 --> 00:02:56.720]  我們一起來先讀這3節的經文
[00:02:56.720 --> 00:02:59.960]  我們看看他形容了這19種的情況是怎樣
[00:02:59.960 --> 00:03:00.640]  我們一起來讀
[00:03:00.640 --> 00:03:01.720]  預備起
[00:03:01.720 --> 00:03:04.720]  因為那時人要專顧自己
[00:03:04.720 --> 00:03:06.360]  貪愛錢財
[00:03:06.360 --> 00:03:08.080]  自誇狂傲
[00:03:08.080 --> 00:03:08.960]  綁獨
[00:03:08.960 --> 00:03:10.320]  違背父母
[00:03:10.320 --> 00:03:11.920]  忘恩負義
[00:03:11.920 --> 00:03:13.680]  心不勝結
[00:03:13.680 --> 00:03:16.120]  無親情不解怨
[00:03:16.120 --> 00:03:17.760]  好說蠶言
[00:03:17.760 --> 00:03:19.080]  不能自約
[00:03:19.080 --> 00:03:20.640]  性情凶暴
[00:03:20.640 --> 00:03:22.360]  不愛良善
[00:03:22.360 --> 00:03:24.080]  賣主賣友
[00:03:24.080 --> 00:03:25.800]  任意妄為
[00:03:25.800 --> 00:03:27.400]  自高自大
[00:03:27.400 --> 00:03:28.720]  愛燕諾
[00:03:28.720 --> 00:03:30.040]  不愛神
[00:03:30.040 --> 00:03:32.760]  在猶太人的文學傳統裡面
[00:03:32.760 --> 00:03:34.400]  其實他們都會說一下末日
[00:03:34.400 --> 00:03:37.760]  他們特別提到末日的時候是邪惡
[00:03:37.760 --> 00:03:38.920]  勢力會增多
[00:03:38.920 --> 00:03:40.400]  惡人會當道
[00:03:40.400 --> 00:03:44.720]  所以這個就是普羅為什麼再一次將這個圖畫放在提摩太面前
[00:03:44.720 --> 00:03:47.040]  有時候我們都未必從這個角度去看的
