
[00:00:00.000 --> 00:00:02.000]  鄧炳志,早晨!
[00:00:02.000 --> 00:00:05.000]  今天我們繼續我們的希伯來書
[00:00:05.000 --> 00:00:07.000]  今天我們去到第十章
[00:00:07.000 --> 00:00:09.000]  還有兩章,大家忍耐一下
[00:00:09.000 --> 00:00:11.000]  我們一起,一起
[00:00:11.000 --> 00:00:13.000]  很大聲的,一起讀第十章
[00:00:13.000 --> 00:00:15.000]  十九至二十一節,好嗎?
[00:00:15.000 --> 00:00:17.000]  一,二,三
[00:00:17.000 --> 00:00:20.000]  弟兄們,我們基因耶穌的血
[00:00:20.000 --> 00:00:22.000]  得以坦然進入聖所
[00:00:22.000 --> 00:00:25.000]  是藉著他給我們開了一條
[00:00:25.000 --> 00:00:28.000]  又新又活的路從萬子經過
[00:00:28.000 --> 00:00:30.000]  這萬子就是他的身體
[00:00:30.000 --> 00:00:32.000]  又有一位大祭司
[00:00:32.000 --> 00:00:34.000]  治理神的家
[00:00:34.000 --> 00:00:36.000]  弟兄姊妹,是不是很熟悉這個經文
[00:00:36.000 --> 00:00:38.000]  又說血,又說聖所
[00:00:38.000 --> 00:00:40.000]  又說至聖所的時候
[00:00:40.000 --> 00:00:42.000]  聽了很多次,其實呢
[00:00:42.000 --> 00:00:44.000]  是重重複複不停地去
[00:00:44.000 --> 00:00:46.000]  提醒我們一件事
[00:00:46.000 --> 00:00:48.000]  就是要我們悔改,有時呢
[00:00:48.000 --> 00:00:50.000]  好像覺得很煩
[00:00:50.000 --> 00:00:52.000]  我記得我以前經常抖腳
[00:00:52.000 --> 00:00:54.000]  小時候,我爸爸就
[00:00:54.000 --> 00:00:56.000]  重重複複地叫我不要再抖了
[00:00:56.000 --> 00:00:58.000]  我就覺得很煩
[00:00:58.000 --> 00:01:00.000]  慢慢長大之後呢
[00:01:00.000 --> 00:01:02.000]  煩的是我自己,因為抖腳的是我
[00:01:02.000 --> 00:01:04.000]  其實弟兄姊妹,基督徒
[00:01:04.000 --> 00:01:06.000]  也是一樣的,我們很多時
[00:01:06.000 --> 00:01:08.000]  有很多罪性在我們心裡的時候
[00:01:08.000 --> 00:01:10.000]  我們好像揮之不去那樣
[00:01:10.000 --> 00:01:12.000]  神藉著教會
[00:01:12.000 --> 00:01:14.000]  藉著聖經,藉著廣道
[00:01:14.000 --> 00:01:16.000]  藉著小祖,藉著祈禱
[00:01:16.000 --> 00:01:18.000]  不停地去提醒我們
[00:01:18.000 --> 00:01:20.000]  要走一條天路
[00:01:20.000 --> 00:01:22.000]  所以今天,希望大家
[00:01:22.000 --> 00:01:24.000]  不要覺得很煩
[00:01:24.000 --> 00:01:26.000]  我們要感恩
[00:01:26.000 --> 00:01:28.000]  因為起碼神肯犯我們
[00:01:28.000 --> 00:01:30.000]  我們一起去冥想
[00:01:30.000 --> 00:01:32.000]  一起把心打開
[00:01:32.000 --> 00:01:34.000]  去迎接今天
[00:01:34.000 --> 00:01:36.000]  上帝給我們的話語
[00:01:36.000 --> 00:01:38.000]  其實呢
[00:01:38.000 --> 00:01:40.000]  你有沒有發覺
[00:01:40.000 --> 00:01:42.000]  做這麼多年人呢
[00:01:42.000 --> 00:01:44.000]  我們很多時都是欲罷不能
[00:01:44.000 --> 00:01:46.000]  很多時你明明
[00:01:46.000 --> 00:01:48.000]  想做得好,你做不到
[00:01:48.000 --> 00:01:50.000]  就好像保羅在聖經裡說的
[00:01:50.000 --> 00:01:52.000]  好像有兩個律
[00:01:52.000 --> 00:01:54.000]  當你想去到人性的光輝
[00:01:54.000 --> 00:01:56.000]  就好像
[00:01:56.000 --> 00:01:58.000]  神的形象的時候
[00:01:58.000 --> 00:02:00.000]  就有一樣東西好像拖著你下來
[00:02:00.000 --> 00:02:02.000]  這就是我們的罪
[00:02:02.000 --> 00:02:04.000]  但是,姊妹,我想給你看一個
[00:02:04.000 --> 00:02:06.000]  很特別的一個
[00:02:06.000 --> 00:02:08.000]  實驗
[00:02:08.000 --> 00:02:10.000]  知道這是什麼嗎
[00:02:10.000 --> 00:02:12.000]  這個瓶子裡的是什麼
[00:02:12.000 --> 00:02:14.000]  是塞子
[00:02:14.000 --> 00:02:16.000]  有個實驗就是
[00:02:16.000 --> 00:02:18.000]  有一班科學家就拿一些塞子
[00:02:18.000 --> 00:02:20.000]  倒在瓶子裡
[00:02:20.000 --> 00:02:22.000]  然後就關上蓋子
[00:02:22.000 --> 00:02:24.000]  關上蓋子
[00:02:24.000 --> 00:02:26.000]  關上蓋子
[00:02:26.000 --> 00:02:28.000]  把他放置三天
[00:02:28.000 --> 00:02:30.000]  不打擾他
[00:02:30.000 --> 00:02:32.000]  你知不知道三天後發生什麼事呢
[00:02:32.000 --> 00:02:34.000]  三天後
[00:02:34.000 --> 00:02:36.000]  當他打開蓋子的時候
[00:02:36.000 --> 00:02:38.000]  那些塞子是不會跳出來的
[00:02:38.000 --> 00:02:40.000]  因為他被馴服了
[00:02:40.000 --> 00:02:42.000]  他跳不出來
[00:02:42.000 --> 00:02:44.000]  因為他已經習慣了
[00:02:44.000 --> 00:02:46.000]  這就是制約性
[00:02:46.000 --> 00:02:48.000]  甚至沒有了瓶子之後
[00:02:48.000 --> 00:02:50.000]  他依然好像有一個瓶子一樣
[00:02:50.000 --> 00:02:52.000]  把他制約住
[00:02:52.000 --> 00:02:54.000]  大兄姊妹,我們每一個人
[00:02:54.000 --> 00:02:56.000]  我們心裡面,靈魂裡面
[00:02:56.000 --> 00:02:58.000]  就好像有一個罪的瓶子一樣
[00:02:58.000 --> 00:03:00.000]  把我們塞住
[00:03:00.000 --> 00:03:02.000]  我們好像很自由
[00:03:02.000 --> 00:03:04.000]  其實我們是沒有自由的
[00:03:04.000 --> 00:03:06.000]  因為有很多罪性在裡面
[00:03:06.000 --> 00:03:08.000]  最麻煩的就是這堆塞子
[00:03:08.000 --> 00:03:10.000]  下一代就算沒有瓶子
[00:03:10.000 --> 00:03:12.000]  就是因為他們將他們上一代
[00:03:12.000 --> 00:03:14.000]  那個習慣傳給下一代的時候
[00:03:14.000 --> 00:03:16.000]  他們一樣都是
[00:03:16.000 --> 00:03:18.000]  沒有瓶子就好像有瓶子一樣
[00:03:18.000 --> 00:03:20.000]  大兄姊妹
[00:03:20.000 --> 00:03:22.000]  我們有時候心裡面
[00:03:22.000 --> 00:03:24.000]  好像很沉重的樣子
[00:03:24.000 --> 00:03:26.000]  你做人做得夠久的時候
[00:03:26.000 --> 00:03:28.000]  你會回想一下
[00:03:28.000 --> 00:03:30.000]  我們年輕的時候
[00:03:30.000 --> 00:03:32.000]  很輕散的
