
[00:00:00.000 --> 00:00:02.000]  大英姐妹主內平安
[00:00:02.000 --> 00:00:05.860]  很高興再一次在港台和大家見面
[00:00:05.860 --> 00:00:10.160]  今天的題目是生命的逆轉
[00:00:10.160 --> 00:00:12.900]  所謂逆轉就是一個叫reversal
[00:00:12.900 --> 00:00:14.860]  其實我們很多時候
[00:00:14.860 --> 00:00:18.220]  我們想的逆轉就是我們的環境改變了
[00:00:18.220 --> 00:00:22.660]  可能以前住屋村 後來參加港姐
[00:00:22.660 --> 00:00:26.060]  就贏了半軍 嫁了豪門
[00:00:26.060 --> 00:00:27.260]  我不是說我
[00:00:27.260 --> 00:00:32.700]  這種的逆轉就是生命一個完全的改變
[00:00:32.700 --> 00:00:35.600]  我們世人看的逆轉就是
[00:00:35.600 --> 00:00:39.400]  一個生命的環境很大的改變
[00:00:39.400 --> 00:00:42.100]  可能你很多的生意做到很大
[00:00:42.100 --> 00:00:45.960]  但是可能金融風暴 令到你破產
[00:00:45.960 --> 00:00:50.340]  所以破產之後可能屋又要賣
[00:00:50.340 --> 00:00:53.000]  車又要賣 變成一無所有
[00:00:53.000 --> 00:00:54.800]  這種的逆轉都不一定
[00:00:54.800 --> 00:00:57.440]  今天我們說的題目是為什麼?
[00:00:57.440 --> 00:01:01.520]  因為聖經裏面有很多很多的逆轉
[00:01:01.520 --> 00:01:06.400]  也是一個上帝給我們從舊約到新約
[00:01:06.400 --> 00:01:10.600]  一個中心的神學意思在裏面
[00:01:10.600 --> 00:01:15.600]  之前也說過有不同的婦女
[00:01:15.600 --> 00:01:18.840]  聖經裏面其實不是說很多婦女
[00:01:18.840 --> 00:01:22.440]  可能都是比較上當時的時代
[00:01:22.440 --> 00:01:25.860]  都是重男輕女 就像我們中國古代一樣
[00:01:25.860 --> 00:01:29.440]  就變成聖經很少提及一些婦女
[00:01:29.440 --> 00:01:31.120]  但是當它提及一些婦女的時候
[00:01:31.120 --> 00:01:34.680]  很多時候都是影響很大的
[00:01:34.680 --> 00:01:37.160]  大家剛才看那段的經文
[00:01:37.160 --> 00:01:40.180]  是路加福音就是瑪利亞的歌頌
[00:01:40.180 --> 00:01:41.720]  大家都很清楚知道
[00:01:41.720 --> 00:01:44.840]  瑪利亞不是一個普通的婦女
[00:01:44.840 --> 00:01:46.200]  本來是一個很普通的
[00:01:46.200 --> 00:01:48.900]  但是逆轉了之後就真的不普通了
[00:01:48.900 --> 00:01:52.080]  到今時今日我們知道瑪利亞是誰
[00:01:52.080 --> 00:01:54.900]  就算你不信基督教 不信天主教
[00:01:54.900 --> 00:01:57.540]  你問她瑪利亞是誰 耶穌是媽媽
[00:01:57.540 --> 00:01:58.760]  其實是知道的
[00:01:58.760 --> 00:02:01.880]  因為她真是一個可以說是歷史上
[00:02:01.880 --> 00:02:05.000]  聖經上一個很重要的人物
[00:02:05.000 --> 00:02:06.600]  之前我其實也有說過
[00:02:06.600 --> 00:02:09.360]  上次我們說過路德 是不是?
[00:02:09.360 --> 00:02:10.840]  路德也是一個婦女
[00:02:10.840 --> 00:02:14.160]  也是一個受人歧視的
[00:02:14.160 --> 00:02:16.600]  因為她是一個摩訶
[00:02:16.600 --> 00:02:19.120]  一個外邦的女子
[00:02:19.120 --> 00:02:21.320]  她也是一個寡婦
[00:02:21.320 --> 00:02:23.080]  婦女已經被人歧視了
[00:02:23.080 --> 00:02:25.480]  跟著外邦人更加被人歧視
[00:02:25.480 --> 00:02:28.640]  你是寡婦就更加被人歧視
