
[00:00:00.000 --> 00:00:05.000]  今日的講道題目是一位母親的奉獻
[00:00:05.000 --> 00:00:07.000]  快到母親節了
[00:00:07.000 --> 00:00:10.000]  我特別選了這段經文
[00:00:10.000 --> 00:00:13.000]  跟大家分享一位母親的奉獻
[00:00:13.000 --> 00:00:14.000]  今天是講奉獻
[00:00:14.000 --> 00:00:16.000]  但我用一位母親的奉獻
[00:00:16.000 --> 00:00:20.000]  來作為一個見證
[00:00:20.000 --> 00:00:24.000]  我們來看看聖經裡的經文
[00:00:24.000 --> 00:00:30.000]  耶和華卻不使哈拿生育 他的對頭比利拿因
[00:00:30.000 --> 00:00:35.000]  耶和華不使哈拿生育 就常常惹他發怒
[00:00:35.000 --> 00:00:37.000]  大家知道當時的文化
[00:00:37.000 --> 00:00:39.000]  這個人有兩個太太
[00:00:39.000 --> 00:00:43.000]  哈拿沒有嬰兒
[00:00:43.000 --> 00:00:47.000]  那個所謂的二奶
[00:00:47.000 --> 00:00:51.000]  常常罵他
[00:00:51.000 --> 00:00:53.000]  常常使他發怒
[00:00:53.000 --> 00:00:56.000]  使他生氣 每一年都是如此
[00:00:56.000 --> 00:00:59.000]  每當他上到耶和華殿的時候
[00:00:59.000 --> 00:01:03.000]  比利拿就惹他發怒
[00:01:03.000 --> 00:01:05.000]  以致他哭泣不吃飯
[00:01:05.000 --> 00:01:07.000]  令他連飯都吃不下
[00:01:07.000 --> 00:01:11.000]  他丈夫伊利加拿對他說
[00:01:11.000 --> 00:01:14.000]  哈拿 你為何哭泣不吃飯
[00:01:14.000 --> 00:01:16.000]  為何傷心難過呢
[00:01:16.000 --> 00:01:20.000]  有我不比有十個兒子更好嗎
[00:01:20.000 --> 00:01:24.000]  幾千年前的男人都不懂得取悅
[00:01:24.000 --> 00:01:26.000]  不懂得安慰
[00:01:26.000 --> 00:01:28.000]  老公 你的頭髮掉了
[00:01:28.000 --> 00:01:30.000]  沒關係 你有我就行了
[00:01:30.000 --> 00:01:32.000]  都是這樣
[00:01:32.000 --> 00:01:35.000]  老公不懂得說話 不懂得安慰
[00:01:35.000 --> 00:01:37.000]  哈拿心裡就愁苦
[00:01:37.000 --> 00:01:39.000]  聽完老公更加沒有安慰
[00:01:39.000 --> 00:01:43.000]  於是痛痛哭泣 向耶和華祈禱
[00:01:43.000 --> 00:01:45.000]  他許願說 萬君子耶和華
[00:01:45.000 --> 00:01:52.000]  你若垂過你侍女的苦情 眷念不忘你的侍女
[00:01:52.000 --> 00:01:54.000]  賜你的侍女一個子嗣
[00:01:54.000 --> 00:01:58.000]  若我必使她終生歸給耶和華
