
[00:00:00.000 --> 00:00:02.840]  各位大型節目, 早晨!
[00:00:02.840 --> 00:00:06.280]  我們在教會里面, 過去幾個禮拜,
[00:00:06.280 --> 00:00:12.040]  我們一直在學習, 如何建立一個健康的市民教會。
[00:00:12.040 --> 00:00:15.520]  當大家看圖畫的時候,
[00:00:15.520 --> 00:00:21.240]  很想你去留心, 那些一點點是在移動的。
[00:00:21.240 --> 00:00:27.080]  就好像我們的細胞, 就好像我們教會里面的五個健康元素,
[00:00:27.080 --> 00:00:33.640]  是不斷增長的, 成長的, 活動的, 活潑的。
[00:00:33.640 --> 00:00:39.240]  其實教會, 自從耶穌基督創立教會以來,
[00:00:39.240 --> 00:00:43.800]  二千年來, 都是這五方面, 五大元素,
[00:00:43.800 --> 00:00:46.520]  去建立一個健康的教會。
[00:00:46.520 --> 00:00:51.880]  但是究竟我們有多認識健康的教會, 究竟我們如何活出呢?
[00:00:51.880 --> 00:00:55.720]  過去這幾個星期, 我們一起去《塵聖經》裏面看,
[00:00:55.720 --> 00:00:57.960]  如何活出敬拜的人生。
[00:00:57.960 --> 00:00:59.800]  今天是第四講,
[00:00:59.800 --> 00:01:04.840]  我會將活出敬拜的人生, 一個很重要的信息,
[00:01:04.840 --> 00:01:07.920]  特別是在《羅馬書》, 如何教導我們, 和大家分享。
[00:01:07.920 --> 00:01:12.760]  但是我很想大家繼續爲自己祈禱,
[00:01:12.760 --> 00:01:16.880]  在未來這半年, 究竟我們在我們的生活當中,
[00:01:16.880 --> 00:01:20.560]  這些字我們全都知道, 活出敬拜的人生,
[00:01:20.560 --> 00:01:26.880]  我們如何有質素的相交, 在小組, 不僅是普通的社交。
[00:01:26.880 --> 00:01:30.320]  我們都知道的, 但是究竟我們如何深入活出呢?
[00:01:30.320 --> 00:01:34.480]  如何在《聖經》裏面看到, 究竟我們如何回應呢?
[00:01:34.480 --> 00:01:36.920]  勤成長的靈明, 我們都知道要做了,
[00:01:36.920 --> 00:01:38.520]  但是究竟我們如何做呢?
[00:01:38.520 --> 00:01:40.240]  《聖經》裏面有什麼要求呢?
[00:01:40.240 --> 00:01:42.240]  或者是得發揮的恩賜,
[00:01:42.240 --> 00:01:44.560]  我們如何去服侍他, 用什麼心態呢?
[00:01:44.560 --> 00:01:46.200]  我們如何去服侍神呢?
[00:01:46.200 --> 00:01:50.720]  我們在洛傳揚的恩典, 作爲整個教會, 一個使命的教會,
[00:01:50.720 --> 00:01:55.320]  必須要將福音傳開, 但是我們如何去回應神呢?
[00:01:55.320 --> 00:01:58.400]  我想和大家說, 這五方面,
[00:01:58.400 --> 00:02:02.120]  其實我們不多不少有聽過, 不多不少有認識,
[00:02:02.120 --> 00:02:05.240]  其實在我自己的侍奉生涯裏面,
[00:02:05.240 --> 00:02:08.960]  很多時候, 由依仗到實踐, 我自己的經歷,
[00:02:08.960 --> 00:02:15.280]  有時真的經過十年的時間, 聽同一段經文,
[00:02:15.280 --> 00:02:17.400]  同一個活出敬拜人生,
[00:02:17.400 --> 00:02:19.560]  其實當我預備今天的講道的時候,
[00:02:19.560 --> 00:02:24.640]  神將羅馬書十二章一至二節給我, 是一個更新的體會,
[00:02:24.640 --> 00:02:27.720]  我自己覺得, 好像重新去看這段經文,
