
[00:00:00.000 --> 00:00:02.400]  今日我們繼續思想聖經的說話
[00:00:02.400 --> 00:00:04.900]  我們看回聖經詩篇裏面的禱告詩
[00:00:04.900 --> 00:00:06.700]  大家一齊和我做一次同心
[00:00:06.700 --> 00:00:08.300]  我們祈禱仰望主
[00:00:08.300 --> 00:00:17.300]  天上的主 我們感謝祢
[00:00:17.300 --> 00:00:20.500]  因為祢的確是我們生命的主
[00:00:20.500 --> 00:00:23.600]  祢不單坐在寶座上
[00:00:23.600 --> 00:00:26.200]  祢掌管著天地宇宙
[00:00:26.200 --> 00:00:29.400]  祢更加是我們生命的主宰
[00:00:29.400 --> 00:00:31.600]  每一天引導、保守
[00:00:31.600 --> 00:00:34.200]  主我們敬拜祢
[00:00:34.200 --> 00:00:36.800]  滿有能力、滿有慈愛的上帝
[00:00:36.800 --> 00:00:39.100]  主讓我們知道
[00:00:39.100 --> 00:00:41.500]  生命裏面沒有其他的事情
[00:00:41.500 --> 00:00:43.600]  能夠真正滿足我們的心
[00:00:43.600 --> 00:00:46.400]  唯有祢自己成為了我們生命
[00:00:46.400 --> 00:00:49.200]  真正的盼望、真正的把握
[00:00:49.200 --> 00:00:51.900]  如今我們到祢面前來做一次
[00:00:51.900 --> 00:00:53.900]  打開聖經思想祢的說話
[00:00:53.900 --> 00:00:56.300]  主我們渴望祢自己
[00:00:56.300 --> 00:00:59.500]  賜下祢的道、賜下祢自己
[00:00:59.500 --> 00:01:00.700]  讓我們在祢的面前
[00:01:00.700 --> 00:01:02.500]  一路跟隨祢的時候
[00:01:02.500 --> 00:01:04.400]  我們心得到堅固
[00:01:04.400 --> 00:01:06.700]  也都知道緊緊的追隨祢
[00:01:06.700 --> 00:01:09.900]  我們仰望主帶領一段時間
[00:01:09.900 --> 00:01:11.800]  奉耶穌成名祈禱
[00:01:11.800 --> 00:01:12.500]  阿們
[00:01:12.500 --> 00:01:17.200]  我們再看回聖經詩篇的63篇的聖經
[00:01:17.200 --> 00:01:22.000]  我想先提一件事情
[00:01:22.000 --> 00:01:25.000]  大家會留意到在我們宣導會
[00:01:25.000 --> 00:01:27.700]  純粹會提及孫迅博士
[00:01:27.700 --> 00:01:30.100]  是我們宣導會的創辦人
[00:01:30.100 --> 00:01:31.400]  曾經他寫一首詩歌
[00:01:31.400 --> 00:01:33.900]  很多弟兄姊妹都會很歡喜唱的
[00:01:33.900 --> 00:01:37.400]  就是英文是Himself
[00:01:37.400 --> 00:01:38.700]  中文的詩歌是說
[00:01:38.700 --> 00:01:40.600]  今要主自己
[00:01:40.600 --> 00:01:43.000]  這首詩歌的歌詞很特別
[00:01:43.000 --> 00:01:44.100]  大家可能都會記得
[00:01:44.100 --> 00:01:45.600]  一開始就說到
[00:01:45.600 --> 00:01:50.500]  他說前所要的是祝福
[00:01:50.500 --> 00:01:53.700]  但是今所要的是主
[00:01:54.400 --> 00:01:57.400]  前所要的是恩賜
[00:01:57.400 --> 00:02:01.000]  今所要的是賜恩的主
[00:02:01.000 --> 00:02:05.100]  前尋找醫治
[00:02:05.100 --> 00:02:08.500]  但是今尋找主自己
[00:02:08.500 --> 00:02:10.400]  很快的
[00:02:10.400 --> 00:02:13.300]  詩歌裡說的是以前怎樣
[00:02:13.300 --> 00:02:15.000]  現在怎樣
[00:02:15.000 --> 00:02:17.200]  以前未明白
[00:02:17.200 --> 00:02:19.600]  就會尋找恩賜
[00:02:19.600 --> 00:02:21.000]  尋找祝福
[00:02:21.000 --> 00:02:22.500]  尋找醫治
[00:02:22.500 --> 00:02:25.500]  是人很自然有的一種回應
[00:02:25.500 --> 00:02:28.300]  但是進深認識神的時候就發覺
[00:02:28.300 --> 00:02:31.100]  更加大的寶貴的追尋
[00:02:31.100 --> 00:02:34.100]  就是追尋主自己
[00:02:34.100 --> 00:02:35.600]  要得著主自己
[00:02:35.600 --> 00:02:37.000]  甚至有些時候
[00:02:37.000 --> 00:02:39.300]  好像很接受
[00:02:39.300 --> 00:02:41.300]  上帝不給我祝福
[00:02:41.300 --> 00:02:42.800]  不給我恩賜
[00:02:42.800 --> 00:02:44.900]  甚至不給我醫治
[00:02:44.900 --> 00:02:49.000]  但是祂所要的是神自己
[00:02:49.000 --> 00:02:51.800]  或者說神要我們得到的
[00:02:51.800 --> 00:02:54.600]  更多的是祂自己
[00:02:54.600 --> 00:02:56.900]  你發覺當我們很多時候在祈禱的時候
[00:02:56.900 --> 00:02:59.500]  我們都是這樣為自己的祝福
[00:02:59.500 --> 00:03:02.200]  為自己的健康等等祈禱
[00:03:02.200 --> 00:03:03.800]  但是很多時候你會察覺到
[00:03:03.800 --> 00:03:06.700]  當在信仰的路上
