
[00:00:00.000 --> 00:00:03.800]  父神姊妹,讓我們聽上帝的話,以先讓人先同心同意
[00:00:03.800 --> 00:00:07.400]  弟子們,讓我們在聽上帝話之前,先同心同意
[00:00:07.400 --> 00:00:12.800]  慈悲的父神,我們再次恭敬來到你的面前
[00:00:12.800 --> 00:00:15.800]  懇求你賜給我們的聖靈
[00:00:15.800 --> 00:00:19.800]  再次讓我們學曉如何信服在你的說話當中
[00:00:19.800 --> 00:00:23.200]  同時領受當中的教導
[00:00:23.200 --> 00:00:26.800]  成為我們生命每一時每一刻的見證
[00:00:27.800 --> 00:00:32.200]  所以懇求父神你讓我們在這個時候再次安靜我們的心靈
[00:00:32.200 --> 00:00:34.000]  貼近主你的心
[00:00:34.000 --> 00:00:39.000]  讓我們能夠在你的說話當中再次得到肯定
[00:00:39.000 --> 00:00:43.200]  並且能夠有準確的侍奉的心智
[00:00:43.200 --> 00:00:46.000]  在你的所交託的環境裏面
[00:00:46.000 --> 00:00:47.800]  活出主你的樣式
[00:00:47.800 --> 00:00:53.000]  親愛的父神,感謝你讓我們再次能夠有生命打開你的說話
[00:00:53.000 --> 00:00:57.000]  一起來到思想領受當中你的教訓
[00:00:57.400 --> 00:01:01.400]  我們現在懇求你賜給我們的聖靈幫助我們
[00:01:01.400 --> 00:01:05.200]  使我們曉得怎麼樣領受當中的教訓
[00:01:05.200 --> 00:01:09.200]  並且能夠在平常的生活當中
[00:01:09.200 --> 00:01:12.800]  活出你當中所教的教訓
[00:01:12.800 --> 00:01:15.400]  也讓我們在一起懇求主你
[00:01:15.400 --> 00:01:18.600]  讓我們帶著順服的心來到你的跟前
[00:01:18.600 --> 00:01:22.600]  讓我們能夠一起在這個世界的當中
[00:01:22.600 --> 00:01:26.400]  活出一個真正屬於主你的信徒的生命
[00:01:26.600 --> 00:01:29.800]  我們祷告,奉求耶穌的名臣,Amen
[00:01:56.600 --> 00:02:08.400]  一般其他宗教,我們會留意到他們會有一個拜神的神像或者圖像在他們的跟前
[00:02:08.400 --> 00:02:16.400]  因為一般的其他宗教,如果拜了神或是說偶像,通常都會有一個圖像在前面
[00:02:16.400 --> 00:02:21.000]  可以讓人摸摸它,可以見一下它
[00:02:21.200 --> 00:02:27.800]  我曾經見過最傻的一種敬拜,就是敬拜一隻叫皮幽的動物
[00:02:27.800 --> 00:02:34.000]  其實都沒有奇物的
