
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹早
[00:00:02.000 --> 00:00:03.000]  早安
[00:00:03.000 --> 00:00:04.000]  先念念
[00:00:04.000 --> 00:00:06.000]  大家平安喜樂
[00:00:06.000 --> 00:00:16.000]  前兩天我打了COVID-19的第二針
[00:00:16.000 --> 00:00:20.000]  緊張得很
[00:00:20.000 --> 00:00:24.000]  以為今天恐怕倒在床上唉唉叫
[00:00:24.000 --> 00:00:28.000]  結果沒事
[00:00:28.000 --> 00:00:33.000]  只是身子不太靈活
[00:00:33.000 --> 00:00:37.000]  關節都比較硬
[00:00:37.000 --> 00:00:42.000]  所以今天走路萬一摔到地下的話請大家幫忙
[00:00:42.000 --> 00:00:54.000]  這一針打下來以後心裡就踏實了
[00:00:55.000 --> 00:01:00.000]  就是說這些保護的設施還是需要
[00:01:00.000 --> 00:01:05.000]  但是呢至少一個很重要的關已經過了
[00:01:05.000 --> 00:01:09.000]  這個關就是你得到保護了
[00:01:09.000 --> 00:01:13.000]  那麼我們我覺得這個保護
[00:01:13.000 --> 00:01:19.000]  這是也是神能夠賜給我們的一個大的一個供應
[00:01:19.000 --> 00:01:23.000]  就是他不會讓我們永遠落在魔鬼手中
[00:01:23.000 --> 00:01:27.000]  他永遠要幫我們抬出來
[00:01:27.000 --> 00:01:30.000]  抬出來做他的功
[00:01:30.000 --> 00:01:35.000]  為他的神國努力打拼
[00:01:35.000 --> 00:01:42.000]  所以我今天分享一段很重要的故事
[00:01:42.000 --> 00:01:49.000]  這個故事呢跟我們牧師一代一直講的
[00:01:49.000 --> 00:01:56.000]  就是他一直說要給我們婦女在聖經中的故事要好好的講講
[00:01:56.000 --> 00:01:57.000]  對不對
[00:01:57.000 --> 00:02:00.000]  這個聖經在婦女裡面
[00:02:00.000 --> 00:02:04.000]  神給他們很多的恩典
[00:02:04.000 --> 00:02:06.000]  所以我們要好好講講
[00:02:06.000 --> 00:02:09.000]  而且剛剛我們讀的這段聖經
[00:02:09.000 --> 00:02:11.000]  耶穌親自也說
[00:02:11.000 --> 00:02:17.000]  我們傳福音的時候也要把這段故事講給所有人聽
[00:02:17.000 --> 00:02:20.000]  留作紀念
[00:02:20.000 --> 00:02:22.000]  做這個紀念
[00:02:22.000 --> 00:02:27.000]  所以我覺得這個聖經這段故事呢
[00:02:27.000 --> 00:02:30.000]  很多我們傳福音的時候都沒有講
[00:02:30.000 --> 00:02:32.000]  也沒有做紀念
[00:02:32.000 --> 00:02:40.000]  甚至在福音書裡面也沒有講這個婦女是誰
[00:02:40.000 --> 00:02:43.000]  只有在約翰福音他提了一下子
[00:02:43.000 --> 00:02:48.000]  好像是瑪麗亞就是白大尼的瑪麗亞
[00:02:48.000 --> 00:02:53.000]  就是拉薩路的姐姐
[00:02:53.000 --> 00:02:56.000]  馬大的妹妹
[00:02:56.000 --> 00:02:58.000]  那麼這裡提了一下子她
[00:02:58.000 --> 00:03:00.000]  但是其他福音都沒講
[00:03:00.000 --> 00:03:04.000]  那麼這個福音這個故事大家都很熟悉
[00:03:04.000 --> 00:03:08.000]  就是瑪麗亞拿了一個很珍貴的香膏
[00:03:08.000 --> 00:03:13.000]  把瓶子打破了來告耶穌
[00:03:13.000 --> 00:03:16.000]  那麼這件故事它的背景呢
[00:03:16.000 --> 00:03:20.000]  差不多是耶穌快要進耶路撒冷
[00:03:20.000 --> 00:03:23.000]  被釘十字架的前一個禮拜
[00:03:23.000 --> 00:03:25.000]  大概是第六天
[00:03:25.000 --> 00:03:27.000]  這個背景我們要知道
[00:03:27.000 --> 00:03:32.000]  因為他要在耶路撒冷進城以前
[00:03:32.000 --> 00:03:33.000]  他要做準備
[00:03:33.000 --> 00:03:38.000]  所以他就在白大尼這個地方
[00:03:38.000 --> 00:03:43.000]  就是在耶路撒冷東門的前面
[00:03:43.000 --> 00:03:45.000]  大概有五六里的地方
[00:03:45.000 --> 00:03:46.000]  有個村莊
[00:03:46.000 --> 00:03:48.000]  他經常在那裡住
