
[00:00:00.000 --> 00:00:08.000]  寬恕無論在基督教神學或基督徒實踐生活中是最難的課題
[00:00:08.000 --> 00:00:13.000]  亦是最爭議性的一個課題
[00:00:13.000 --> 00:00:18.000]  我舉個例子 我記得有一次有一個姐妹來找我
[00:00:18.000 --> 00:00:22.000]  當她發現她丈夫有了婚外情
[00:00:22.000 --> 00:00:25.000]  她又知道這個大三者是誰的時候
[00:00:25.000 --> 00:00:31.000]  她很生氣 人的正常 很生氣 很不開心
[00:00:31.000 --> 00:00:37.000]  但她跟一些弟兄姐妹談完之後 覺得應該有寬恕
[00:00:37.000 --> 00:00:40.000]  寬恕過七十個七次
[00:00:40.000 --> 00:00:44.000]  於是她就去找這個第三者跟他說
[00:00:44.000 --> 00:00:49.000]  我寬恕你 我原諒你
[00:00:49.000 --> 00:00:52.000]  我聽到之後 問她有沒有搞錯
[00:00:52.000 --> 00:00:58.000]  我說那個第三者怎樣 她覺得我是傻傻的
[00:00:58.000 --> 00:01:01.000]  我又看過一個報紙
[00:01:01.000 --> 00:01:05.000]  一個姐妹被一個強姦犯強姦
[00:01:05.000 --> 00:01:09.000]  她對那個強姦犯說我是一個基督徒 我寬恕你
[00:01:09.000 --> 00:01:14.000]  這些是沒有人性 沒有人情味
[00:01:14.000 --> 00:01:16.000]  但聖經不是叫我們去寬恕嗎
[00:01:16.000 --> 00:01:20.000]  聖經不是叫我們任何人都去寬恕嗎
[00:01:20.000 --> 00:01:25.000]  但我們看到 如果我們用一個這樣的方式
[00:01:25.000 --> 00:01:29.000]  去看聖經裏面的寬恕之道的時候
[00:01:29.000 --> 00:01:34.000]  不單止我們不能夠接受 人家也不能夠接受
[00:01:34.000 --> 00:01:39.000]  幾年前柴玲六四的學生運動
[00:01:39.000 --> 00:01:41.000]  她說她自己信了耶穌
[00:01:41.000 --> 00:01:46.000]  然後她就說我對所有在六四裏面逼迫我們的
[00:01:46.000 --> 00:01:49.000]  我寬恕他們 我原諒他們
[00:01:49.000 --> 00:01:53.000]  然後引起很多民運人士很激烈的反對
[00:01:53.000 --> 00:01:57.000]  究竟我們應該寬恕還是不寬恕呢
[00:01:57.000 --> 00:02:01.000]  究竟基督徒應該採取一個什麼樣的立場呢
[00:02:01.000 --> 00:02:05.000]  但另一方面我們又看到不寬恕又是怎樣
[00:02:05.000 --> 00:02:08.000]  我小時候讀過基督山恩仇記
[00:02:08.000 --> 00:02:16.000]  基督山被這個壞人害到極之慘重 比梁天來還慘
[00:02:16.000 --> 00:02:20.000]  被困在監牢裏面 自己的愛人被人搶了
[00:02:20.000 --> 00:02:22.000]  自己的家財完全沒有了
[00:02:22.000 --> 00:02:26.000]  在監獄裏面去認識了一個老人家
[00:02:26.000 --> 00:02:30.000]  知道各樣的知識 體驗到各樣人生的道理
[00:02:30.000 --> 00:02:32.000]  於是他就偷龍轉鳳的方式
[00:02:32.000 --> 00:02:34.000]  當這個老人家死的時候
[00:02:34.000 --> 00:02:38.000]  他自己跳進去那個屍袋裏面
