
[00:00:00.000 --> 00:00:00.960]  各位靚姐妹們午安
[00:00:00.960 --> 00:00:04.560]  歡迎大家來到十甲基督教會
[00:00:04.560 --> 00:00:07.760]  很感恩我們能夠繼續去看菲立比書
[00:00:07.760 --> 00:00:13.840]  我們是按著這個線型結構去看菲立比書
[00:00:13.840 --> 00:00:19.040]  A B C D E D' C' B' A'
[00:00:19.040 --> 00:00:23.040]  線型結構是為了突出中間的部份
[00:00:23.040 --> 00:00:26.360]  所以如果我們沒有捉錯用神
[00:00:26.360 --> 00:00:27.960]  誤解了保羅的話
[00:00:28.760 --> 00:00:32.760]  保羅寫菲立比書的時間是要突顯中間E部份
[00:00:32.760 --> 00:00:34.440]  也就是基督之歌
[00:00:34.440 --> 00:00:37.720]  今天我們已經來到B'的部份
[00:00:37.720 --> 00:00:40.240]  我們會看四章二至九節
[00:00:40.240 --> 00:00:42.560]  講到題目是主勤了
[00:00:42.560 --> 00:00:46.720]  菲立比書第四章有一個特色
[00:00:46.720 --> 00:00:49.840]  就是上面有很多很多的金句
[00:00:49.840 --> 00:00:52.240]  這個不是我主觀的意見
[00:00:52.240 --> 00:00:54.760]  而是有客觀數據支持的
[00:00:57.200 --> 00:01:00.000]  在2022年英國有一個機構
[00:01:00.000 --> 00:01:04.560]  它用研究軟件去搜集世界各地不同的人
[00:01:04.560 --> 00:01:08.120]  在互聯網上面去搜尋聖經經文的數據
[00:01:08.120 --> 00:01:11.600]  在頭十位最多人搜尋的經文當中
[00:01:11.600 --> 00:01:14.640]  屬於菲立比書四章的就有三節
[00:01:14.640 --> 00:01:18.440]  分別是排第二位的四章十三節
[00:01:18.440 --> 00:01:22.080]  我靠著那加給我力量的凡事都能做
[00:01:22.080 --> 00:01:25.520]  排第六位的四章八節
[00:01:26.040 --> 00:01:29.520]  沒料弟兄們凡事真實的凡事可敬的
[00:01:29.520 --> 00:01:32.120]  凡事公義的凡事清潔的
[00:01:32.120 --> 00:01:35.160]  凡事可愛的凡事有美名的
[00:01:35.160 --> 00:01:37.640]  若有什麼德行若有什麼稱讚
[00:01:37.640 --> 00:01:39.320]  你們都要留意
[00:01:39.320 --> 00:01:42.600]  還有排第七位的四章六節
[00:01:42.600 --> 00:01:44.440]  應當一無掛慮
[00:01:44.440 --> 00:01:47.600]  只要凡事藉著禱告祈求和感謝
[00:01:47.600 --> 00:01:50.200]  將你們所要的告訴上帝
[00:01:50.200 --> 00:01:54.720]  如果你來了我們崇拜有一段日子
