
[00:00:00.000 --> 00:00:03.340]  各位弟兄姐妹朋友們,早安!
[00:00:03.340 --> 00:00:07.040]  今天我要跟各位分享一個信息
[00:00:07.040 --> 00:00:10.540]  耶穌是世界的光
[00:00:10.540 --> 00:00:12.540]  我們都常常講說
[00:00:12.540 --> 00:00:16.540]  主的話是我腳前的燈,路上的光
[00:00:16.540 --> 00:00:23.040]  但是我們真正不知道祂是世界的光
[00:00:23.040 --> 00:00:26.140]  約翰福音裡面七個神蹟
[00:00:26.140 --> 00:00:30.640]  水、電、酒、五餅二魚、瞎眼的得看見
[00:00:30.640 --> 00:00:35.640]  瘸腿的能夠走路、聾子聽見、啞巴說話等等
[00:00:35.640 --> 00:00:38.140]  但是我們都不知道
[00:00:38.140 --> 00:00:43.140]  每一個神蹟祂其實都配合了一個講論
[00:00:43.140 --> 00:00:47.640]  譬如說好牧人的講論,說我是好牧人
[00:00:47.640 --> 00:00:50.640]  好牧人為羊捨命
[00:00:50.640 --> 00:00:56.140]  然後他就講到說拉薩路復活的神蹟
[00:00:56.140 --> 00:01:01.140]  因為好牧人來了是要叫羊得生命
[00:01:01.140 --> 00:01:04.140]  並且得得更豐盛
[00:01:04.140 --> 00:01:07.140]  我又講了一個五餅二魚的神蹟
[00:01:07.140 --> 00:01:13.640]  他是說耶穌用五個餅兩條魚餵飽了五千個人
[00:01:13.640 --> 00:01:16.140]  還剩了十二籃
[00:01:16.140 --> 00:01:21.640]  他配合了一個講論說耶穌祂是生命的糧
[00:01:21.640 --> 00:01:25.140]  他說來救我的永遠不餓
[00:01:25.140 --> 00:01:28.640]  信我的永遠不渴
[00:01:28.640 --> 00:01:35.140]  那麼第三次我是講到說耶穌基督祂把水變成酒
[00:01:35.140 --> 00:01:38.140]  記得嗎?在迦南婚宴上面
[00:01:38.140 --> 00:01:40.140]  大家喝酒慶祝
[00:01:40.140 --> 00:01:42.640]  正喝得酒酣而熱的時候
[00:01:42.640 --> 00:01:45.140]  忽然間說哎呀沒有酒了
[00:01:45.140 --> 00:01:50.140]  結果耶穌就叫人家把水倒到酒缸裡面
[00:01:50.140 --> 00:01:53.640]  結果在倒出來的時候是酒
[00:01:53.640 --> 00:01:57.140]  那麼這是耶穌行的第一個神蹟
[00:01:57.140 --> 00:01:59.140]  這個神蹟是非常有意思
[00:01:59.140 --> 00:02:01.140]  因為我一再地講
