
[00:00:00.000 --> 00:00:04.400]  經文是這樣的,是《馬可福音》的一章一至八節
[00:00:04.400 --> 00:00:07.520]  如果你們可以看著我聽,聽我讀出
[00:00:07.520 --> 00:00:09.720]  「神的兒子耶穌基督福音的起頭
[00:00:09.720 --> 00:00:11.960]  正如先知耳措書上記著說
[00:00:11.960 --> 00:00:13.840]  看那我要差遣我的使者
[00:00:13.840 --> 00:00:15.720]  在你前面預備道路
[00:00:15.720 --> 00:00:17.320]  在曠野有人聲喊著說
[00:00:17.320 --> 00:00:18.960]  預備主的道修正他的路
[00:00:18.960 --> 00:00:20.720]  召者說:約翰來了
[00:00:20.720 --> 00:00:22.480]  在曠野施洗
[00:00:22.480 --> 00:00:23.960]  全悔改的洗禮
[00:00:23.960 --> 00:00:25.360]  使罪得赦
[00:00:25.360 --> 00:00:27.400]  猶太傳地和耶路撒冷的人
[00:00:27.400 --> 00:00:29.800]  都出去去到約翰那裡
[00:00:29.800 --> 00:00:31.200]  承認他們的罪
[00:00:31.200 --> 00:00:33.680]  再約旦河裡受他的洗
[00:00:33.680 --> 00:00:35.200]  約翰穿落駝毛的衣服
[00:00:35.200 --> 00:00:37.360]  腰束皮帶吃的是旺蟲野蜜
[00:00:37.360 --> 00:00:40.440]  他傳道說:有一位在我耳後來的能力比我更大
[00:00:40.440 --> 00:00:43.560]  我就是彎腰和他解鞋帶也是不配的
[00:00:43.560 --> 00:00:45.600]  我是用水給你們施洗
[00:00:45.600 --> 00:00:48.440]  他卻要用聖靈給你們施洗」
[00:00:48.440 --> 00:00:51.000]  這裡我會用三個的向度
[00:00:51.000 --> 00:00:54.000]  來跟大家說這個預備是會怎樣發生
[00:00:54.000 --> 00:00:56.920]  第一個預備我會看第一到第五節
[00:00:56.920 --> 00:00:58.520]  第一節的時候一開始就是這樣的
[00:00:58.520 --> 00:01:00.920]  「神的兒子耶穌基督福音的起頭」
[00:01:00.920 --> 00:01:02.480]  這句好像很平平無奇的說話
[00:01:02.480 --> 00:01:03.880]  它是一個怎樣的
[00:01:03.880 --> 00:01:05.200]  對我們好像平平無奇
[00:01:05.200 --> 00:01:07.520]  但其實一點也不平平無奇
[00:01:07.520 --> 00:01:09.520]  福音書的編排
