
[00:00:00.000 --> 00:00:03.000]  今日的啟示錄第五章
[00:00:03.000 --> 00:00:06.820]  其實應該連同啟示錄第四章
[00:00:06.820 --> 00:00:08.400]  兩章聖經
[00:00:08.400 --> 00:00:12.920]  呈現的是一個天上敬拜的景象
[00:00:12.920 --> 00:00:15.420]  當然如果要再細緻來說
[00:00:15.420 --> 00:00:18.620]  其實這個天上敬拜的景象
[00:00:18.620 --> 00:00:22.520]  不是脫離了地上的生活
[00:00:22.520 --> 00:00:24.700]  反而這種天上的敬拜
[00:00:24.700 --> 00:00:27.900]  其實是一種連接著地上生活
[00:00:27.900 --> 00:00:30.200]  的一種屬天的景象
[00:00:30.200 --> 00:00:33.200]  屬天的敬拜的景象
[00:00:33.200 --> 00:00:38.000]  先父上主藉著引領啟示錄的作者約翰
[00:00:38.000 --> 00:00:42.700]  讓他見到和聽到這個異象
[00:00:42.700 --> 00:00:44.100]  並且寫下它
[00:00:44.100 --> 00:00:46.500]  然後給我們今天的信徒
[00:00:46.500 --> 00:00:47.700]  這個世界
[00:00:47.700 --> 00:00:49.800]  是要我們來交徵
[00:00:49.800 --> 00:00:52.900]  敬拜神的生活的一種焦點
[00:00:52.900 --> 00:00:54.800]  當然亦都是指教
[00:00:54.800 --> 00:01:00.100]  以及是指正我們整個生命的焦點
[00:01:00.100 --> 00:01:03.000]  近日在我們一直都
[00:01:03.000 --> 00:01:05.000]  有些頂子妹都和我說
[00:01:05.000 --> 00:01:06.600]  亦都和我們分享
[00:01:06.600 --> 00:01:09.300]  她說一路差不多一年
[00:01:09.300 --> 00:01:12.700]  大部分的時間都沒有實體崇拜
[00:01:12.700 --> 00:01:17.200]  只是看直播的方式來去敬拜主
[00:01:17.200 --> 00:01:18.800]  她說相差很遠
[00:01:18.800 --> 00:01:20.700]  心情相差很遠
[00:01:20.700 --> 00:01:22.500]  亦都在家裡的時候
[00:01:22.500 --> 00:01:24.200]  是沒有那麼專心的
[00:01:24.200 --> 00:01:27.300]  甚至乎一隻眼都望左望右
[00:01:27.300 --> 00:01:28.500]  這種情況
[00:01:28.500 --> 00:01:30.300]  這種不能夠集中精神
[00:01:30.300 --> 00:01:31.900]  不能夠專心
[00:01:31.900 --> 00:01:33.800]  某程度我們都明白的
[00:01:33.800 --> 00:01:37.000]  這個都不是我們想的
[00:01:37.000 --> 00:01:42.300]  我們都會祈禱盡快疫情過去
[00:01:42.300 --> 00:01:46.100]  我們可以實體來聚集來崇拜
[00:01:46.100 --> 00:01:48.800]  不過我相信挑戰都不單止是一個
[00:01:48.800 --> 00:01:52.700]  這樣的小小環境的一種變化之下
[00:01:52.700 --> 00:01:55.400]  其實對我們最大的挑戰
[00:01:55.400 --> 00:01:57.600]  反而是我們的生活
[00:01:57.600 --> 00:02:00.700]  頂子妹說我們的生活都可能在經歷
[00:02:00.700 --> 00:02:03.100]  世界黑暗紛亂
[00:02:03.100 --> 00:02:06.600]  或者是個人的際遇不堪
[00:02:06.600 --> 00:02:11.000]  又或者身體是困乏、苦痛
[00:02:11.000 --> 00:02:13.300]  可能我們經歷這樣的情況
[00:02:13.300 --> 00:02:14.400]  有時我們都會問的
[00:02:14.400 --> 00:02:15.500]  不期然都會問
[00:02:15.500 --> 00:02:18.600]  其實生活還有什麼意思呢?
[00:02:18.600 --> 00:02:21.000]  這種無奈或者是悲憤
[00:02:21.000 --> 00:02:24.800]  怎樣解救呢?盼望在哪裡呢?
[00:02:24.800 --> 00:02:27.300]  原來上帝的心懷當中
[00:02:27.300 --> 00:02:29.800]  原來我們就是在敬拜裏面
[00:02:29.800 --> 00:02:33.700]  正正是活出這種答案和出路的
[00:02:33.700 --> 00:02:39.100]  約翰也同樣活在這種世界的
[00:02:39.100 --> 00:02:43.100]  計時錄的作者約翰
[00:02:43.100 --> 00:02:47.000]  他當時的世界一樣是世界黑暗紛亂的
[00:02:47.000 --> 00:02:49.900]  羅馬帝國的威權統治之下
[00:02:49.900 --> 00:02:53.000]  有人助紂為虐
[00:02:53.000 --> 00:02:56.000]  也威逼百姓
[00:02:56.000 --> 00:03:01.100]  或者是他們都要面對用經濟、利益、做生意
[00:03:01.100 --> 00:03:06.000]  這些引誘之下變得神伏
[00:03:06.000 --> 00:03:09.500]  當然那時候還有帝王的崇拜
[00:03:09.500 --> 00:03:11.200]  崇拜那個帝王
[00:03:11.200 --> 00:03:14.000]  當那個帝王就是一個神來拜
[00:03:14.000 --> 00:03:18.400]  當然還有其他的異教的崇拜
[00:03:18.400 --> 00:03:24.200]  這位作者約翰也都經驗過人際遇的問題
[00:03:24.200 --> 00:03:27.300]  還記得他其實都是身陷牢獄的
[00:03:27.300 --> 00:03:30.700]  他都是因為堅持他的信仰信念
[00:03:30.700 --> 00:03:33.500]  反而是失去了他的自由的
[00:03:33.500 --> 00:03:38.100]  所以其實這位作者約翰
[00:03:38.100 --> 00:03:41.300]  他透過在計時錄第四章
[00:03:41.300 --> 00:03:42.600]  上帝就讓他見到
[00:03:42.600 --> 00:03:44.700]  也都陳明在我們面前
[00:03:44.700 --> 00:03:48.700]  其實這位真神仍然是坐在寶座上
[00:03:48.700 --> 00:03:51.300]  他是創造主
[00:03:51.300 --> 00:03:54.100]  我們和整個社會世界的存留
[00:03:54.100 --> 00:03:56.200]  都是在乎他
[00:03:56.200 --> 00:03:58.500]  然後去到第五章
[00:03:58.500 --> 00:04:00.500]  只是第五章第一節
[00:04:00.500 --> 00:04:02.000]  第五章第一節
[00:04:02.000 --> 00:04:04.100]  他已經呼籲
[00:04:04.100 --> 00:04:07.900]  他說我看見坐在寶座那位的右手中
[00:04:07.900 --> 00:04:09.500]  有書卷
[00:04:09.500 --> 00:04:11.700]  正反面都寫著字
[00:04:11.700 --> 00:04:15.300]  是用七個印封住的
[00:04:15.300 --> 00:04:16.500]  古代的世界
[00:04:16.500 --> 00:04:18.300]  他們如果有些書信
[00:04:18.300 --> 00:04:19.700]  或者重要的東西
[00:04:19.700 --> 00:04:21.800]  當然他們會捲著
[00:04:21.800 --> 00:04:24.300]  然後就用一些蠟
[00:04:24.300 --> 00:04:26.900]  燒了的蠟
[00:04:26.900 --> 00:04:30.600]  封住那個接口
[00:04:30.600 --> 00:04:33.600]  然後就用他們的印鑑
[00:04:33.600 --> 00:04:35.300]  來印一印下去
[00:04:35.300 --> 00:04:38.100]  就知道這個其實是重要的東西
[00:04:38.100 --> 00:04:40.300]  不是隨便打開的
[00:04:40.300 --> 00:04:43.300]  就好像今天的密函一樣
[00:04:43.300 --> 00:04:44.100]  好了
[00:04:44.100 --> 00:04:47.300]  這個密封的書卷
[00:04:47.300 --> 00:04:49.500]  有人說會不會是舊約呢
[00:04:49.500 --> 00:04:51.100]  又或者是
[00:04:51.100 --> 00:04:53.200]  反而是接下來第六章
[00:04:53.200 --> 00:04:54.300]  第七章 第八章
[00:04:54.300 --> 00:04:57.500]  所七印的記載裏面
[00:04:57.500 --> 00:04:59.700]  然後所揭示的呢
[00:04:59.700 --> 00:05:01.800]  不同的正義學者
[00:05:01.800 --> 00:05:03.500]  有些少不同的說法
[00:05:03.500 --> 00:05:04.800]  不過無論如何
[00:05:04.800 --> 00:05:08.000]  裏面一定是記載著神的旨意
[00:05:08.000 --> 00:05:10.000]  是神的計劃
[00:05:10.000 --> 00:05:12.300]  神在我們身上的計劃
[00:05:12.300 --> 00:05:14.200]  神在這個世界上的計劃
[00:05:14.200 --> 00:05:16.800]  裏面包括了審判
[00:05:16.800 --> 00:05:19.000]  包括了救恩
[00:05:19.000 --> 00:05:20.600]  但是這裏記載就是說
