
[00:00:00.000 --> 00:00:04.000]  外國人有一句很出名的說話就是
[00:00:04.000 --> 00:00:09.000]  傳到人家講完沒有內容的時候
[00:00:09.000 --> 00:00:12.000]  他就會很嘮叨的
[00:00:12.000 --> 00:00:17.000]  所以我今天會很嘮叨
[00:00:17.000 --> 00:00:21.000]  盡量用沒有內容
[00:00:21.000 --> 00:00:27.000]  加些內容補充一下內容
[00:00:27.000 --> 00:00:30.000]  時間仍舊有限
[00:00:30.000 --> 00:00:32.000]  我們就思想一下
[00:00:32.000 --> 00:00:35.000]  從《主禱文》看人生
[00:00:35.000 --> 00:00:38.000]  大家剛才都讀過一段經文
[00:00:38.000 --> 00:00:45.000]  再次請大家打開《馬太福音》第六章
[00:00:45.000 --> 00:00:48.000]  《主禱文》大家非常熟悉
[00:00:48.000 --> 00:00:51.000]  在大家的秩序表的下面
[00:00:51.000 --> 00:00:55.000]  剛才詩班獻唱那首詩的下面
[00:00:55.000 --> 00:00:57.000]  有一個廣道的大綱
[00:00:57.000 --> 00:00:59.000]  我喜歡用一個廣道的大綱
[00:00:59.000 --> 00:01:02.000]  希望大家跟著大綱來看
[00:01:02.000 --> 00:01:04.000]  就不會迷路
[00:01:04.000 --> 00:01:07.000]  和不會胡思亂想
[00:01:07.000 --> 00:01:13.000]  集中精神好些少來聽神的說話
[00:01:13.000 --> 00:01:17.000]  大家看看剛才所讀的經文
[00:01:17.000 --> 00:01:24.000]  就是《主禱文》《馬太福音》第六章
[00:01:24.000 --> 00:01:28.000]  第九節開始
[00:01:54.000 --> 00:02:08.000]  《主禱文》很熟悉
[00:02:08.000 --> 00:02:10.000]  《主禱文》非常熟悉
[00:02:10.000 --> 00:02:16.000]  《主禱文》教導我們人生
[00:02:16.000 --> 00:02:24.000]  看看大綱裡面就說到祈禱,禱告是人生的至寶
[00:02:24.000 --> 00:02:28.000]  我們感謝神給我們一個禱告的因典
[00:02:28.000 --> 00:02:30.000]  是因典來
[00:02:30.000 --> 00:02:33.000]  神將這個寶貴的因典賜給我們
[00:02:33.000 --> 00:02:35.000]  不會賜給那些不信主的人
[00:02:35.000 --> 00:02:39.000]  因為他們沒有一個對象去禱告
[00:02:39.000 --> 00:02:41.000]  禱告是能力
[00:02:41.000 --> 00:02:44.000]  是將天上的能力運輸到地上來
[00:02:44.000 --> 00:02:46.000]  好像運輸帶一樣
[00:02:46.000 --> 00:02:50.000]  運輸到地上來去推行神的工作
[00:02:50.000 --> 00:02:53.000]  多些禱告就用神的能力
[00:02:53.000 --> 00:02:58.000]  在你的身上去完成推行神的工作
[00:02:58.000 --> 00:03:00.000]  禱告也是一把武器
[00:03:00.000 --> 00:03:02.000]  一個火力無比的武器
[00:03:02.000 --> 00:03:04.000]  主耶穌回到天下之後
[00:03:04.000 --> 00:03:08.000]  不會留給我們赤手空拳去對抗我們的仇敵
