
[00:00:00.000 --> 00:00:06.900]  各位弟兄姐妹平安舊約盈盈說話
[00:00:06.900 --> 00:00:12.100]  今天我要介紹的就是舊約節期裏面的駐棚節
[00:00:12.100 --> 00:00:15.600]  根據《利美記》二十三章記載
[00:00:15.600 --> 00:00:19.100]  他們在七月下半年
[00:00:19.100 --> 00:00:22.100]  七月他們第一個節就是吹角節
[00:00:22.100 --> 00:00:24.400]  第二個節就是贖罪日
[00:00:24.400 --> 00:00:28.500]  然後第三個節期就是駐棚節
[00:00:28.500 --> 00:00:32.700]  他們要守這個節當時就是他們已經收割的時候
[00:00:32.700 --> 00:00:36.200]  所以他們的農作物已經有收成
[00:00:36.200 --> 00:00:40.200]  神就說你們要守節七天
[00:00:40.200 --> 00:00:44.300]  你們要搭一個棚
[00:00:44.300 --> 00:00:47.700]  用樹枝搭一個棚
[00:00:47.700 --> 00:00:52.900]  而且那個棚的頂是要用樹葉編織的
[00:00:52.900 --> 00:00:58.800]  讓他們透過那個頂是望見天上的星
[00:00:58.800 --> 00:01:06.300]  然後就將一些收成的水果農作物吊在這個棚裏面
[00:01:06.300 --> 00:01:12.200]  然後他們就全家大小要住在這個棚裏面
[00:01:12.200 --> 00:01:14.200]  七天這麼久
[00:01:14.200 --> 00:01:17.300]  七天都守聖會
[00:01:17.300 --> 00:01:19.600]  他們要歡樂
[00:01:19.600 --> 00:01:25.900]  因爲這個是紀念耶和華給他們的恩典的時候
[00:01:25.900 --> 00:01:28.400]  有一年我去到耶路撒冷
[00:01:28.400 --> 00:01:30.300]  剛剛就是駐棚節
[00:01:30.300 --> 00:01:36.300]  我真的看到家家戶戶都在他們的平臺
[00:01:36.300 --> 00:01:40.100]  或者是露臺那裏搭一個棚
[00:01:40.100 --> 00:01:43.200]  各人用的那些材料都不同的
[00:01:43.200 --> 00:01:46.400]  但是真的掛滿了那些葉
[00:01:46.400 --> 00:01:48.200]  一些農作物
[00:01:48.200 --> 00:01:51.000]  有的人吊一些水果
[00:01:51.000 --> 00:01:54.300]  吊一些葡萄
[00:01:54.300 --> 00:01:59.000]  到今天他們可能不是真的住在這個棚裏面七天
