
[00:00:00.000 --> 00:00:03.340]  我們禱告親愛的主啊 求您幫助我們
[00:00:03.340 --> 00:00:07.200]  在這個時候 帶領我們進入您更深入的同在裡面
[00:00:07.200 --> 00:00:09.580]  開我們的眼睛 讓我們去看見
[00:00:09.580 --> 00:00:11.500]  看見您自己的榮耀
[00:00:11.500 --> 00:00:13.140]  主啊 解開您的說話
[00:00:13.140 --> 00:00:16.100]  讓我們能夠在當中得到祖宗
[00:00:16.100 --> 00:00:18.140]  也得到活水江河
[00:00:18.140 --> 00:00:20.840]  在我們生命裡面湧流出來 直到永遠
[00:00:20.840 --> 00:00:23.000]  神啊 這個不是祈求您應許過的
[00:00:23.000 --> 00:00:24.580]  主求您應驗這個應許
[00:00:24.580 --> 00:00:26.340]  在現在我們的身上
[00:00:26.340 --> 00:00:29.980]  聽我們的禱告 奉耶穌基督的名求
[00:00:29.980 --> 00:00:32.300]  大家靜坐
[00:00:32.300 --> 00:00:34.300]  謝謝
[00:00:34.300 --> 00:00:37.500]  上個星期 我跟一個
[00:00:37.500 --> 00:00:40.400]  很有木匯經驗的牧師吃午飯
[00:00:40.400 --> 00:00:44.100]  他說 現在教會面對著一個很困難的時期
[00:00:44.100 --> 00:00:46.100]  為什麼呢? 因為在過去幾年裡面
[00:00:46.100 --> 00:00:49.000]  有不少的教牧童工和信徒
[00:00:49.000 --> 00:00:51.400]  因為種種原因 他們離開了香港
[00:00:51.400 --> 00:00:53.980]  往外地定居和發展
[00:00:53.980 --> 00:00:57.500]  小教會其實很難請到適合的教牧童工
[00:00:57.500 --> 00:00:59.800]  而且留在香港的信徒
[00:00:59.800 --> 00:01:02.080]  因為過去不少的教牧童工
[00:01:02.080 --> 00:01:04.400]  對社會事件的種種
[00:01:04.400 --> 00:01:06.800]  未使人信服的取態
[00:01:06.800 --> 00:01:10.400]  對他們的信任 其實已經大不如前
[00:01:10.400 --> 00:01:13.900]  所以令開展事工有一定的困難
[00:01:13.900 --> 00:01:16.500]  當他一邊說的時候 我就一邊想
[00:01:16.500 --> 00:01:19.700]  在教會處在困難的時間裡面
[00:01:19.700 --> 00:01:22.000]  其實我都知道不少的弟兄姊妹
[00:01:22.000 --> 00:01:24.800]  也遇到前所未有的困境
[00:01:24.800 --> 00:01:28.000]  因為地緣政治的衝突
[00:01:28.000 --> 00:01:29.900]  經濟低迷種種的情況
[00:01:29.900 --> 00:01:33.100]  他們普遍來瞞著一種妄言
[00:01:33.100 --> 00:01:35.000]  不知道怎樣走下去
[00:01:35.000 --> 00:01:39.000]  以及說不出來的一種不平安的情緒
[00:01:39.000 --> 00:01:42.300]  我們怎樣去面對這種的情況呢?
[00:01:42.300 --> 00:01:46.100]  神對我們的環境有什麼的回應呢?
[00:01:46.100 --> 00:01:48.500]  今天我就想藉著《以塞亞書》
[00:01:48.500 --> 00:01:50.700]  第九章第一至七節
[00:01:50.700 --> 00:01:53.200]  一段大家都可能已經耳熟能詳
[00:01:53.200 --> 00:01:55.200]  在聖誕節裡面常常背誦
[00:01:55.200 --> 00:02:00.000]  以及朗族的經文 有關彌賽亞的預言
[00:02:00.000 --> 00:02:02.500]  去探討這些問題
[00:02:02.500 --> 00:02:07.000]  其實在《以塞亞先知》寫第九章的時候
[00:02:07.000 --> 00:02:08.400]  以色列國的背景
[00:02:08.400 --> 00:02:11.600]  其實跟我們香港有幾分相似
[00:02:11.600 --> 00:02:15.500]  當時以色列國正面對一個前所未有的困境
[00:02:15.500 --> 00:02:19.000]  因為對地緣政治的取態
[00:02:19.000 --> 00:02:22.600]  引發到它跟亞述帝國的衝突
[00:02:22.600 --> 00:02:26.300]  人民因為打仗被敵人大量擄去
[00:02:26.300 --> 00:02:29.600]  在突然之間大量的國民流失
[00:02:29.600 --> 00:02:32.900]  因而出現了一個結構性的改變
[00:02:32.900 --> 00:02:35.300]  經濟每況愈下
[00:02:35.300 --> 00:02:38.500]  所以當時是士氣極其低落
[00:02:38.500 --> 00:02:42.200]  人民的生活越來越困苦的時候
[00:02:42.200 --> 00:02:43.700]  就在這個這麼關鍵的時候
[00:02:43.700 --> 00:02:46.200]  神傳遞了一篇信息
[00:02:46.200 --> 00:02:50.400]  就是《以塞亞書》第九章第一至七節
[00:02:50.400 --> 00:02:53.800]  它傳遞了一篇有關復興的信息
[00:02:53.800 --> 00:02:58.100]  但這篇信息是有條件的
[00:02:58.100 --> 00:03:00.800]  現在就讓我們看看神那篇信息
[00:03:00.800 --> 00:03:02.300]  以及它的條件
[00:03:02.300 --> 00:03:04.400]  對今天處於困難的我們
[00:03:04.400 --> 00:03:07.600]  有什麼提醒和幫助呢?
[00:03:07.600 --> 00:03:09.700]  剛才我們謝謝Philis
[00:03:09.700 --> 00:03:13.700]  跟我們讀出了整段經文讀得十分之好
[00:03:13.700 --> 00:03:16.900]  所以我們現在直接去到經文的背景裡面去
[00:03:16.900 --> 00:03:19.800]  當《以塞亞》寫到第九章的時候
[00:03:19.800 --> 00:03:25.000]  當時以色列人是處於南北角分裂的時期
[00:03:25.000 --> 00:03:28.000]  分開在北角以色列和南角猶大
[00:03:28.000 --> 00:03:31.800]  而南北兩角都陷在拜偶像的罪裡面
[00:03:31.800 --> 00:03:32.800]  什麼意思呢?
[00:03:32.800 --> 00:03:33.800]  其實簡單而言
[00:03:33.800 --> 00:03:35.900]  就是說人們普遍覺得
[00:03:35.900 --> 00:03:40.200]  追求個人的名利、聲譽、地位、權力
[00:03:40.200 --> 00:03:42.800]  比追求神更加重要
[00:03:42.800 --> 00:03:45.500]  所以神就藉著先知以塞亞
[00:03:45.500 --> 00:03:49.900]  預言祂會藉著亞述人的手去懲罰他們
[00:03:49.900 --> 00:03:51.400]  首先是以色列
[00:03:51.400 --> 00:03:53.800]  接著是南角猶大
[00:03:53.800 --> 00:03:56.500]  在以塞亞先知說了第七
[00:03:56.500 --> 00:03:58.600]  跳到第八章沒多久之後
[00:03:58.600 --> 00:04:01.600]  就在主前七百三十二年
[00:04:01.600 --> 00:04:05.100]  亞述王普勒過來進攻以色列國
[00:04:05.100 --> 00:04:09.900]  首當其衝的是北邊的西布倫和拿忽他利地
[00:04:09.900 --> 00:04:11.200]  普勒打敗了他們
[00:04:11.200 --> 00:04:16.000]  將大片原先屬於以色列國的土地據為己有
[00:04:16.000 --> 00:04:18.800]  而將這些土地分開三個省
[00:04:18.800 --> 00:04:20.200]  分別是多爾
[00:04:20.200 --> 00:04:22.500]  即是第一節的沿海的路
[00:04:22.500 --> 00:04:23.400]  基列
[00:04:23.400 --> 00:04:26.300]  即是說第一節的約旦河外
[00:04:26.300 --> 00:04:27.800]  以及米吉多
[00:04:27.800 --> 00:04:31.800]  即是以色列人所說的外邦人的加利利地
[00:04:31.800 --> 00:04:35.000]  普勒同時擄走了大批的以色列人
[00:04:35.000 --> 00:04:37.900]  是以色列人的第一節的秘魯
[00:04:37.900 --> 00:04:41.500]  以色列國就因此急劇的衰落下去
