
[00:00:00.000 --> 00:00:03.040]  有一次我讀中學的女兒放學回來
[00:00:03.040 --> 00:00:05.200]  很興奮很緊張地告訴我
[00:00:05.200 --> 00:00:07.200]  媽媽有件事真的很好笑
[00:00:07.200 --> 00:00:09.520]  不過那時我都很害怕
[00:00:09.520 --> 00:00:12.720]  原來在一個中學的課室裏面
[00:00:12.720 --> 00:00:15.120]  她就告訴我有一件事這樣發生
[00:00:15.120 --> 00:00:16.320]  當時有不同的同學
[00:00:16.320 --> 00:00:17.760]  不過有兩個的主角
[00:00:17.760 --> 00:00:19.280]  一個是一個男同學
[00:00:19.280 --> 00:00:21.840]  這個男同學是比較暴躁一點
[00:00:21.840 --> 00:00:25.520]  另一個同學亦都是很緊張他的成績
[00:00:25.520 --> 00:00:29.200]  並且情緒上比較緊張一點
[00:00:29.200 --> 00:00:31.280]  當時有一個對話
[00:00:31.280 --> 00:00:34.160]  這個對話由這個女同學開始
[00:00:34.160 --> 00:00:37.680]  這個女同學因為面對接下來的測驗
[00:00:37.680 --> 00:00:40.320]  於是她就在課室裏面不停地說
[00:00:40.320 --> 00:00:42.560]  唉 我好害怕 我好害怕 我好害怕
[00:00:42.560 --> 00:00:44.480]  一會兒測驗都不知道怎麼辦
[00:00:44.480 --> 00:00:46.240]  好害怕
[00:00:46.240 --> 00:00:48.240]  那個很暴躁的男同學
[00:00:48.240 --> 00:00:51.040]  突然之間就爆了一句這樣說
[00:00:51.040 --> 00:00:53.840]  你有什麼資格害怕
[00:00:53.840 --> 00:00:55.920]  我還沒讀書 我沒有溫書
[00:00:55.920 --> 00:00:59.040]  我都還沒害怕
[00:00:59.040 --> 00:01:01.040]  那個男同學質詢她
[00:01:01.040 --> 00:01:03.520]  你有什麼資格害怕
[00:01:03.520 --> 00:01:07.120]  於是她就走到那個女同學那裏
[00:01:07.120 --> 00:01:10.480]  她就用手按著那個女同學的頭
[00:01:10.480 --> 00:01:11.600]  我和我的女兒就說
[00:01:11.600 --> 00:01:14.720]  嘩 當時我們很緊張
[00:01:14.720 --> 00:01:17.760]  那個男同學按著那個女同學的頭
[00:01:17.760 --> 00:01:19.360]  然後大聲地說
[00:01:19.360 --> 00:01:23.360]  你不准再害怕
[00:01:23.360 --> 00:01:24.960]  嘩 這樣也有
[00:01:24.960 --> 00:01:28.000]  你不准再害怕
[00:01:28.000 --> 00:01:31.360]  那位女同學在我的女兒口中就說
[00:01:31.360 --> 00:01:34.160]  她是順如羔羊的
[00:01:34.160 --> 00:01:37.280]  但是當她面對這個時刻
[00:01:37.280 --> 00:01:40.880]  她一手就撥開那個男同學的手
[00:01:40.880 --> 00:01:42.480]  然後很悠閒地
[00:01:42.480 --> 00:01:46.000]  將桌面的眼鏡戴回眼睛裏
[00:01:46.000 --> 00:01:49.600]  然後起身走到班房門口
[00:01:49.600 --> 00:01:53.280]  然後就轉身指著那個男生說
[00:01:53.280 --> 00:01:56.560]  你憑什麼控制我的情緒
[00:01:56.560 --> 00:01:59.360]  我害不害怕 關你什麼事
[00:01:59.360 --> 00:02:03.200]  然後就這樣離開課室
