
[00:00:00.000 --> 00:00:03.460]  親愛的神,我們獻上讚美
[00:00:03.460 --> 00:00:06.580]  祢是神,祢是奇妙的神
[00:00:06.580 --> 00:00:08.700]  獨一的真神
[00:00:08.700 --> 00:00:12.700]  我們是除了祢以外
[00:00:12.700 --> 00:00:15.940]  我們不會再有別的神
[00:00:15.940 --> 00:00:18.660]  我們不會敗制偶像
[00:00:18.660 --> 00:00:21.920]  親愛的主,多謝讓我們能夠在這個階段
[00:00:21.920 --> 00:00:24.320]  在我們沒有想到的時刻
[00:00:24.320 --> 00:00:28.340]  我們會經歷祢,聽到祢的聲音
[00:00:28.340 --> 00:00:32.520]  多謝祢讓我們的主任上到山那裏有經歷
[00:00:32.520 --> 00:00:36.020]  多謝祢讓我們在不同的會議當中
[00:00:36.020 --> 00:00:39.580]  我們一同去領受祢的心意
[00:00:39.580 --> 00:00:41.980]  在明天的下午
[00:00:41.980 --> 00:00:46.100]  當我們的義工退休會
[00:00:46.100 --> 00:00:50.240]  我們的牧者、執事、弟兄姊妹們
[00:00:50.240 --> 00:00:53.140]  一同群策群力
[00:00:53.140 --> 00:00:56.860]  在祢面前匯聚我們的心神
[00:00:56.860 --> 00:01:00.520]  我們敬拜祢,我們在祢的當中去領受
[00:01:00.520 --> 00:01:02.940]  主,因為祢給我們的意象
[00:01:02.940 --> 00:01:05.300]  因為祢的靈充滿
[00:01:05.300 --> 00:01:09.600]  因為祢在我們當中顯現自己
[00:01:09.600 --> 00:01:12.140]  我們就同有一個心意
[00:01:12.140 --> 00:01:14.940]  我們的生命都會被塑造
[00:01:14.940 --> 00:01:18.540]  親愛的主,懇求祢繼續給教會有定位
[00:01:18.540 --> 00:01:21.820]  知道在這個不確定的將來
[00:01:21.820 --> 00:01:29.200]  教會如何去進行祢給我們的使命
[00:01:29.200 --> 00:01:30.840]  主我們願望祢
[00:01:30.840 --> 00:01:32.220]  所以懇求祢因待我們
[00:01:32.220 --> 00:01:34.220]  給我們的教牧童工
[00:01:34.220 --> 00:01:36.400]  我們有共識
[00:01:36.400 --> 00:01:38.000]  執事有共識
[00:01:38.000 --> 00:01:39.960]  每一個人都有共識
[00:01:39.960 --> 00:01:43.320]  這個共識是由祢而來的
[00:01:43.320 --> 00:01:45.600]  所以雖然是辛苦
[00:01:45.600 --> 00:01:48.660]  但是很喜樂、很滿足
[00:01:48.660 --> 00:01:51.540]  因為能夠經歷到祢的同在
[00:01:51.540 --> 00:01:52.620]  在我們教會當中
[00:01:52.620 --> 00:01:56.340]  有弟兄姊妹們仍然在生命的艱難當中
[00:01:56.340 --> 00:01:58.220]  有患病的
[00:01:58.220 --> 00:02:00.220]  有送別的
[00:02:00.220 --> 00:02:02.280]  送別親人的
[00:02:02.280 --> 00:02:05.380]  有在工作艱難的當中
[00:02:05.380 --> 00:02:08.100]  有很多家庭的困難
[00:02:08.100 --> 00:02:10.860]  我們在這個片刻
[00:02:10.860 --> 00:02:15.860]  我們都將他們交託在祢手裏面
[00:02:15.860 --> 00:02:17.760]  求祢憐憫他們
[00:02:17.760 --> 00:02:19.400]  幫助他們
[00:02:19.400 --> 00:02:21.260]  都懇求祢因待
[00:02:21.260 --> 00:02:25.220]  讓我們曉得怎樣去關心這些弟兄姊妹
[00:02:25.220 --> 00:02:27.720]  呼喚他們對祢有回應
[00:02:27.720 --> 00:02:31.100]  我們一同和他們向祢有回應
[00:02:31.100 --> 00:02:35.580]  我們一同和他們去呼求祢的名字
[00:02:35.580 --> 00:02:37.500]  尋求祢的憐憫
[00:02:37.500 --> 00:02:39.420]  祢的醫治
[00:02:39.420 --> 00:02:42.860]  祢著實是我們的盤石
[00:02:42.860 --> 00:02:44.980]  祢是我們的堅固
[00:02:44.980 --> 00:02:46.980]  是我們的救恩
[00:02:46.980 --> 00:02:48.700]  我們多謝祢
[00:02:48.700 --> 00:02:52.500]  我們的禱告是奉主耶穌基督名自求
[00:02:52.500 --> 00:02:54.500]  阿們
[00:03:18.700 --> 00:03:29.900]  主持人:在上一次我們提及到普萊斯·普萊斯(Price)
