
[00:00:00.000 --> 00:00:02.140]  好,我們一齊祈禱吧
[00:00:02.140 --> 00:00:05.180]  主耶穌,我們感謝祢
[00:00:05.180 --> 00:00:07.880]  聖餐提醒我們
[00:00:07.880 --> 00:00:10.820]  祢為我們張開我們的身體
[00:00:10.820 --> 00:00:13.020]  流出祢的補血
[00:00:13.020 --> 00:00:15.020]  洗淨我們的罪
[00:00:15.020 --> 00:00:18.080]  而且祢等我們
[00:00:18.080 --> 00:00:21.120]  在將來,在天國裏面
[00:00:21.120 --> 00:00:24.120]  再飲那個新的
[00:00:24.120 --> 00:00:28.720]  主耶穌,多謝祢給我們這份浩大的恩典
[00:00:28.720 --> 00:00:33.000]  多謝祢為我們死,又為我們活
[00:00:33.000 --> 00:00:34.580]  以致我們知道
[00:00:34.580 --> 00:00:37.880]  現在我們活著的不再是我
[00:00:37.880 --> 00:00:39.200]  願以耶穌基督
[00:00:39.200 --> 00:00:43.820]  祢那份出死入生的生命
[00:00:43.820 --> 00:00:46.080]  再次激勵我們
[00:00:46.080 --> 00:00:49.000]  主啊,幫助我們去聆聽
[00:00:49.000 --> 00:00:51.240]  去領受祢的話語
[00:00:51.240 --> 00:00:54.640]  主啊,請說,獨人敬聽
[00:00:54.640 --> 00:00:58.640]  我們的祈禱,奉耶穌的名,阿們
[00:00:58.640 --> 00:01:06.760]  中國近來教會的情況
[00:01:06.760 --> 00:01:10.760]  面對越來越嚴厲的打壓
[00:01:10.760 --> 00:01:13.500]  其實不單止基督教
[00:01:13.500 --> 00:01:17.480]  前兩個星期,如果大家有看新聞
[00:01:17.480 --> 00:01:22.760]  就是他們要關閉穆斯林的一些會堂
[00:01:22.760 --> 00:01:25.800]  一些信眾在門口
[00:01:25.800 --> 00:01:29.440]  與公安拉扯,有衝突
[00:01:29.440 --> 00:01:33.440]  場面令我們頗為擔心
[00:01:33.440 --> 00:01:36.640]  作為中國人民的一份子
[00:01:36.640 --> 00:01:40.840]  宗教自由似乎沒什麼
[00:01:40.840 --> 00:01:44.560]  我們信仰的自由受到限制
[00:01:44.560 --> 00:01:48.240]  不單止基督教,任何宗教
[00:01:48.240 --> 00:01:50.720]  面對的前面的情況
[00:01:50.720 --> 00:01:53.840]  不是很明朗,外在的環境
[00:01:53.840 --> 00:01:55.840]  不是很理想
[00:01:55.840 --> 00:01:57.840]  可以怎樣呢?
[00:01:57.840 --> 00:01:59.840]  香港的基督徒
[00:01:59.840 --> 00:02:02.160]  可不可以獨善其身呢?
[00:02:02.160 --> 00:02:05.800]  我們可以怎樣去面對呢?
[00:02:05.800 --> 00:02:08.600]  假如,假如有一天
[00:02:08.600 --> 00:02:10.600]  我們崇拜的時候
[00:02:10.600 --> 00:02:14.600]  公安進來要拘捕我們
[00:02:14.600 --> 00:02:17.600]  要封了這間教會的福堂
[00:02:17.600 --> 00:02:21.600]  那我們還會回教會嗎?
[00:02:21.600 --> 00:02:24.600]  我們會否放棄這個信仰呢?
[00:02:24.600 --> 00:02:26.600]  還是說,嗯
[00:02:26.600 --> 00:02:30.600]  就算我要再去教育營
[00:02:30.600 --> 00:02:32.600]  我都會寧死不屈
[00:02:32.600 --> 00:02:34.600]  沒什麼可以叫我們
[00:02:34.600 --> 00:02:37.600]  與耶穌基督的愛隔絕
[00:02:37.600 --> 00:02:40.600]  我相信,我的信心
[00:02:40.600 --> 00:02:43.600]  可以去到多盡呢?
[00:02:43.600 --> 00:02:46.600]  今天當我們繼續看《讓人福音》第十一章
