
[00:00:00.000 --> 00:00:02.800]  那我們不如先一起有個低頭禱告
[00:00:02.800 --> 00:00:06.900]  親愛的天父
[00:00:06.900 --> 00:00:08.800]  感謝你用愛招聚我們
[00:00:08.800 --> 00:00:10.500]  回來相聚敬拜你
[00:00:10.500 --> 00:00:13.700]  今天我們閱讀詩篇30篇
[00:00:13.700 --> 00:00:15.800]  求你藉著這首
[00:00:15.800 --> 00:00:18.900]  充滿著感恩心情的詩篇
[00:00:18.900 --> 00:00:22.700]  讓我們勾起自己對你有過的感恩之情
[00:00:22.700 --> 00:00:25.600]  讓我們懂得數算紀念
[00:00:25.600 --> 00:00:29.400]  你對我們作過的拯救和幫助
[00:00:30.200 --> 00:00:33.600]  我們這樣禱告是奉主耶穌基督的名字
[00:00:33.600 --> 00:00:34.600]  阿們
[00:00:34.600 --> 00:00:37.700]  剛才大家看到這裡
[00:00:37.700 --> 00:00:39.000]  前面都有些小朋友
[00:00:39.000 --> 00:00:40.000]  很可愛是不是
[00:00:40.000 --> 00:00:42.200]  不知道大家喜不喜歡小朋友呢
[00:00:42.200 --> 00:00:45.000]  我記得我有時一班朋友約出來
[00:00:45.000 --> 00:00:46.400]  相聚聚一下
[00:00:46.400 --> 00:00:49.200]  這些聚會裡面有時會有些小朋友在
[00:00:49.200 --> 00:00:51.400]  就是那些出世不久
[00:00:51.400 --> 00:00:53.000]  剛剛一兩歲
[00:00:53.000 --> 00:00:55.000]  然後會說一些話的那些小朋友
[00:00:55.000 --> 00:00:57.600]  不知道你是有多喜歡小朋友呢
[00:00:57.600 --> 00:00:59.700]  可能你是超級喜歡小朋友
[00:00:59.700 --> 00:01:02.100]  然後你一看到他們就會走過去抱著他們
[00:01:02.100 --> 00:01:03.900]  跟他們玩心就會溶掉
[00:01:03.900 --> 00:01:06.800]  又或者你可能都覺得他們有趣
[00:01:06.800 --> 00:01:08.300]  但是又可能又覺得他們
[00:01:08.300 --> 00:01:11.400]  很難忍受他們很多時候很多話講
[00:01:11.400 --> 00:01:13.600]  又跑來跑去又到處弄來弄去
[00:01:13.600 --> 00:01:15.000]  不知道你是怎樣的呢
[00:01:15.000 --> 00:01:17.900]  不過我記得在這些聚會裡面
[00:01:17.900 --> 00:01:19.500]  經常觀察到一件事
[00:01:19.500 --> 00:01:22.800]  我想這件事其實大家在這些場合裡面都會觀察到
[00:01:22.800 --> 00:01:24.600]  就是這些場合裡面
[00:01:24.600 --> 00:01:25.700]  如果爸爸媽媽
[00:01:25.700 --> 00:01:29.600]  想給一些零食小食糖果小朋友的時候
[00:01:30.000 --> 00:01:31.900]  通常爸爸媽媽會說一句什麼
[00:01:31.900 --> 00:01:33.500]  他通常會說一句
[00:01:33.500 --> 00:01:34.900]  你先說謝謝
[00:01:34.900 --> 00:01:35.900]  是不是
[00:01:35.900 --> 00:01:36.800]  你先說謝謝
[00:01:36.800 --> 00:01:38.800]  等小朋友說了謝謝
[00:01:38.800 --> 00:01:40.900]  爸爸媽媽就會很開心
[00:01:40.900 --> 00:01:43.000]  這樣將食物給他們
[00:01:43.000 --> 00:01:45.600]  其實不只是爸爸媽媽會這樣做的
[00:01:45.600 --> 00:01:47.100]  我們這些在場的人也是的
[00:01:47.100 --> 00:01:48.900]  就是如果我們有時給小禮物小朋友
[00:01:48.900 --> 00:01:50.000]  我們都會說
[00:01:50.000 --> 00:01:51.200]  你先說謝謝
[00:01:51.200 --> 00:01:52.300]  聽完他說
[00:01:52.300 --> 00:01:53.300]  我們就很心滿意足
[00:01:53.300 --> 00:01:54.700]  很想給他們一個禮物
[00:01:54.700 --> 00:01:57.100]  我們這樣做
[00:01:57.100 --> 00:01:59.100]  為什麼我們會這樣說這句話
[00:01:59.700 --> 00:02:00.600]  是因為我們這樣做
[00:02:00.600 --> 00:02:02.000]  我們都會想說
[00:02:02.000 --> 00:02:03.200]  我們會覺得
[00:02:03.200 --> 00:02:05.300]  謝謝這句話是重要的
[00:02:05.300 --> 00:02:07.900]  我們會想小朋友學會說謝謝
[00:02:07.900 --> 00:02:10.500]  因為謝謝這句話背後的想法
[00:02:10.500 --> 00:02:12.200]  就是由我們
[00:02:12.200 --> 00:02:14.300]  由別人那裡得到一些東西的時候
[00:02:14.300 --> 00:02:16.700]  我們應該好好去表達感謝
[00:02:16.700 --> 00:02:19.900]  我們不想小朋友將他手上拿到的東西
[00:02:19.900 --> 00:02:22.400]  將他得到的東西都視為理所當然
[00:02:22.400 --> 00:02:24.500]  我們不想小朋友有一種想法
[00:02:24.500 --> 00:02:26.800]  以為別人對他好是興奮的
[00:02:27.600 --> 00:02:30.600]  所以有時我們如果看到小朋友好像是這樣想的話
[00:02:30.600 --> 00:02:31.200]  我們會說
[00:02:31.200 --> 00:02:32.900]  這個小朋友真的被寵壞了
[00:02:32.900 --> 00:02:33.400]  是不是
[00:02:33.400 --> 00:02:36.000]  不過當回到我們自己身上
[00:02:36.000 --> 00:02:38.600]  不知道我們自己對上一次
[00:02:38.600 --> 00:02:40.000]  向神說謝謝
