
[00:00:00.000 --> 00:00:02.000]  我們開始今天講到之前
[00:00:02.000 --> 00:00:04.000]  不如我們先低頭去祈禱
[00:00:04.000 --> 00:00:09.260]  親愛的天父親愛的主耶穌
[00:00:09.260 --> 00:00:10.760]  主祂我們
[00:00:10.760 --> 00:00:12.760]  很感謝祢寶貴的話語
[00:00:12.760 --> 00:00:14.760]  感謝祢
[00:00:14.760 --> 00:00:17.760]  將祢的說話歷世歷代流傳給我們
[00:00:17.760 --> 00:00:20.260]  主耶穌祢遠返我們的心
[00:00:20.260 --> 00:00:22.760]  祢讓我們的心願意去打開
[00:00:22.760 --> 00:00:24.760]  去接受祢的說話
[00:00:24.760 --> 00:00:26.260]  祢讓我們的耳
[00:00:26.260 --> 00:00:27.760]  真的可以親自去聽到
[00:00:27.760 --> 00:00:29.760]  祢呼喚我們的聲音
[00:00:29.760 --> 00:00:31.760]  主耶穌祢讓我們
[00:00:31.760 --> 00:00:33.260]  去聽到祢的說話
[00:00:33.260 --> 00:00:34.760]  聽到祢呼喚的時候
[00:00:34.760 --> 00:00:36.760]  我們的生命是有改變的
[00:00:36.760 --> 00:00:38.760]  我們是可以去看到盼望
[00:00:38.760 --> 00:00:40.760]  我們可以認定主耶穌
[00:00:40.760 --> 00:00:42.760]  是在我們生命裡面掌權的上帝
[00:00:42.760 --> 00:00:44.760]  主耶穌我們這樣交託給你
[00:00:44.760 --> 00:00:46.760]  以上圖告奉主耶穌基督
[00:00:46.760 --> 00:00:48.260]  得勝靈至祈求
[00:00:48.260 --> 00:00:49.760]  阿們
[00:00:49.760 --> 00:00:51.260]  那好啦今天呢
[00:00:51.260 --> 00:00:53.760]  今天講到的題目就是
[00:00:53.760 --> 00:00:55.760]  主角光環
[00:00:55.760 --> 00:00:56.760]  那我來到之後呢
[00:00:56.760 --> 00:00:57.760]  不單是一個人跟我說
[00:00:57.760 --> 00:00:58.760]  兩個人跟我說
[00:00:58.760 --> 00:01:00.760]  喂你最近是不是聽什麼歌啊
[00:01:00.760 --> 00:01:02.260]  那我是聽什麼歌的
