
[00:00:00.000 --> 00:00:01.600]  今天說到的題目是
[00:00:01.600 --> 00:00:03.800]  「你們要聽他」
[00:00:03.800 --> 00:00:06.320]  「他」就是神的「他」
[00:00:06.320 --> 00:00:09.160]  經文記載在《馬學福音》第九章
[00:00:09.160 --> 00:00:12.360]  頭十三節 一到十三節
[00:00:12.360 --> 00:00:16.160]  《馬學福音》總共有十六章的經文
[00:00:16.160 --> 00:00:19.240]  上星期何牧師說了第八章最後
[00:00:19.240 --> 00:00:21.400]  頭八章完結了
[00:00:21.400 --> 00:00:24.640]  接著到第八章
[00:00:24.640 --> 00:00:27.960]  何牧師說到頭八章的時候
[00:00:27.960 --> 00:00:30.120]  上一節提到耶穌在
[00:00:30.120 --> 00:00:32.400]  「該撒尼亞斐納比」問門徒
[00:00:32.400 --> 00:00:34.600]  「人說我是誰?」
[00:00:34.600 --> 00:00:37.520]  之後彼得說了一個很重要的宣告
[00:00:37.520 --> 00:00:40.160]  「你是基督」
[00:00:40.160 --> 00:00:43.640]  接著耶穌就開始明明地
[00:00:43.640 --> 00:00:45.960]  如果大家記得 頭八章的時候
[00:00:45.960 --> 00:00:47.200]  祂做了很多事
[00:00:47.200 --> 00:00:48.680]  別人說祢很厲害
[00:00:48.680 --> 00:00:50.920]  耶穌說先不要說
[00:00:50.920 --> 00:00:52.240]  到了第八章尾
[00:00:52.240 --> 00:00:55.640]  開始耶穌就明明地告訴別人
[00:00:55.640 --> 00:00:59.440]  祂說我來到是需要受苦
[00:00:59.440 --> 00:01:03.560]  受害 死和復活
[00:01:03.560 --> 00:01:06.520]  在第八章完結了這段對話
[00:01:06.520 --> 00:01:07.840]  其實還未完結
[00:01:07.840 --> 00:01:10.200]  再到第九章第一節
[00:01:10.200 --> 00:01:12.360]  第九章第一節就是接下來
[00:01:12.360 --> 00:01:15.720]  耶穌說的最後一句話
[00:01:15.720 --> 00:01:18.840]  和開始第九章的經文
[00:01:18.840 --> 00:01:20.120]  剛才我們說到
[00:01:20.120 --> 00:01:22.360]  耶穌和門徒說的一段對話
[00:01:22.360 --> 00:01:26.720]  到了第九章第一節
[00:01:26.720 --> 00:01:29.080]  耶穌和門徒在最後那句話
[00:01:29.080 --> 00:01:30.880]  說了一個很特別的宣告
[00:01:30.880 --> 00:01:33.760]  祂說「我實在告訴你們
[00:01:33.760 --> 00:01:35.720]  站在這裡的人
[00:01:35.720 --> 00:01:39.560]  有人在沒嘗死未以前
