
[00:00:00.000 --> 00:00:02.360]  靖姐妹早晨 早晨
[00:00:02.360 --> 00:00:05.580]  上一次見大家是半年前多一些
[00:00:05.580 --> 00:00:08.520]  今天再一次和大家分享神的話語 很感恩
[00:00:08.520 --> 00:00:12.100]  多謝主席和敬拜隊來帶領我們敬拜
[00:00:12.100 --> 00:00:16.800]  一起用詩歌、用禱告向神獻出讚美
[00:00:16.800 --> 00:00:21.940]  也多謝孫震環基督教會和陳全道的邀請
[00:00:21.940 --> 00:00:24.280]  可以今天和大家分享神的話語
[00:00:24.280 --> 00:00:26.580]  可以在這裡一起說
[00:00:26.580 --> 00:00:29.640]  聽神的話語是很美好的一件事情
[00:00:29.640 --> 00:00:31.640]  是很重要的事情
[00:00:31.640 --> 00:00:34.460]  所以今天和大家分享的宣講主題
[00:00:34.460 --> 00:00:38.260]  叫做「一切從神的話語開始」
[00:00:38.260 --> 00:00:40.380]  首先我們一起祈禱
[00:00:40.380 --> 00:00:43.060]  來對公敬將我們的心交託
[00:00:43.060 --> 00:00:46.420]  讓我們有聆聽主導的心
[00:00:46.420 --> 00:00:49.320]  對準上帝 一起祈禱
[00:00:49.320 --> 00:00:53.540]  多謝天父讓我們一起在主日裏面
[00:00:53.540 --> 00:00:55.740]  同時是聖年多倫節的主日
[00:00:55.740 --> 00:01:01.160]  也同時是教會洗禮的一個主日
[00:01:01.160 --> 00:01:03.860]  也是我們一群頂智媒每個禮拜
[00:01:03.860 --> 00:01:06.640]  奉祢的名聚會的一個主日
[00:01:06.640 --> 00:01:09.000]  我們來到神祢的家 神祢的殿
[00:01:09.000 --> 00:01:11.600]  來敬拜祢
[00:01:11.600 --> 00:01:13.680]  求主祢閱立我們的敬拜
[00:01:13.680 --> 00:01:16.420]  也求祢預備我們的心
[00:01:16.420 --> 00:01:19.980]  求祢預備我們的腦去聆聽、聽得明
[00:01:19.980 --> 00:01:22.820]  預備我們的心來聽得進去
[00:01:22.820 --> 00:01:26.100]  來放在心中 因為一生過後由心發出
[00:01:26.100 --> 00:01:29.200]  也求祢讓我們能夠活出祢的道
[00:01:29.200 --> 00:01:32.820]  讓我們一生行在神祢的旨意當中
[00:01:32.820 --> 00:01:38.400]  感謝主 誰聽禱告 奉我救主的名 阿們
[00:01:38.400 --> 00:01:42.820]  一切從神的話語開始
[00:01:42.820 --> 00:01:45.460]  弟兄姊妹
[00:01:45.460 --> 00:01:50.140]  無論我們在當中已經信了主幾十年了
[00:01:50.140 --> 00:01:51.980]  我自己也信了主四十年了
[00:01:51.980 --> 00:01:55.640]  當中有些可能信了主五十年了
[00:01:55.640 --> 00:02:00.100]  又或者那些十年豐富的資深基督徒
[00:02:00.100 --> 00:02:02.100]  或者在這五年之間
[00:02:02.100 --> 00:02:04.900]  這五年其實也挺特別的
[00:02:04.900 --> 00:02:08.580]  在英國見到一些華人或者香港人
[00:02:08.580 --> 00:02:11.580]  這五年也是一個挺大的分水嶺
[00:02:11.580 --> 00:02:15.980]  特別是經歷很多的生活
[00:02:15.980 --> 00:02:19.740]  適應、挑戰、恩典都有的
[00:02:19.740 --> 00:02:27.140]  又或者是今天來到水禮禮堂的中央
[00:02:27.140 --> 00:02:29.520]  見證他們的生命 交託給主
[00:02:29.520 --> 00:02:31.300]  還有加入教會
[00:02:31.300 --> 00:02:35.660]  我想問一下 也想關心有沒有今天會受浸、受洗的
[00:02:35.660 --> 00:02:37.140]  請在節目當中歡迎你
[00:02:37.140 --> 00:02:39.900]  有沒有?今天也有回來
[00:02:39.900 --> 00:02:42.640]  然後1點45分就有水禮 是不是?
[00:02:42.640 --> 00:02:44.960]  我們也聽清楚了
[00:02:44.960 --> 00:02:48.740]  無論在哪裏 全部人都是對的
[00:02:48.740 --> 00:02:52.600]  因為剛才說到五十年、這五年
[00:02:52.600 --> 00:02:54.840]  或者你是剛剛水禮
[00:02:54.840 --> 00:02:58.820]  但是也可能信了很久 有一個新的開始
[00:02:58.820 --> 00:03:02.260]  我想宣告一件事
[00:03:02.260 --> 00:03:07.220]  無論我們的生命是怎樣不同的階段
[00:03:07.220 --> 00:03:10.020]  無論是我們加起來
[00:03:10.020 --> 00:03:12.620]  可能我們面對很多日新月異的科技
[00:03:12.620 --> 00:03:15.740]  又或者在政治環境
[00:03:15.740 --> 00:03:19.640]  或者身邊有一些不安或者戰亂
[00:03:19.640 --> 00:03:23.660]  正如剛才敬拜帶領我們去思考
[00:03:23.660 --> 00:03:25.860]  有很多戰亂、很多不安
[00:03:25.860 --> 00:03:30.960]  但是也都無論我們信仰的年資有多深、有多長
[00:03:30.960 --> 00:03:34.480]  或者短 或者可能我們在人生下半場
[00:03:34.480 --> 00:03:38.020]  又或者可能純粹你是信仰有一個新的一頁
[00:03:38.020 --> 00:03:41.200]  到底我們會怎樣走下去呢?
