
[00:00:00.000 --> 00:00:03.500]  好 弟兄姊妹 今天跟大家分享的題目是
[00:00:03.500 --> 00:00:04.760]  生命之道
[00:00:04.760 --> 00:00:07.300]  經文是記載在
[00:00:07.300 --> 00:00:10.360]  約翰一書的一章一到四節
[00:00:10.360 --> 00:00:13.560]  其實從今年開始呢
[00:00:13.560 --> 00:00:15.400]  我就有一個的計畫
[00:00:15.400 --> 00:00:17.680]  就是希望跟弟兄姊妹來分享
[00:00:17.680 --> 00:00:19.280]  約翰的書信
[00:00:19.280 --> 00:00:20.400]  所以今天呢
[00:00:20.400 --> 00:00:22.400]  應該是今年的第一講
[00:00:22.400 --> 00:00:24.800]  那接下來我也會繼續的
[00:00:24.800 --> 00:00:28.000]  按照這個約翰書信的這個內容
[00:00:28.040 --> 00:00:30.120]  來慢慢跟大家去分享
[00:00:30.120 --> 00:00:34.160]  我想今天分享的是一個開始
[00:00:34.160 --> 00:00:37.360]  就是一個有點像序言這樣子的
[00:00:37.360 --> 00:00:39.080]  求主來幫助我們
[00:00:39.080 --> 00:00:41.320]  從神的話語裡面
[00:00:41.320 --> 00:00:42.880]  我們能夠得到力量
[00:00:42.880 --> 00:00:44.560]  也可以在新的一年
[00:00:44.560 --> 00:00:46.080]  我們有新的看見
[00:00:46.080 --> 00:00:49.560]  我們先來讀一下今天的經文
[00:00:49.560 --> 00:00:53.000]  在約翰一書一章一到四節
[00:00:53.000 --> 00:00:55.320]  好 大家翻到經文
[00:00:55.320 --> 00:00:57.080]  我們可以一起來誦讀
[00:00:57.680 --> 00:00:59.080]  好 一二起
[00:00:59.080 --> 00:01:03.280]  論道從起初原有的生命之道
[00:01:03.280 --> 00:01:06.720]  就是我們所聽見所看見
[00:01:06.720 --> 00:01:09.640]  親眼看過親手摸過的
[00:01:09.640 --> 00:01:12.480]  這生命已經顯現出來
[00:01:12.480 --> 00:01:14.400]  我們也看見過
[00:01:14.400 --> 00:01:16.520]  現在又做見證
[00:01:16.520 --> 00:01:18.960]  將原與複同在
[00:01:18.960 --> 00:01:22.640]  且顯現於我們那永遠的生命
[00:01:22.640 --> 00:01:23.720]  傳給你們
[00:01:23.720 --> 00:01:26.560]  我們將所看見
[00:01:26.600 --> 00:01:28.680]  所聽見的傳給你們
[00:01:28.680 --> 00:01:31.240]  使你們與我們相交
[00:01:31.240 --> 00:01:34.480]  我們乃是與父並他兒子
[00:01:34.480 --> 00:01:36.160]  耶穌基督相交的
[00:01:36.160 --> 00:01:39.440]  我們將這些話寫給你們
[00:01:39.440 --> 00:01:42.960]  使你們的喜樂充足
[00:01:42.960 --> 00:01:45.400]  好 經文比較短
[00:01:45.400 --> 00:01:47.800]  只有四節的經文
[00:01:47.800 --> 00:01:49.560]  可是這四節的經文
[00:01:49.560 --> 00:01:53.160]  包含的內容卻非常的豐富
[00:01:53.160 --> 00:01:55.920]  待會我會詳細的
[00:01:55.960 --> 00:01:58.680]  跟大家去講解這幾節的經文
[00:01:58.680 --> 00:02:00.920]  在講解之前
[00:02:00.920 --> 00:02:02.920]  我想先問一下大家
[00:02:02.920 --> 00:02:04.720]  有沒有留意到最近
[00:02:04.720 --> 00:02:07.040]  有一個非常熱的詞
[00:02:07.040 --> 00:02:09.200]  很多人都在討論
[00:02:09.200 --> 00:02:10.600]  特別在網上
[00:02:10.600 --> 00:02:12.880]  很多人對這個詞也很追捧
[00:02:12.880 --> 00:02:16.360]  也掀起了很多的熱潮
[00:02:16.360 --> 00:02:20.360]  這個詞是由Facebook的創始人
[00:02:20.360 --> 00:02:22.880]  朱克伯格提出來的
[00:02:22.880 --> 00:02:24.840]  他提出來一個什麼樣的詞呢
[00:02:24.840 --> 00:02:27.440]  這個詞叫做元宇宙
[00:02:27.440 --> 00:02:32.200]  當他提出元宇宙這個概念以後
[00:02:32.200 --> 00:02:36.040]  整個的虛擬世界裡面的土地
[00:02:36.040 --> 00:02:38.280]  都會吵起來
[00:02:38.280 --> 00:02:40.040]  不是現實的土地
[00:02:40.040 --> 00:02:43.640]  是在虛擬世界裡面的土地被熱潮
[00:02:43.640 --> 00:02:45.840]  最近也有看到有新聞說
[00:02:45.840 --> 00:02:47.480]  有某個明星
[00:02:47.480 --> 00:02:49.800]  他花了八十萬
