
[00:00:00.000 --> 00:00:05.640]  主明問候弟兄姊妹平安
[00:00:05.640 --> 00:00:09.600]  聖誕節臨近了
[00:00:09.600 --> 00:00:12.960]  慶祝主耶穌降生
[00:00:12.960 --> 00:00:17.720]  因為主耶穌不單止要拯救我們
[00:00:17.720 --> 00:00:23.340]  還要給你智慧怎樣活著今生
[00:00:23.340 --> 00:00:27.640]  其實主耶穌來是傳揚上帝的道
[00:00:27.640 --> 00:00:30.160]  上帝的道其實在舊約已經
[00:00:30.160 --> 00:00:33.700]  他的啟示的聖經已經寫了
[00:00:33.700 --> 00:00:36.200]  上帝的道已經寫了舊約已經寫出來
[00:00:36.200 --> 00:00:39.700]  不過我們看不出來
[00:00:39.700 --> 00:00:41.660]  上帝很Nice
[00:00:41.660 --> 00:00:43.460]  你看不到嗎?我帶一個人來
[00:00:43.460 --> 00:00:45.000]  我給一個人來告訴你
[00:00:45.000 --> 00:00:48.180]  那你看不到呢?那我帶一個人告訴你
[00:00:48.180 --> 00:00:51.220]  所以聖誕節是什麼意思呢?
[00:00:51.220 --> 00:00:53.400]  在舊約上帝召福人馬曰
[00:00:53.400 --> 00:00:55.020]  講祂的舊恩給我們聽
[00:00:55.020 --> 00:00:58.300]  所以上帝叫祂的福人講舊約給我們聽
[00:00:58.300 --> 00:01:00.040]  我們不聽
[00:01:00.040 --> 00:01:02.220]  上帝交代恩典
[00:01:02.220 --> 00:01:05.760]  我派我的兒子來
[00:01:05.760 --> 00:01:09.800]  將舊恩顯明給你們看
[00:01:09.800 --> 00:01:10.560]  所以各位弟兄姊妹
[00:01:10.560 --> 00:01:15.460]  新舊約根本是相同的
[00:01:15.460 --> 00:01:18.400]  所以不是說有什麼分別的
[00:01:18.400 --> 00:01:22.060]  不過一樣的我們讀聖經的話
[00:01:22.060 --> 00:01:24.900]  你要明白新約
[00:01:24.900 --> 00:01:27.760]  你有舊約底的話更加好
[00:01:27.760 --> 00:01:29.780]  有舊約的底子就更加明白
[00:01:29.780 --> 00:01:33.360]  小弟是專讀舊約的
[00:01:33.360 --> 00:01:35.200]  我是專讀舊約
[00:01:35.200 --> 00:01:38.200]  還有要有文學底的
[00:01:38.200 --> 00:01:41.840]  在英國文學、中國文學的底子來讀聖經
[00:01:41.840 --> 00:01:43.680]  更加得到很多好處
[00:01:43.680 --> 00:01:44.680]  很開心的
[00:01:44.680 --> 00:01:47.480]  有中國文學和英國文學的底子
[00:01:47.480 --> 00:01:48.920]  讀起來更加開心
[00:01:48.920 --> 00:01:52.840]  我今天的題目是繼續講
[00:01:52.840 --> 00:01:58.400]  若蘭和摩亞來打仗的事實
[00:01:58.400 --> 00:02:02.480]  今天的講到摩亞和越南打仗的事
[00:02:02.480 --> 00:02:07.760]  我已經講了《烈王記》上三章一到十四節了
[00:02:07.760 --> 00:02:12.560]  講了《烈王記》上三章的一到十四節
[00:02:12.560 --> 00:02:13.880]  一到十四節
[00:02:13.880 --> 00:02:15.400]  上次講過了
[00:02:15.400 --> 00:02:18.320]  忘記了你可以回教會的網站去聽
[00:02:18.320 --> 00:02:21.800]  如果不記得可以到教會的網站去聽
[00:02:21.800 --> 00:02:24.680]  今次我要講這個十五到二十七節
[00:02:24.680 --> 00:02:26.800]  今天的繼續講十五到二十七節
[00:02:26.800 --> 00:02:27.880]  非常精彩
[00:02:27.880 --> 00:02:29.200]  非常的精彩
[00:02:29.200 --> 00:02:33.080]  我給的題目叫「摩亞戰敗」
[00:02:33.080 --> 00:02:34.640]  題目是「摩亞戰敗」
[00:02:34.640 --> 00:02:38.520]  但以色列人遭遇耶和華的大陸沒有存證
[00:02:38.520 --> 00:02:42.040]  但以色列人遭遇耶和華的大陸沒有存證
[00:02:42.040 --> 00:02:46.040]  這個「耶和華的大陸」是中文聖經的翻譯
[00:02:46.040 --> 00:02:49.720]  「耶和華的大陸」是中文聖經的翻譯
[00:02:49.720 --> 00:02:53.040]  一會兒到第三篇我會教耶和華的大陸
[00:02:53.040 --> 00:02:54.520]  這個最有興趣的
[00:02:54.520 --> 00:02:57.360]  這個是經文的「玉」
[00:02:57.360 --> 00:03:00.600]  接下來第三點重點來講這個
[00:03:00.600 --> 00:03:02.920]  大家手上是不是有一個秩序表
[00:03:02.920 --> 00:03:04.320]  有三點寫了
[00:03:04.320 --> 00:03:07.320]  在程序表中有三點來顯示
[00:03:07.320 --> 00:03:09.240]  你跟著秩序表來聽
[00:03:09.240 --> 00:03:11.640]  根據這個程序表來聽
