
[00:00:00.000 --> 00:00:02.000]  各位電影節目的早安
[00:00:02.000 --> 00:00:06.000]  今天跟大家分享的題目是
[00:00:06.000 --> 00:00:08.000]  唯獨恩典的愛
[00:00:08.000 --> 00:00:15.000]  唯獨恩典的愛
[00:00:15.000 --> 00:00:17.000]  是甚麼來的呢
[00:00:17.000 --> 00:00:20.000]  唯獨恩典的愛
[00:00:20.000 --> 00:00:27.000]  這個葡萄好吃嗎
[00:00:28.000 --> 00:00:30.000]  好吃
[00:00:30.000 --> 00:00:32.000]  這個很大粒
[00:00:32.000 --> 00:00:34.000]  脆脆的
[00:00:34.000 --> 00:00:36.000]  不是軟的
[00:00:36.000 --> 00:00:38.000]  很大粒很好吃
[00:00:38.000 --> 00:00:40.000]  你知不知道是季尾了
[00:00:40.000 --> 00:00:42.000]  店鋪說
[00:00:42.000 --> 00:00:44.000]  最遲賣完下星期
[00:00:44.000 --> 00:00:46.000]  其實這一兩星期賣的
[00:00:46.000 --> 00:00:48.000]  都不是很大粒的了
[00:00:48.000 --> 00:00:50.000]  季尾的了
[00:00:50.000 --> 00:00:52.000]  很好吃很甜的
[00:00:52.000 --> 00:00:54.000]  吃完一粒又想吃第二粒第三粒
[00:00:54.000 --> 00:00:56.000]  我都沒經歷過
[00:00:56.000 --> 00:00:58.000]  買了一公斤放在家裡
[00:00:58.000 --> 00:01:00.000]  很快就吃完了
[00:01:00.000 --> 00:01:02.000]  很甜的
[00:01:02.000 --> 00:01:04.000]  甜到
[00:01:04.000 --> 00:01:06.000]  你很想吃很想吃
[00:01:06.000 --> 00:01:08.000]  很想吃
[00:01:08.000 --> 00:01:10.000]  有沒有試過
[00:01:10.000 --> 00:01:12.000]  有沒有
[00:01:12.000 --> 00:01:16.000]  有些人試過就知道很甜
[00:01:16.000 --> 00:01:18.000]  沒試過那些究竟有多甜
[00:01:18.000 --> 00:01:20.000]  還有很脆
[00:01:20.000 --> 00:01:22.000]  葡萄都很脆
[00:01:22.000 --> 00:01:24.000]  怎樣脆呢
[00:01:24.000 --> 00:01:26.000]  有沒有吃過呢
[00:01:26.000 --> 00:01:28.000]  你就不知道了
