
[00:00:00.000 --> 00:00:02.680]  其實今晚我只有一個目的
[00:00:02.680 --> 00:00:05.920]  我希望每一個家庭
[00:00:05.920 --> 00:00:11.000]  都真是帶著愛回到你的家
[00:00:11.000 --> 00:00:13.640]  我們家裡都已經有愛
[00:00:13.640 --> 00:00:14.920]  我們如果沒有愛
[00:00:14.920 --> 00:00:17.680]  都沒有這個愛情的結晶品
[00:00:17.680 --> 00:00:20.080]  那我們還需要愛嗎
[00:00:20.080 --> 00:00:26.320]  其實我發覺人是相當麻煩的
[00:00:26.320 --> 00:00:30.880]  否則你問問你太太 問問你先生
[00:00:30.880 --> 00:00:33.560]  覺得你麻不麻煩
[00:00:33.560 --> 00:00:35.320]  敢不敢問
[00:00:35.320 --> 00:00:41.000]  其實讀幼稚園 讀小學
[00:00:41.000 --> 00:00:42.680]  我就想起
[00:00:42.680 --> 00:00:45.920]  如果我家裡不是因為有愛
[00:00:45.920 --> 00:00:49.320]  其實我們家裡都挺辛苦的
[00:00:49.320 --> 00:00:53.360]  我懷疑基發小學 幼稚園
[00:00:53.360 --> 00:00:56.520]  都是比較正常的學校
[00:00:56.520 --> 00:00:59.600]  現在有些學校是不正常的
[00:00:59.600 --> 00:01:01.120]  怎樣不正常呢
[00:01:01.120 --> 00:01:03.280]  很多功課要做
[00:01:03.280 --> 00:01:05.280]  很多補習
[00:01:05.280 --> 00:01:07.560]  我有個朋友從外國回來
[00:01:07.560 --> 00:01:10.560]  他說我們外國那些
[00:01:10.560 --> 00:01:13.080]  上完學回到家裡
[00:01:13.080 --> 00:01:15.640]  一家團聚很快樂
[00:01:15.640 --> 00:01:17.840]  小朋友就出去玩
[00:01:17.840 --> 00:01:19.320]  玩到累了就吃飯
[00:01:19.320 --> 00:01:22.920]  吃完飯就天倫樂睡覺
[00:01:22.920 --> 00:01:25.520]  第二天早上又再上學
[00:01:25.520 --> 00:01:27.520]  哇 這種生活
[00:01:27.520 --> 00:01:30.920]  請問你們有沒有
[00:01:30.920 --> 00:01:33.640]  有沒有
[00:01:33.640 --> 00:01:37.840]  我記得我弟弟上小學的時候
[00:01:37.840 --> 00:01:41.680]  我太太下班回來
[00:01:41.680 --> 00:01:43.480]  放下錢包
[00:01:43.480 --> 00:01:47.680]  就坐在飯桌上開始做功課
[00:01:47.680 --> 00:01:48.880]  做到吃飯
[00:01:48.880 --> 00:01:51.200]  吃完飯又繼續做功課
[00:01:51.200 --> 00:01:55.200]  做到晚上 大家就越累
[00:01:55.200 --> 00:01:57.400]  越累的時候就越生氣
[00:01:57.400 --> 00:02:01.120]  我看到他們母子快要發生命案
[00:02:01.120 --> 00:02:03.280]  我就跑出來救他們
[00:02:03.280 --> 00:02:04.880]  但我救他們沒多久
[00:02:04.880 --> 00:02:08.160]  發覺很快就會父子發生命案
[00:02:08.160 --> 00:02:10.800]  原來大家都是很辛苦的
[00:02:10.800 --> 00:02:14.600]  哇 讀書真的很要命的
[00:02:14.600 --> 00:02:17.680]  到底我們讀來幹什麼
[00:02:17.680 --> 00:02:19.600]  這個朋友從外國回來
[00:02:19.600 --> 00:02:21.000]  就跟一個朋友說
[00:02:21.000 --> 00:02:23.080]  他遇到一個香港的朋友
[00:02:23.080 --> 00:02:24.720]  那個香港朋友說
[00:02:24.720 --> 00:02:27.520]  就說你們就好了
[00:02:27.520 --> 00:02:31.160]  在那裡放完學就去玩
[00:02:31.160 --> 00:02:34.120]  我說 我的兒子
[00:02:34.120 --> 00:02:37.160]  他呢 放完學
[00:02:37.160 --> 00:02:42.160]  接著還沒回家就要去補習
[00:02:42.160 --> 00:02:43.200]  那你知道了
[00:02:43.200 --> 00:02:45.400]  那些朋友們跟朋友們
[00:02:45.400 --> 00:02:47.720]  一個就從外國回來
[00:02:47.720 --> 00:02:52.760]  放了學 他們讀的學校都是不用補習的
[00:02:52.760 --> 00:02:54.840]  他聽見這個朋友
[00:02:54.840 --> 00:02:57.640]  突然間放了學要補習
[00:02:57.640 --> 00:03:01.080]  這個從外國回來的朋友就說
[00:03:01.080 --> 00:03:03.560]  他為什麼要去補習
[00:03:03.560 --> 00:03:06.160]  他很蠢嗎
[00:03:06.160 --> 00:03:08.280]  Is he very stupid
[00:03:08.280 --> 00:03:10.120]  為什麼要補習
[00:03:10.120 --> 00:03:13.520]  哇 我發覺原來我們生活在香港
[00:03:13.520 --> 00:03:15.680]  都很多壓力的
[00:03:15.680 --> 00:03:20.080]  有時候我們一個很好的家庭
[00:03:20.080 --> 00:03:23.640]  因為壓力就漸漸
[00:03:23.640 --> 00:03:27.520]  愛就說不出口了
[00:03:27.520 --> 00:03:30.680]  做了功課沒有
[00:03:30.680 --> 00:03:33.360]  為什麼這麼
[00:03:33.360 --> 00:03:36.120]  然後就說
[00:03:36.120 --> 00:03:38.680]  什麼個隻什麼
[00:03:38.680 --> 00:03:39.760]  接著就說
[00:03:39.760 --> 00:03:41.240]  如果你不讀書
[00:03:41.240 --> 00:03:43.600]  你將來怎麼辦
[00:03:43.600 --> 00:03:45.000]  如果你不讀書
[00:03:45.000 --> 00:03:46.600]  將來就
[00:03:46.600 --> 00:03:47.240]  開的士
[00:03:47.240 --> 00:03:50.280]  嘩 開的士現在很差嗎
[00:03:50.280 --> 00:03:52.400]  原來自己也是開的士的
[00:03:52.400 --> 00:03:56.280]  然後開的士的士牌都很貴的
[00:03:56.280 --> 00:03:57.840]  有什麼問題
[00:03:57.840 --> 00:04:00.360]  我們其實不懂得去愛
[00:04:00.360 --> 00:04:04.560]  因為我們很多價值觀念都錯了
[00:04:04.560 --> 00:04:06.160]  然後有時候
[00:04:06.160 --> 00:04:09.520]  我們的太太對我們面子不好
[00:04:09.520 --> 00:04:11.400]  或者說多幾句話
[00:04:11.400 --> 00:04:13.960]  我們又得罪她
[00:04:13.960 --> 00:04:18.480]  所以今晚能夠夫妻一齊坐在這裡
[00:04:18.480 --> 00:04:20.440]  聽這個愛的故事
[00:04:20.440 --> 00:04:22.680]  其實是很重要的
[00:04:22.680 --> 00:04:24.480]  因為
[00:04:24.480 --> 00:04:27.440]  創造天地萬物的主
[00:04:27.440 --> 00:04:29.800]  他就要用這個愛
[00:04:29.800 --> 00:04:33.160]  來兼顧我們這個家庭
[00:04:33.160 --> 00:04:34.840]  你想不想
[00:04:34.840 --> 00:04:36.360]  你的家庭
[00:04:36.360 --> 00:04:39.120]  是一直都很穩陣的
[00:04:39.120 --> 00:04:42.120]  想不想你的家庭一直都很快樂的
[00:04:42.120 --> 00:04:44.280]  想不想
[00:04:44.280 --> 00:04:46.280]  想的話我就告訴你
[00:04:46.280 --> 00:04:48.680]  有些事情是可以做的
[00:04:48.680 --> 00:04:49.800]  一樣呢
[00:04:49.800 --> 00:04:50.800]  就是
[00:04:50.800 --> 00:04:53.360]  弄乾淨你的嘴巴
[00:04:53.360 --> 00:04:54.800]  那張嘴巴呢
[00:04:54.800 --> 00:04:59.000]  不要再出一些惡毒的話
[00:04:59.000 --> 00:05:02.720]  不要再罵壞他
[00:05:02.720 --> 00:05:06.640]  不要再說一些骯髒的說話
[00:05:06.640 --> 00:05:11.400]  也不要再說一些令人沒有希望的話
[00:05:11.400 --> 00:05:13.840]  例如什麼呢
[00:05:13.840 --> 00:05:16.520]  什麼叫做沒有希望的話呢
[00:05:16.520 --> 00:05:18.880]  你現在不讀書
[00:05:18.880 --> 00:05:21.840]  你長大了就做乞丐
[00:05:21.840 --> 00:05:23.880]  不讀書去到做乞丐
[00:05:23.880 --> 00:05:26.560]  路程差很遠的
[00:05:26.560 --> 00:05:30.480]  那個邏輯是很有問題的
[00:05:30.480 --> 00:05:33.480]  有很多不讀書的人都沒有做到乞丐
