
[00:00:00.000 --> 00:00:03.580]  今日要和大家講的經文
[00:00:03.580 --> 00:00:06.720]  可能在聖經裏面是其中一段
[00:00:06.720 --> 00:00:10.640]  是最恐怖、最令人害怕的一章書
[00:00:10.640 --> 00:00:14.580]  我們要講到靈界裏面的真賤
[00:00:14.580 --> 00:00:16.580]  靈界裏面的真賤
[00:00:16.580 --> 00:00:20.980]  是講到有很多我們見不到、摸不到的東西
[00:00:20.980 --> 00:00:22.760]  是很令人害怕的
[00:00:22.760 --> 00:00:25.820]  其實這個宇宙
[00:00:25.820 --> 00:00:29.700]  大部份的東西都是我們見不到、摸不到
[00:00:30.480 --> 00:00:33.300]  你說一定又是傳道人
[00:00:33.300 --> 00:00:36.760]  一定又是聖經學者在危言聳聽
[00:00:36.760 --> 00:00:39.580]  暴風捉影,在無中生有
[00:00:39.580 --> 00:00:41.840]  講這麼令人害怕的東西
[00:00:41.840 --> 00:00:44.260]  什麼宇宙大部份都看不到
[00:00:44.260 --> 00:00:46.760]  冤枉啊
[00:00:46.760 --> 00:00:52.520]  不是聖經學者,不是解經家講出來的
[00:00:52.520 --> 00:00:55.520]  這些是科學家講出來的
[00:00:56.320 --> 00:01:02.440]  在這個宇宙中,只有百分之五的東西是看得見、摸得到
[00:01:02.440 --> 00:01:05.360]  其餘都是看不見的
[00:01:05.360 --> 00:01:09.640]  只有百分之五我們叫做一般的物質
[00:01:09.640 --> 00:01:14.480]  其餘有百分之二十七是黑色的物質
[00:01:14.480 --> 00:01:17.520]  黑物質,看不到的、摸不到的
[00:01:17.520 --> 00:01:21.600]  也有百分之六十八是所謂的黑元能
[00:01:21.600 --> 00:01:23.820]  也是看不見、摸不到的
[00:01:24.500 --> 00:01:30.460]  愛因斯坦曾經在三十年代發表過一篇論
[00:01:30.460 --> 00:01:32.460]  說是有黑元能
[00:01:32.460 --> 00:01:35.020]  但是如果真的有黑元能的時候
[00:01:35.020 --> 00:01:40.200]  就會影響到宇宙不斷地迅速、加速地膨脹
[00:01:40.200 --> 00:01:46.360]  愛因斯坦知道有地心吸力
[00:01:46.360 --> 00:01:51.160]  不可能繼續不斷地迅速地膨脹
[00:01:51.160 --> 00:01:53.880]  所以最後放棄了這個理論
[00:01:53.880 --> 00:01:57.100]  還說是他一生中最大的錯誤
[00:01:57.100 --> 00:02:00.980]  但是神奇的事就是在1998年
[00:02:00.980 --> 00:02:04.480]  透過Hubble Space Telescope
[00:02:04.480 --> 00:02:06.880]  這個人造衛星
[00:02:06.880 --> 00:02:13.100]  真的發現到我們的宇宙是不斷地迅速、加速地膨脹
[00:02:13.100 --> 00:02:18.280]  這個和科學家證明了
[00:02:18.280 --> 00:02:23.280]  大部分的物質和能源的存在都是不明的
