
[00:00:00.000 --> 00:00:06.000]  很高興今天有主內大軒姊妹回到電鐘一同去敬拜贊美神
[00:00:06.000 --> 00:00:10.000]  我們用了三課的時間講了二斯拉記
[00:00:10.000 --> 00:00:12.000]  他們提到已經是
[00:00:12.000 --> 00:00:14.000]  見好課了,見好聖殿了
[00:00:14.000 --> 00:00:16.000]  回到去敬拜贊美神
[00:00:16.000 --> 00:00:19.000]  我們也很高興今天一同去敬拜贊美神的時候
[00:00:19.000 --> 00:00:22.000]  我們剛才那首歌也很有意思
[00:00:22.000 --> 00:00:24.000]  《這是天賦的世界》
[00:00:24.000 --> 00:00:26.000]  我們在上個主日的時候
[00:00:26.000 --> 00:00:31.000]  我們去了伊丹佩利有個浸禮的戶外崇拜
[00:00:31.000 --> 00:00:33.000]  當中有兩位姊妹受浸
[00:00:33.000 --> 00:00:36.000]  他們也分享他們的得救見證
[00:00:36.000 --> 00:00:39.000]  其中去年我們也有同一地點
[00:00:39.000 --> 00:00:40.000]  是相差一日而已
[00:00:40.000 --> 00:00:42.000]  也是有浸禮的機會
[00:00:42.000 --> 00:00:47.000]  我們邀請了去年浸禮的弟兄姊妹去做見證
[00:00:47.000 --> 00:00:51.000]  Michael許桂發弟兄也有一同去做見證
[00:00:51.000 --> 00:00:53.000]  我們聽到這些見證的時候
[00:00:53.000 --> 00:00:56.000]  就是希望聽到福音的大能
[00:00:56.000 --> 00:01:01.000]  希望這些見證可以成為弟兄姊妹的一些鼓勵
[00:01:01.000 --> 00:01:05.000]  同時我們跟世人去做見證
[00:01:05.000 --> 00:01:07.000]  在伊斯拉記我們看清楚
[00:01:07.000 --> 00:01:09.000]  也是提出同樣的意思
[00:01:09.000 --> 00:01:14.000]  就是說我們要有敬拜虔誠的活動
[00:01:14.000 --> 00:01:18.000]  但是除了外表這些虔誠敬拜活動之外
[00:01:18.000 --> 00:01:23.000]  心也要存在一個信復神話語之下的心
[00:01:23.000 --> 00:01:27.000]  在波斯王朝波斯帝國的期間裏面
[00:01:27.000 --> 00:01:35.000]  他們是被擄去之前尼布格麗薩擄去了南角游帶
[00:01:35.000 --> 00:01:38.000]  回到波斯的地區的時候
[00:01:38.000 --> 00:01:41.000]  到了波斯帝國的時候
[00:01:41.000 --> 00:01:45.000]  他們有個復興的機會
[00:01:45.000 --> 00:01:49.000]  在古烈王的年間裏面他是第一個皇朝的君主
[00:01:49.000 --> 00:01:53.000]  那時候索羅巴伯帶著伊斯利民
[00:01:53.000 --> 00:01:57.000]  由大人回到耶路撒冷地區
[00:01:57.000 --> 00:02:01.000]  直至到亞達西西王主持他的統治期間
[00:02:01.000 --> 00:02:04.000]  是主持464年到423年期間
