
[00:00:00.000 --> 00:00:07.000]  2022年你有什麼新的志願嗎?
[00:00:07.000 --> 00:00:11.000]  這樣的題目你會告訴我
[00:00:11.000 --> 00:00:13.000]  我小學作文寫的
[00:00:13.000 --> 00:00:15.000]  我中學作文寫的
[00:00:15.000 --> 00:00:16.000]  有沒有
[00:00:16.000 --> 00:00:18.000]  到了我這把年齡
[00:00:18.000 --> 00:00:20.000]  你還要我寫這個題目
[00:00:20.000 --> 00:00:24.000]  新的一年你有什麼志願
[00:00:24.000 --> 00:00:27.000]  好像我們年齡越來越大
[00:00:27.000 --> 00:00:29.000]  年齡越來越長
[00:00:29.000 --> 00:00:31.000]  年齡越來越老
[00:00:31.000 --> 00:00:32.000]  那你就會覺得
[00:00:32.000 --> 00:00:34.000]  我好像過去
[00:00:34.000 --> 00:00:36.000]  無數年裏面
[00:00:36.000 --> 00:00:38.000]  至少我自己我知道
[00:00:38.000 --> 00:00:40.000]  我很多年裏面都在
[00:00:40.000 --> 00:00:42.000]  每一年都寫這個問題
[00:00:42.000 --> 00:00:44.000]  我新年有什麼志願
[00:00:44.000 --> 00:00:46.000]  我今年要讀20本書
[00:00:46.000 --> 00:00:48.000]  那時候我也這樣寫的
[00:00:48.000 --> 00:00:50.000]  我新的一年我要讀50本書
[00:00:50.000 --> 00:00:53.000]  有沒有人有這樣的宏偉的志願
[00:00:53.000 --> 00:00:54.000]  然後你發現
[00:00:54.000 --> 00:00:56.000]  當你定下來
[00:00:56.000 --> 00:00:58.000]  新的一年我要讀20本書的時候
[00:00:58.000 --> 00:01:00.000]  然後你做一下總結
[00:01:00.000 --> 00:01:03.000]  你可能兩本書都沒有讀到
[00:01:03.000 --> 00:01:04.000]  然後你慢慢慢慢
[00:01:04.000 --> 00:01:06.000]  一年又一年過去
[00:01:06.000 --> 00:01:07.000]  你說算了
[00:01:07.000 --> 00:01:08.000]  反正我都沒有達到
[00:01:08.000 --> 00:01:10.000]  那我就不要什麼
[00:01:10.000 --> 00:01:12.000]  不要力哦
[00:01:12.000 --> 00:01:14.000]  不要力就沒有壓力
[00:01:14.000 --> 00:01:16.000]  不要力就沒有想這麼多
[00:01:16.000 --> 00:01:19.000]  所以我們不力的話
[00:01:19.000 --> 00:01:21.000]  我們常常會麻木
[00:01:21.000 --> 00:01:22.000]  那我們怎麼樣能夠
[00:01:22.000 --> 00:01:24.000]  像我們今天所說的
[00:01:24.000 --> 00:01:26.000]  我要心智更新呢
[00:01:26.000 --> 00:01:28.000]  原來更新就是說
[00:01:28.000 --> 00:01:30.000]  你要做調整啊
[00:01:30.000 --> 00:01:32.000]  你要做一個調整
[00:01:32.000 --> 00:01:35.000]  無論你的年齡階段是多少
[00:01:35.000 --> 00:01:37.000]  在這裏我想最多
[00:01:37.000 --> 00:01:39.000]  20%的人比我年長
[00:01:39.000 --> 00:01:40.000]  對吧
[00:01:40.000 --> 00:01:42.000]  應該只有20%
[00:01:42.000 --> 00:01:43.000]  我算一下
[00:01:43.000 --> 00:01:45.000]  沒有幾個
[00:01:45.000 --> 00:01:47.000]  那
[00:01:47.000 --> 00:01:49.000]  無論你在什麼樣的一個年齡階段
[00:01:49.000 --> 00:01:52.000]  無論你的年齡到哪裏
[00:01:52.000 --> 00:01:54.000]  你都要學會
[00:01:54.000 --> 00:01:56.000]  你也都要接受
[00:01:56.000 --> 00:01:59.000]  生命裏面要有挑戰
[00:01:59.000 --> 00:02:01.000]  生命有挑戰的時候
[00:02:01.000 --> 00:02:03.000]  你纔會有衝刺
[00:02:03.000 --> 00:02:05.000]  你纔會打開你自己
