
[00:00:00.000 --> 00:00:05.520]  剛纔我們看到很多弟兄姊妹在他們的生命當中
[00:00:05.520 --> 00:00:07.520]  包括我自己在內
[00:00:07.520 --> 00:00:12.520]  都曾經有一些很不愉快或者是很破碎的經驗
[00:00:12.520 --> 00:00:14.520]  但是很感謝上帝
[00:00:14.520 --> 00:00:16.020]  透過耶穌基督
[00:00:16.020 --> 00:00:19.520]  我們過往的那些問題、struggle
[00:00:19.520 --> 00:00:21.020]  不是完全沒有了
[00:00:21.020 --> 00:00:22.020]  但是靠着耶穌基督
[00:00:22.020 --> 00:00:24.520]  我們能夠得到耶穌基督的幫助和拯救
[00:00:24.520 --> 00:00:29.020]  而且我們和上帝可以重新建立一個關係
[00:00:29.020 --> 00:00:32.020]  事實上我相信在我們現實環境當中
[00:00:32.020 --> 00:00:34.020]  我們每一天生活了這麼久
[00:00:34.020 --> 00:00:37.020]  其實我們這個世界裏面真的有很多問題
[00:00:37.020 --> 00:00:39.020]  我們世界裏面的問題
[00:00:39.020 --> 00:00:41.020]  從很多事件上我們可以看到
[00:00:41.020 --> 00:00:43.020]  大家經常聽到我們說
[00:00:43.020 --> 00:00:45.020]  現在世界
[00:00:45.020 --> 00:00:47.020]  特別是美國社會里面
[00:00:47.020 --> 00:00:50.020]  那種道德的破落、敗壞
[00:00:50.020 --> 00:00:53.020]  還有貧窮的問題
[00:00:53.020 --> 00:00:55.020]  人的無知
[00:00:55.020 --> 00:01:01.020]  再加上有很多的暴力、疾病、死亡
[00:01:01.020 --> 00:01:04.020]  大家溝通上的一些障礙
[00:01:04.020 --> 00:01:06.020]  所有這些東西
[00:01:06.020 --> 00:01:08.020]  導致我們在人生當中
[00:01:08.020 --> 00:01:11.020]  其實我們經歷痛苦和困難的時間
[00:01:11.020 --> 00:01:14.020]  是多於愉快和開心的時間
[00:01:14.020 --> 00:01:17.020]  所有這些東西都是一個敗壞的社會
[00:01:17.020 --> 00:01:19.020]  敗壞的世界
[00:01:19.020 --> 00:01:22.020]  帶來給我們所經歷到的一些情況
[00:01:22.020 --> 00:01:25.020]  所以其實可以很upset
[00:01:25.020 --> 00:01:27.020]  當我們看我們的世界
[00:01:27.020 --> 00:01:28.020]  看我們周圍的環境
[00:01:28.020 --> 00:01:30.020]  看我們四個人當中
[00:01:30.020 --> 00:01:33.020]  很多人都在struggle, struggle, struggle當中
[00:01:33.020 --> 00:01:35.020]  但是與此同時
[00:01:35.020 --> 00:01:40.020]  在這些困難問題當中
[00:01:40.020 --> 00:01:41.020]  我們很感謝上帝
[00:01:41.020 --> 00:01:42.020]  爲什麼呢
[00:01:42.020 --> 00:01:44.020]  上帝仍然讓我們有機會看到
[00:01:44.020 --> 00:01:47.020]  這個世界其實也有很多美麗的東西
[00:01:47.020 --> 00:01:50.020]  這個世界不是完全毫無意義的
[00:01:50.020 --> 00:01:52.020]  是有原因有目的的
[00:01:52.020 --> 00:01:53.020]  甚至我們可以看到
[00:01:53.020 --> 00:01:57.020]  神那種設計的一些痕跡
[00:01:57.020 --> 00:02:00.020]  今天跟大家看看一些很美的地方
[00:02:00.020 --> 00:02:01.020]  可以大家relax一下
[00:02:01.020 --> 00:02:03.020]  原來在全世界上來說
[00:02:03.020 --> 00:02:05.020]  有很多漂亮美麗的地方
[00:02:05.020 --> 00:02:07.020]  我們說鬼斧神工
[00:02:07.020 --> 00:02:09.020]  講到上帝創造了奇妙
[00:02:09.020 --> 00:02:10.020]  真的很重要
[00:02:10.020 --> 00:02:12.020]  有些地方你可能是recognize的
[00:02:12.020 --> 00:02:13.020]  你認得的
[00:02:13.020 --> 00:02:15.020]  有些地方你是沒見過的
[00:02:15.020 --> 00:02:19.020]  但是存在在今天我們的世界當中
[00:02:19.020 --> 00:02:21.020]  是不是很美麗
[00:02:21.020 --> 00:02:24.020]  有沒有機會去這些地方旅遊
[00:02:24.020 --> 00:02:25.020]  直接去見一見
[00:02:25.020 --> 00:02:27.020]  多拍些照片
[00:02:27.020 --> 00:02:29.020]  這些都是很美麗的
[00:02:29.020 --> 00:02:33.020]  看到神所創造的那種偉大壯觀
[00:02:33.020 --> 00:02:34.020]  你去到的時候
[00:02:34.020 --> 00:02:36.020]  直接覺得有種majestic
[00:02:36.020 --> 00:02:41.020]  怎麼可能這個世界是沒有上帝去創造的呢
[00:02:41.020 --> 00:02:44.020]  事實上當你看到這些照片的時候
[00:02:44.020 --> 00:02:47.020]  你會認同聖經裏面所講
[00:02:47.020 --> 00:02:49.020]  神創造這個世界的時候
[00:02:49.020 --> 00:02:51.020]  當神創造這個世界的時候
[00:02:51.020 --> 00:02:54.020]  一切都是這麼美好的
[00:02:54.020 --> 00:02:58.020]  創世紀在第一章
[00:02:58.020 --> 00:02:59.020]  第31節那裏說
[00:02:59.020 --> 00:03:02.020]  神看他自己所創造的東西之後
[00:03:02.020 --> 00:03:03.020]  他說
