
[00:00:00.000 --> 00:00:06.880]  頂英姐妹及今日的嘉賓及親友在座
[00:00:06.880 --> 00:00:10.400]  因為今日我們將會施行聖水禮
[00:00:10.400 --> 00:00:14.160]  我很感恩,因為很久未來這裡崇拜
[00:00:14.160 --> 00:00:17.840]  但來的時候有15個信徒
[00:00:17.840 --> 00:00:20.720]  將會加入上主的大家庭
[00:00:20.720 --> 00:00:27.000]  首先我提前恭喜大家,15位頂英姐妹
[00:00:27.000 --> 00:00:33.600]  因為一生一世跟隨主是人生一個相當重要的抉擇
[00:00:33.600 --> 00:00:38.840]  所以從今日起各位決志將自己的生命
[00:00:38.840 --> 00:00:42.400]  來見證我們活生生的信仰
[00:00:42.400 --> 00:00:46.840]  有15個生力軍加入上帝的見證團隊
[00:00:46.840 --> 00:00:49.480]  很不得了,很難得
[00:00:49.480 --> 00:00:54.120]  今日這個聖水禮的過程
[00:00:54.120 --> 00:00:58.480]  其實令我想起一件跟水有關
[00:00:58.480 --> 00:01:01.000]  在我自己身上發生的往事
[00:01:01.000 --> 00:01:03.680]  話說十多年前
[00:01:03.680 --> 00:01:07.520]  因為當時開始覺得自己年紀老邁
[00:01:07.520 --> 00:01:09.800]  身體出了很多毛病
[00:01:09.800 --> 00:01:14.120]  經常腰酸背痛
[00:01:14.120 --> 00:01:18.600]  因此立下心志要每一天早上
[00:01:18.600 --> 00:01:20.920]  去游完水才回辦公室
[00:01:20.920 --> 00:01:25.000]  不過當立下心志時,當時是冬天
[00:01:25.000 --> 00:01:26.480]  冷得不得了
[00:01:26.480 --> 00:01:31.320]  所以當時我選擇去沙田玄和路
[00:01:31.320 --> 00:01:37.840]  當時的暖水泳池操身體
[00:01:37.840 --> 00:01:41.120]  早上五時半起床
[00:01:41.120 --> 00:01:44.880]  大約六時半去游泳池游水
[00:01:44.880 --> 00:01:48.080]  打算紅心壯志去做運動
[00:01:48.080 --> 00:01:51.840]  第一天到泳池
[00:01:51.840 --> 00:01:57.120]  發現泳池裡幾乎全部都是老人家
[00:01:57.120 --> 00:02:00.440]  不過他們的精力比我充沛很多
[00:02:00.440 --> 00:02:03.240]  大家知道直池有五十米
[00:02:03.240 --> 00:02:06.640]  直池游來游去
[00:02:06.640 --> 00:02:09.000]  我見到這麼厲害
[00:02:09.000 --> 00:02:14.160]  不過當時我已經有十年沒有沾過水
[00:02:14.160 --> 00:02:18.160]  所以第一次下水
[00:02:18.160 --> 00:02:20.680]  想想不要游直池
[00:02:20.680 --> 00:02:23.960]  還是游橫池二十五米會好一點
[00:02:23.960 --> 00:02:26.440]  想著橫池比較短
[00:02:26.440 --> 00:02:28.840]  無謂第一天操練身體
[00:02:28.840 --> 00:02:31.680]  結果就淹死了
[00:02:31.680 --> 00:02:34.440]  這樣想當然是合情合理
[00:02:34.440 --> 00:02:35.560]  然後我跳下水
[00:02:35.560 --> 00:02:38.440]  然後橫著游
[00:02:38.440 --> 00:02:40.840]  不過游了一半都沒有
[00:02:40.840 --> 00:02:45.160]  隱約聽到在水面上有很大聲
[00:02:45.160 --> 00:02:46.840]  婆婆伯伯的聲音
[00:02:46.840 --> 00:02:48.240]  很大聲罵
[00:02:48.240 --> 00:02:49.600]  罵甚麼呢
[00:02:49.600 --> 00:02:52.920]  哪個年輕人這麼不懂規矩
[00:02:52.920 --> 00:02:56.560]  坐實了竟然打橫游
[00:02:56.560 --> 00:02:59.480]  我們這個規矩是打直游
[00:02:59.480 --> 00:03:01.000]  我們傳統是打直游
[00:03:01.000 --> 00:03:03.120]  這個是誰來的
[00:03:03.120 --> 00:03:07.080]  我一直在游水的時候
[00:03:07.080 --> 00:03:08.760]  很尷尬
[00:03:08.760 --> 00:03:13.880]  於是我只好潛到水底
[00:03:13.880 --> 00:03:15.480]  本來打橫游
[00:03:15.480 --> 00:03:16.800]  然後拐個彎
[00:03:16.800 --> 00:03:20.360]  就回到直池的起點
[00:03:20.360 --> 00:03:23.440]  當我頭伸回水面的時候
[00:03:23.440 --> 00:03:24.160]  很多人不認得
[00:03:24.160 --> 00:03:27.120]  原來這個年輕人就是我
[00:03:27.120 --> 00:03:28.760]  我一直在潛水的時候
[00:03:28.760 --> 00:03:33.240]  水底裏面閉著想一個問題
[00:03:33.240 --> 00:03:39.360]  當時想為甚麼連游水都有傳統
[00:03:39.360 --> 00:03:41.840]  都有傳統定下來的規矩
[00:03:41.840 --> 00:03:43.720]  為甚麼游水都要有傳統
[00:03:43.720 --> 00:03:46.560]  人人都要守
[00:03:46.560 --> 00:03:47.880]  當時我一直在游
