
[00:00:00.000 --> 00:00:04.540]  我最近有機會上網拿一些資料的時候
[00:00:04.540 --> 00:00:09.540]  就看到有一個關於全球宗教的情況
[00:00:09.540 --> 00:00:12.660]  看完之後心裏面都不是開心的
[00:00:12.660 --> 00:00:15.560]  或者甚至應該說有點擔心
[00:00:15.560 --> 00:00:18.140]  因為根據一個機構
[00:00:18.140 --> 00:00:23.180]  它2015年的調查結果告訴我們
[00:00:23.180 --> 00:00:27.080]  全球廣義性的基督徒的人口
[00:00:27.080 --> 00:00:31.660]  包括天主教、基督教、東正教
[00:00:31.660 --> 00:00:33.660]  甚至一些獨立的教會
[00:00:33.660 --> 00:00:36.760]  全這些廣義性的基督徒的人口
[00:00:36.760 --> 00:00:40.860]  佔全球32.5%
[00:00:40.860 --> 00:00:45.380]  而回教徒是21.5%
[00:00:45.380 --> 00:00:50.200]  而福音未得之民大概是21億的人口
[00:00:50.200 --> 00:00:53.620]  佔全球大概30%
[00:00:53.620 --> 00:00:57.840]  有另一個調查告訴我們
[00:00:57.840 --> 00:01:00.820]  如果各國的宗教
[00:01:00.820 --> 00:01:04.980]  他們傳教的情況好像現在這樣的時候
[00:01:04.980 --> 00:01:07.460]  到了2050年
[00:01:07.460 --> 00:01:10.820]  全球性的廣義性基督徒的人口
[00:01:10.820 --> 00:01:12.280]  是沒有甚麼增長
[00:01:12.280 --> 00:01:14.620]  甚至是下跌了一點點
[00:01:14.620 --> 00:01:17.880]  但是反過來講
[00:01:17.880 --> 00:01:21.400]  穆斯林或者回教或者伊斯蘭教的人口
[00:01:21.400 --> 00:01:23.700]  就會大幅的上升
[00:01:23.700 --> 00:01:26.880]  好像和基督徒的人口差不了多少
[00:01:26.880 --> 00:01:29.780]  甚至有另一些的調查
[00:01:29.780 --> 00:01:33.060]  甚至說它會多過基督教的人口
[00:01:33.060 --> 00:01:34.000]  為甚麼呢?
[00:01:34.000 --> 00:01:37.520]  因為只生BB
[00:01:37.520 --> 00:01:40.400]  穆斯林的人都是生得多過我們
[00:01:40.400 --> 00:01:43.060]  基督徒是生一點多
[00:01:43.060 --> 00:01:45.180]  但是他們可以生三個、四個
[00:01:45.180 --> 00:01:46.780]  所以我們都輸光了
[00:01:46.780 --> 00:01:50.240]  而且一生出來他們就是信徒
[00:01:50.240 --> 00:01:52.240]  我們還要傳
[00:01:52.240 --> 00:01:55.360]  當然我們傳福音的熱誠又有多少呢?
[00:01:55.360 --> 00:01:57.360]  我真的不知道
[00:01:57.360 --> 00:02:00.040]  最近我又因為這個緣故
[00:02:00.040 --> 00:02:02.720]  又看看我們自己教會的情況
[00:02:02.720 --> 00:02:06.500]  看看2006年 大概十年前
[00:02:06.500 --> 00:02:09.280]  在我們教會受浸禮的人數
[00:02:09.280 --> 00:02:11.280]  就是260人
[00:02:11.280 --> 00:02:15.200]  但是去年2016年
[00:02:15.200 --> 00:02:17.540]  你知不知道我們受浸禮的人數是多少?
[00:02:17.540 --> 00:02:18.980]  算上灑水禮
[00:02:18.980 --> 00:02:21.320]  都是只有140人
[00:02:21.320 --> 00:02:24.160]  即是少了100人
[00:02:24.160 --> 00:02:25.720]  當然我們知道
[00:02:25.720 --> 00:02:28.280]  信耶穌帶別人受浸
[00:02:28.280 --> 00:02:29.780]  都是聖靈的工作
[00:02:29.780 --> 00:02:32.180]  我們不是逼得出來
[00:02:32.180 --> 00:02:34.600]  但是剛才我說的數字
[00:02:34.600 --> 00:02:37.300]  不多不少都可能會反映了
[00:02:37.300 --> 00:02:40.060]  我們是不是很內聚呢?
[00:02:40.060 --> 00:02:44.300]  我們是不是傳福音的熱誠下降了呢?
[00:02:44.300 --> 00:02:49.040]  以致在我們教會得救的人數少了呢?
[00:02:49.040 --> 00:02:52.220]  我相信不是沒有人要信耶穌
[00:02:52.220 --> 00:02:54.060]  或者沒有人願意信耶穌
