
[00:00:00.000 --> 00:00:02.960]  我們繼續看這個題目
[00:00:02.960 --> 00:00:05.760]  心存盼望 以心建家
[00:00:05.760 --> 00:00:10.600]  我繼續用希伯來書給我們將盼望帶給大家
[00:00:10.600 --> 00:00:13.400]  跑不全程的意思就是
[00:00:13.400 --> 00:00:16.700]  在這個信仰的道路裏面
[00:00:16.700 --> 00:00:19.040]  我們能夠跑到終點站
[00:00:19.040 --> 00:00:24.020]  得到上帝應許給我們那份最終極的永生
[00:00:24.020 --> 00:00:25.540]  救恩
[00:00:25.540 --> 00:00:28.700]  榮耀的沽冕和那份福樂
[00:00:28.920 --> 00:00:33.080]  首先我帶大家來近暑假的一個場景
[00:00:33.080 --> 00:00:35.980]  大家知道來近七月份
[00:00:35.980 --> 00:00:39.060]  在整個世界裏面其中一個最大盛事就是
[00:00:39.060 --> 00:00:40.560]  奧運會
[00:00:40.560 --> 00:00:42.200]  大家知道什麼時候開幕嗎?
[00:00:42.200 --> 00:00:45.680]  可能未必知道 大家不是那些
[00:00:45.680 --> 00:00:48.680]  很喜歡體育的人 有得看就行了 不知什麼時候
[00:00:48.680 --> 00:00:52.040]  七月二十六日在巴黎七點半夜晚就開幕
[00:00:52.040 --> 00:00:54.720]  但香港時間是要去到七月二十七日
[00:00:54.720 --> 00:00:56.280]  零十一點半
[00:00:56.280 --> 00:00:58.520]  不過我不是講奧運的事情
[00:00:58.520 --> 00:01:01.400]  我是想帶一個場景給大家
[00:01:01.400 --> 00:01:05.060]  就是要參加奧運會是不容易的
[00:01:05.060 --> 00:01:08.280]  我們香港有一個游泳的女選手叫做
[00:01:08.280 --> 00:01:10.500]  歐凱旋
[00:01:10.500 --> 00:01:12.560]  她其實過去幾屆都參加的
[00:01:12.560 --> 00:01:14.500]  今次她飲恨參加不了
[00:01:14.500 --> 00:01:15.740]  為什麼呢?
[00:01:15.740 --> 00:01:18.340]  因為奧運會要求
[00:01:18.340 --> 00:01:21.160]  起碼她的背面要游到
[00:01:21.160 --> 00:01:24.340]  背面一百米要游到
[00:01:24.340 --> 00:01:26.160]  一分鐘
[00:01:26.160 --> 00:01:29.880]  不是 應該要游到五十九點九九秒
[00:01:29.880 --> 00:01:34.360]  她就游了一分鐘零一點四六秒
[00:01:34.360 --> 00:01:36.060]  就是差多少?
[00:01:36.060 --> 00:01:37.160]  一秒多而已
[00:01:37.160 --> 00:01:41.300]  差一秒多就進不了奧運的入場券
[00:01:41.300 --> 00:01:45.000]  所以其實原來要跑一整程
[00:01:45.000 --> 00:01:46.340]  都不容易的
[00:01:46.340 --> 00:01:48.160]  當然我們不是在講運動會
[00:01:48.160 --> 00:01:49.560]  或者講游泳
[00:01:49.560 --> 00:01:52.080]  而是講一個熟練的跑步
[00:01:53.360 --> 00:01:56.320]  剛才讀的經文給我們看見一個場景就是
[00:01:56.320 --> 00:01:58.020]  一班信心的偉人
[00:01:58.020 --> 00:02:00.120]  在上一次講道講過
[00:02:00.120 --> 00:02:03.360]  有阿伯拉罕 約瑟 摩西
[00:02:03.360 --> 00:02:06.440]  大衛 達爾利等等
[00:02:06.440 --> 00:02:10.680]  他們都跑了他們信仰的人生的路
[00:02:10.680 --> 00:02:16.040]  他們就好像一班雲彩的見證一樣
[00:02:16.040 --> 00:02:19.660]  在奧運的場館裡面看著我們
[00:02:19.660 --> 00:02:23.080]  看著我們能不能夠跑不全程
