
[00:00:00.000 --> 00:00:05.560]  有人說 人生 或者我們的屬靈的經驗
[00:00:05.560 --> 00:00:08.360]  好像螺旋了一個路程一樣
[00:00:08.360 --> 00:00:10.560]  轉下轉下
[00:00:10.560 --> 00:00:16.420]  大家有沒有去中國玩呢 上那些塔
[00:00:16.420 --> 00:00:18.320]  有沒有 我不知道喜不喜歡
[00:00:18.320 --> 00:00:21.680]  如果你上那些塔呢 上到一樓 兜個圈
[00:00:21.680 --> 00:00:24.520]  你看着東邊的太陽 是啊 很漂亮
[00:00:24.520 --> 00:00:27.200]  上到二樓又兜個圈 又是這個太陽
[00:00:27.200 --> 00:00:29.360]  三樓又是這樣 四樓也是
[00:00:29.360 --> 00:00:32.880]  同樣這個建築物是德國的一個國會
[00:00:32.880 --> 00:00:36.160]  四面都是毫無泥石 但中間挖了個洞
[00:00:36.160 --> 00:00:39.520]  其實是燒了的 建了個玻璃的洞在當中
[00:00:39.520 --> 00:00:40.960]  所以很多人去參觀
[00:00:40.960 --> 00:00:44.600]  其實它和中國塔的原理都是一路兜一路兜
[00:00:44.600 --> 00:00:47.800]  大家看黃色紅色的箭嘴 就好像剛纔說的
[00:00:47.800 --> 00:00:51.760]  我們去到那個地方 又會見到同一個地方
[00:00:51.760 --> 00:00:54.560]  我想說出來的是 我們的生命裏面
[00:00:54.560 --> 00:00:57.000]  有一些問題 比如舉個例子
[00:00:57.000 --> 00:00:59.000]  牧師有時喜歡煲劇
[00:00:59.000 --> 00:01:03.200]  煲煲下 我的心裏面 師母又會提醒我
[00:01:03.200 --> 00:01:05.960]  不要再煲了 我又不煲了
[00:01:05.960 --> 00:01:08.480]  所謂煲 其實只是追劇而已
[00:01:08.480 --> 00:01:13.800]  一晚看半個小時 我就算了 或者一個小時
[00:01:13.800 --> 00:01:17.920]  但你會發覺 整天都好像煲煲完一輪
[00:01:17.920 --> 00:01:21.600]  幾個月後不看 很努力 看下書
[00:01:21.600 --> 00:01:24.040]  然後又會有一陣間又出現
[00:01:24.040 --> 00:01:27.320]  好像你的問題沒有改變
[00:01:27.320 --> 00:01:29.800]  但是 神告訴我
[00:01:29.800 --> 00:01:31.600]  在這個圖上告訴我
[00:01:31.600 --> 00:01:36.160]  原來雖然我十年前是煲劇 或者看劇
[00:01:36.160 --> 00:01:37.600]  現在都喜歡看
[00:01:37.600 --> 00:01:40.280]  但是十年後的今天 已經不同了等級
[00:01:40.280 --> 00:01:43.120]  十年後看到 醉生夢死
[00:01:43.120 --> 00:01:46.600]  這次呢 十年後 別人說不要看了
[00:01:46.600 --> 00:01:48.240]  那我就立刻可以放下
[00:01:48.240 --> 00:01:51.480]  這個就是什麼 層次的不同
[00:01:51.480 --> 00:01:53.360]  所以 我們告訴你
[00:01:53.360 --> 00:01:56.800]  人生裏面很多次 會兜兜轉轉
[00:01:56.800 --> 00:01:58.640]  好像問題沒有改變
[00:01:58.640 --> 00:02:02.200]  但是在屬靈的深度 其實你有能力去面對
[00:02:02.200 --> 00:02:06.280]  越信得主內 你會越深在你面前
[00:02:06.280 --> 00:02:07.800]  有能力去處理
[00:02:07.800 --> 00:02:11.640]  因爲你不是說過 你日子如何 力量也如何
[00:02:11.640 --> 00:02:15.400]  今天想借用138篇詩篇
[00:02:15.400 --> 00:02:17.320]  我們來看一個問題
[00:02:17.320 --> 00:02:20.000]  其實在大衛138篇裏面
[00:02:20.000 --> 00:02:22.280]  是一篇很特別的詩
[00:02:22.280 --> 00:02:24.640]  當不去預備信息都不知道它特別
[00:02:24.640 --> 00:02:26.080]  特別在哪裏呢
[00:02:26.080 --> 00:02:28.360]  特別它和我和你一樣
[00:02:28.360 --> 00:02:31.000]  你知不知道我和你有什麼不同
[00:02:31.000 --> 00:02:33.200]  都是很平庸的
[00:02:33.200 --> 00:02:35.760]  但是在平庸當中 顯出不平庸
[00:02:35.760 --> 00:02:36.920]  對不對
[00:02:36.920 --> 00:02:40.480]  告訴隔壁的人 你很平庸的
[00:02:40.480 --> 00:02:42.920]  但是因爲耶穌的緣故
[00:02:42.920 --> 00:02:45.920]  但是因爲耶穌的緣故 你顯出不平庸
[00:02:45.920 --> 00:02:49.760]  這138篇詩篇就提醒我們一篇
[00:02:49.760 --> 00:02:52.760]  我想講一點背景
[00:02:52.760 --> 00:02:55.080]  大衛寫了很多篇詩篇
[00:02:55.080 --> 00:02:58.360]  所有詩篇都是一個土告
[00:02:58.360 --> 00:03:02.240]  當然大衛是最多的詩篇作者
