
[00:00:00.000 --> 00:00:01.640]  總之今日我揀左一個情緒
[00:00:01.640 --> 00:00:02.800]  我喺度諗
[00:00:02.800 --> 00:00:07.640]  用咩情緒做第一個 呢個系列嘅第一篇講道呢
[00:00:07.640 --> 00:00:09.200]  我就喺度諗 不如講一啲
[00:00:09.200 --> 00:00:11.000]  喺教會比較少講嘅情緒
[00:00:11.000 --> 00:00:14.080]  即係起落呢啲太常見 冇乜嘢好講
[00:00:14.080 --> 00:00:16.920]  咁講一啲呢 其實我哋成日都經歷嘅
[00:00:16.920 --> 00:00:19.200]  但喺教會呢 唔係好講嘅情緒
[00:00:19.200 --> 00:00:20.880]  就係咩呢 憤怒
[00:00:20.880 --> 00:00:24.480]  所以呢我就揀咗憤怒呢 做我第一篇嘅講道
[00:00:24.480 --> 00:00:27.080]  咁其實好簡單 憤怒係咩呢
[00:00:27.080 --> 00:00:28.640]  就係我哋喺教會裏面好
[00:00:28.640 --> 00:00:30.920]  即係我哋平日成日經歷
[00:00:30.920 --> 00:00:32.840]  但喺教會呢好少講
[00:00:32.840 --> 00:00:34.320]  亦都唔會點表達嘅
[00:00:34.320 --> 00:00:36.240]  因為教會係咩呀 愛嘅群體呀嘛
[00:00:36.240 --> 00:00:38.800]  係咪 要客客氣氣你愛我我愛你咁樣囉
[00:00:38.800 --> 00:00:41.520]  就算嬲呢 都要私底下嬲
[00:00:41.520 --> 00:00:42.080]  係咪
[00:00:42.080 --> 00:00:43.920]  即係就唔好嬲出面
[00:00:43.920 --> 00:00:45.480]  即係如果唔係大家冇friend做
[00:00:45.480 --> 00:00:46.400]  係好大鑊嘅
[00:00:46.400 --> 00:00:48.320]  即係特別喺華人教會大家明白啦
[00:00:48.320 --> 00:00:51.000]  即係嬲過一次呢返唔到轉頭呀 你知呀
[00:00:51.000 --> 00:00:52.360]  即係呢啲嘢係好大鑊
[00:00:52.360 --> 00:00:54.080]  咁但係我想去睇下
[00:00:54.080 --> 00:00:56.920]  究竟喺新約裏面係點樣睇嬲呢
[00:00:56.920 --> 00:00:59.080]  係咪就係唔好發出嚟咁簡單呢
[00:00:59.080 --> 00:01:01.400]  係咪就係唔好嬲人咁簡單呢
[00:01:01.400 --> 00:01:05.160]  咁呢個就係我好想同大家去睇嘅嘢喇
[00:01:05.160 --> 00:01:07.800]  好 咁喺講憤怒之前呢
[00:01:07.800 --> 00:01:09.200]  其實我哋呢好少去諗呢
[00:01:09.200 --> 00:01:10.520]  我哋需要問一個問題
[00:01:10.520 --> 00:01:12.040]  其實乜嘢係憤怒呢 係咪
[00:01:12.040 --> 00:01:13.240]  我哋成日經歷嘅
[00:01:13.240 --> 00:01:16.000]  但我哋好少去思考乜嘢係憤怒
[00:01:16.000 --> 00:01:17.320]  咁所以呢我哋首先去睇下
[00:01:17.320 --> 00:01:19.120]  一啲定義嘅問題先
[00:01:19.120 --> 00:01:20.960]  究竟呢現代嘅人呢
[00:01:20.960 --> 00:01:23.160]  或者現代心理學點樣定義憤怒
[00:01:23.160 --> 00:01:26.280]  咁我揀咗一個最有權威性嘅定義
[00:01:26.280 --> 00:01:28.720]  就係嚟自呢美國心理學會嘅APA
[00:01:28.720 --> 00:01:30.000]  即係讀心理學嘅人都知
[00:01:30.000 --> 00:01:32.040]  APA係最有權威嘅定義喇
[00:01:32.040 --> 00:01:34.000]  咁APA點樣定義憤怒呢
