
[00:00:00.000 --> 00:00:06.780]  我們上禮拜也是講到光明的兒女
[00:00:06.780 --> 00:00:11.660]  第五章從第三節開始
[00:00:11.660 --> 00:00:15.260]  一直到十四節 都在講到光明
[00:00:15.260 --> 00:00:17.060]  第一節 第二節講什麼呢?
[00:00:17.060 --> 00:00:20.260]  講到做蒙愛的兒女
[00:00:20.260 --> 00:00:24.180]  我們又是慈愛的 我們又是光明的
[00:00:24.180 --> 00:00:28.700]  慈愛跟光明 常常好像很難合在一起
[00:00:28.700 --> 00:00:32.000]  你會不會發現一個人 他很好很好
[00:00:32.000 --> 00:00:36.180]  真是蠻有慈愛 有時候就是爛好人
[00:00:36.180 --> 00:00:37.740]  會不會?
[00:00:37.740 --> 00:00:40.060]  沒有原則
[00:00:40.060 --> 00:00:42.700]  但是有的人是非常光明
[00:00:42.700 --> 00:00:46.660]  光到真的是你都不敢接近他
[00:00:46.660 --> 00:00:48.260]  有沒有?
[00:00:48.260 --> 00:00:50.940]  但是我們的神祂又是慈愛的
[00:00:50.940 --> 00:00:52.940]  祂又是光明的
[00:00:52.940 --> 00:00:56.140]  祂是慈愛 祂是光明 祂是聖潔
[00:00:56.140 --> 00:00:59.340]  這兩個可以很完美的結合在一起
[00:00:59.340 --> 00:01:02.020]  所以祂既然要我們做慈愛的兒女
[00:01:02.020 --> 00:01:07.140]  祂也要我們做光明的兒女
[00:01:07.140 --> 00:01:10.860]  丟什麼 你自己看
[00:01:10.860 --> 00:01:16.180]  在這段聖經裡面第八節
[00:01:16.180 --> 00:01:24.980]  祂說你們從前你們是暗昧的
[00:01:24.980 --> 00:01:29.620]  如今在主裡面是光明的
[00:01:29.620 --> 00:01:36.180]  所以祂這裡說 從前你們是
[00:01:36.180 --> 00:01:39.340]  如今在主裡面是
[00:01:39.340 --> 00:01:41.900]  在這裡看
[00:01:41.900 --> 00:01:43.540]  接著祂就說什麼
[00:01:43.540 --> 00:01:45.180]  我們第八節一起來念
[00:01:45.180 --> 00:01:46.860]  第八節 預備 請
[00:01:46.860 --> 00:01:49.420]  從前你們是暗昧的
[00:01:49.420 --> 00:01:52.860]  但如今在主裡面是光明的
[00:01:52.860 --> 00:01:57.820]  行事為人 就當向光明的子女
[00:01:57.820 --> 00:01:59.700]  所以在這邊講到兩個字很重要
[00:01:59.700 --> 00:02:00.660]  第一個就是「是」
[00:02:00.660 --> 00:02:03.900]  第二個就是「行」
[00:02:03.900 --> 00:02:06.060]  保羅講「行事為人」講了很多次
[00:02:06.060 --> 00:02:08.660]  在以福所書裡面提到
[00:02:08.660 --> 00:02:11.020]  他說「行事為人」你們就應該怎麼樣
[00:02:11.020 --> 00:02:14.260]  「行事為人」就應該與蒙昭的恩相稱
[00:02:14.260 --> 00:02:17.340]  有沒有 在第四章一開始他就這樣講
[00:02:17.340 --> 00:02:20.940]  但是講到「行事為人」的時候
[00:02:20.940 --> 00:02:23.380]  首先先要說「你是什麼人」
[00:02:23.380 --> 00:02:25.820]  弟兄姊妹
[00:02:25.820 --> 00:02:32.340]  「行」必須是從「是」而來
[00:02:32.340 --> 00:02:36.060]  「Being」帶來了「Doing」
[00:02:36.060 --> 00:02:38.020]  你是什麼樣子的人
[00:02:38.020 --> 00:02:41.020]  你就會做什麼樣的事
[00:02:41.020 --> 00:02:44.740]  所以你看見這個樹的樹根有沒有
[00:02:44.740 --> 00:02:47.100]  那個樹根你看不見的
[00:02:47.100 --> 00:02:49.540]  但是那個樹根很關鍵
[00:02:49.540 --> 00:02:52.140]  因為那就是Being
[00:02:52.140 --> 00:02:55.100]  而上面長出來的這一個樹葉
[00:02:55.100 --> 00:02:56.820]  這一些的果實
[00:02:56.820 --> 00:02:59.100]  這些是結果
[00:02:59.100 --> 00:03:01.700]  所以從我們這一個人
[00:03:01.700 --> 00:03:08.660]  帶出我們所行的「是」
[00:03:08.660 --> 00:03:09.540]  因此保羅說
[00:03:09.540 --> 00:03:12.820]  從前我們是暗昧的
[00:03:12.820 --> 00:03:15.820]  暗昧這個字就是黑暗
[00:03:15.820 --> 00:03:18.980]  從前我們是黑暗的
[00:03:18.980 --> 00:03:21.660]  但是邏輯我們是光明的
[00:03:21.660 --> 00:03:22.660]  弟兄姊妹你會覺得說
[00:03:22.660 --> 00:03:25.980]  我又不像那些什麼太保那些強盜
[00:03:25.980 --> 00:03:27.540]  他們真是壞透了
[00:03:27.540 --> 00:03:28.460]  他們信了耶穌
[00:03:28.460 --> 00:03:29.660]  他們過去是黑暗的
[00:03:29.660 --> 00:03:30.820]  我不黑啊
[00:03:30.820 --> 00:03:34.540]  我都是很頂尖大學畢業的
[00:03:34.540 --> 00:03:37.500]  我又是一路上面都是好的青年
[00:03:37.500 --> 00:03:40.740]  還得過什麼十大傑出青年
[00:03:40.740 --> 00:03:42.300]  我都是很好
[00:03:42.300 --> 00:03:44.140]  弟兄姊妹 是嗎
[00:03:44.140 --> 00:03:45.020]  是不是
[00:03:45.020 --> 00:03:45.820]  保羅在這裡講
[00:03:45.820 --> 00:03:47.060]  我們從前是黑暗的時候
[00:03:47.060 --> 00:03:50.060]  請問保羅他以前黑不黑暗
[00:03:50.060 --> 00:03:50.780]  黑暗了
[00:03:50.780 --> 00:03:52.060]  你說保羅黑暗了
[00:03:52.060 --> 00:03:55.340]  那你一定比他黑暗
[00:03:55.340 --> 00:03:56.940]  保羅說他是希伯來人
[00:03:56.940 --> 00:03:57.940]  所生的希伯來人
[00:03:57.940 --> 00:03:59.740]  按照律法的義來說
[00:03:59.740 --> 00:04:01.620]  我是毫無指責的
[00:04:01.620 --> 00:04:03.460]  你看到沒有
[00:04:03.460 --> 00:04:05.740]  從當時候的社會法律
[00:04:05.740 --> 00:04:08.100]  從當時候的文化裡面來講
[00:04:08.100 --> 00:04:10.020]  保羅他說我是一個義人
[00:04:10.020 --> 00:04:11.380]  我沒有可指責的
[00:04:11.380 --> 00:04:12.300]  我是這樣子的
[00:04:12.300 --> 00:04:13.620]  為了我的宗教信仰
[00:04:13.620 --> 00:04:16.700]  努力的這邊傳揚
[00:04:16.700 --> 00:04:19.500]  但是保羅他遇見了這一位神之後
