
[00:00:00.000 --> 00:00:05.620]  上兩個星期我們一起慶祝恩泉十五週年的日子
[00:00:05.620 --> 00:00:11.700]  上兩個星期我們一起慶祝恩泉十五週年的紀念
[00:00:11.700 --> 00:00:17.040]  我們一起見證四位牧師的誕生
[00:00:17.040 --> 00:00:20.560]  以及他們過去在神家裡面的遺身
[00:00:20.560 --> 00:00:25.600]  我們一起見證四位牧者在恩泉家誕生
[00:00:25.600 --> 00:00:29.400]  然後一起見證他們過去在恩泉裡面的侍奉
[00:00:29.400 --> 00:00:34.240]  回顧過去十五個年頭
[00:00:34.240 --> 00:00:39.040]  神重用興起的僕人 侍女又怎指這四位呢
[00:00:39.040 --> 00:00:44.520]  神重用使用的僕人 侍女又禁止這四位呢
[00:00:44.520 --> 00:00:49.360]  每一個有角色 沒角色 台前或者幕後
[00:00:49.360 --> 00:00:52.840]  每一個有角色 沒角色 台前或者幕後
[00:00:52.840 --> 00:00:55.880]  出錢又出力的
[00:00:55.880 --> 00:01:01.240]  每一位在台上面的見證
[00:01:01.240 --> 00:01:05.880]  我們有份出席的每一位
[00:01:05.880 --> 00:01:08.320]  又或者當日你未能夠參與得到
[00:01:08.320 --> 00:01:11.920]  如果當天你沒有參與的
[00:01:11.920 --> 00:01:17.800]  神都一定見到你和我有份共見恩泉這個家
[00:01:17.800 --> 00:01:21.600]  神都會看見我們每一個都有份
[00:01:21.600 --> 00:01:24.320]  一起的來共見我們的恩泉家
[00:01:24.320 --> 00:01:33.440]  所以你和我絕對絕對絕對不是一個小的角色
[00:01:33.440 --> 00:01:37.160]  不是小小的土豆
[00:01:37.160 --> 00:01:39.520]  在神的眼中
[00:01:39.520 --> 00:01:47.080]  我們每一個都是獨特的 寶貴的和美麗的
[00:01:47.080 --> 00:01:51.080]  回顧歷史 神的足跡
[00:01:51.080 --> 00:01:57.280]  我們都可以見證到一個又一個屬靈的前輩為神的國擺上
[00:01:57.280 --> 00:02:03.360]  我們都可以見證到屬靈的前輩每一個為神來擺上
[00:02:03.360 --> 00:02:06.360]  他們的生命都留下了美好的榜樣
[00:02:06.360 --> 00:02:09.000]  他們的生命都留下了美好的見證
[00:02:09.000 --> 00:02:13.360]  帶來了基督的使命和生命的成全
[00:02:13.360 --> 00:02:16.600]  帶來了基督的使命和生命的成全
[00:02:16.600 --> 00:02:22.000]  今天神呼召你和我
[00:02:22.000 --> 00:02:26.280]  成為一個越來越有感染力的門徒
[00:02:26.280 --> 00:02:29.120]  成為一個越來越有感染力的門徒
[00:02:29.120 --> 00:02:32.760]  神很希望我們的生命能夠成為活的見證
