
[00:00:00.000 --> 00:00:05.000]  前兩星期有兩位目者與我們分享《羅馬書六章》一至十四節
[00:00:05.000 --> 00:00:07.500]  今天我們看的十五至二十節
[00:00:07.500 --> 00:00:10.200]  其實都是上一段的延伸
[00:00:10.200 --> 00:00:13.200]  在一至十四節提到保羅說
[00:00:13.200 --> 00:00:15.700]  罪不再是我們的主
[00:00:15.700 --> 00:00:16.700]  為什麼呢?
[00:00:16.700 --> 00:00:20.200]  因為耶穌基督已經在十字架上成就了這個救恩
[00:00:20.200 --> 00:00:22.200]  我們已經脫離了罪
[00:00:22.200 --> 00:00:23.200]  他再重申
[00:00:23.200 --> 00:00:25.200]  罪必不能夠作我們的主
[00:00:25.200 --> 00:00:26.500]  為什麼呢?
[00:00:26.500 --> 00:00:28.200]  我們不再在律法之下
[00:00:28.200 --> 00:00:31.200]  我們在恩典之下
[00:00:31.200 --> 00:00:32.500]  十五至二十三節
[00:00:32.500 --> 00:00:33.500]  剛才我提過
[00:00:33.500 --> 00:00:35.500]  是向罪死向神活
[00:00:35.500 --> 00:00:37.200]  一個延伸的解釋
[00:00:37.200 --> 00:00:38.200]  所以你會發現
[00:00:38.200 --> 00:00:41.000]  十五節與第一節很相似
[00:00:41.000 --> 00:00:43.200]  很平衡
[00:00:43.200 --> 00:00:46.200]  保羅用了一個切問句
[00:00:46.200 --> 00:00:49.200]  即是說自己問自己答
[00:00:49.200 --> 00:00:52.200]  他很想說出一個答案給我們知道
[00:00:52.200 --> 00:00:53.700]  承接第五章的時候
[00:00:53.700 --> 00:00:54.700]  保羅說
[00:00:54.700 --> 00:00:58.200]  「只是罪在那裡顯多,恩典就顯多」
[00:00:58.200 --> 00:00:59.700]  即是那裡有很多罪
[00:00:59.700 --> 00:01:02.200]  你會發現我們覺得自己越是多罪
[00:01:02.200 --> 00:01:03.700]  我們就越是感受
[00:01:03.700 --> 00:01:06.200]  神的恩典有多不大
[00:01:06.200 --> 00:01:07.200]  但保羅說
[00:01:07.200 --> 00:01:09.200]  是不是因為這樣的緣故
[00:01:09.200 --> 00:01:11.200]  我們仍然可以在罪中
[00:01:11.200 --> 00:01:13.700]  以至恩典顯多
[00:01:13.700 --> 00:01:15.200]  越是犯多些罪
[00:01:15.200 --> 00:01:16.700]  就越感受神的恩典
[00:01:16.700 --> 00:01:17.700]  是不是這樣呢?
[00:01:17.700 --> 00:01:19.200]  他說不是
[00:01:19.200 --> 00:01:20.200]  斷乎不可
[00:01:20.200 --> 00:01:22.200]  絕對不可以
[00:01:22.200 --> 00:01:24.200]  當他承接六章第一段
[00:01:24.200 --> 00:01:25.700]  保羅再說
[00:01:25.700 --> 00:01:27.700]  「罪必不作我們的主」
[00:01:27.700 --> 00:01:28.700]  剛才我提到
[00:01:28.700 --> 00:01:31.200]  因為我們不在律法之下
[00:01:31.200 --> 00:01:34.700]  我們不是律法來批判我們
[00:01:34.700 --> 00:01:35.700]  審判我們
[00:01:35.700 --> 00:01:37.700]  而是在恩典之下
[00:01:37.700 --> 00:01:39.200]  接著保羅說
[00:01:39.200 --> 00:01:40.200]  如果是這樣
[00:01:40.200 --> 00:01:41.700]  我們在恩典之下
[00:01:41.700 --> 00:01:44.700]  是否仍然可以犯罪呢?
[00:01:44.700 --> 00:01:46.200]  同樣的答案也是
[00:01:46.200 --> 00:01:49.200]  斷乎不可
[00:01:49.200 --> 00:01:52.700]  沒錯,神的恩典很大
[00:01:52.700 --> 00:01:54.700]  不是我們可以想像
[00:01:54.700 --> 00:01:56.700]  但有些人可能會覺得
[00:01:56.700 --> 00:01:58.200]  神的恩典大到一個地步
[00:01:58.200 --> 00:02:01.700]  是會幫我們包底的
[00:02:01.700 --> 00:02:04.200]  你覺得是不是這樣呢?
[00:02:04.200 --> 00:02:05.200]  我想如果當我們說
[00:02:05.200 --> 00:02:06.700]  我們做盡一切的努力
[00:02:06.700 --> 00:02:08.200]  或者付上一切的努力
[00:02:08.200 --> 00:02:09.700]  做到盡了
[00:02:09.700 --> 00:02:11.200]  神說你包底了
[00:02:11.200 --> 00:02:12.200]  我相信神不會
[00:02:12.200 --> 00:02:14.700]  因為神知道我們的限制
[00:02:14.700 --> 00:02:15.700]  聖經說
[00:02:15.700 --> 00:02:18.700]  「在人不能,在神凡事都能」
[00:02:18.700 --> 00:02:20.700]  但弟兄姊妹請你留心
[00:02:20.700 --> 00:02:22.700]  不是當我們做任何事
[00:02:22.700 --> 00:02:24.200]  包括我們犯罪
