
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹,主內平安
[00:00:02.000 --> 00:00:06.500]  我想今天大家都經歷了很不一樣的崇拜
[00:00:06.500 --> 00:00:09.960]  一進來的時候,在外面排隊排了很久
[00:00:09.960 --> 00:00:12.560]  因為我們今天有獻唱,又有神奇故事
[00:00:12.560 --> 00:00:16.500]  剛剛聽神奇故事,或者聽C班去獻唱
[00:00:16.500 --> 00:00:18.000]  或者是我們讚美C哥的時候
[00:00:18.000 --> 00:00:20.400]  我想今天真的有一個很強的訊息
[00:00:20.400 --> 00:00:22.860]  就是我們的盼望
[00:00:22.860 --> 00:00:24.760]  誰是我們的盼望呢?
[00:00:24.760 --> 00:00:27.160]  是神,就是我們的盼望
[00:00:28.000 --> 00:00:30.600]  所以今天我們一起去用詩篇24篇
[00:00:30.600 --> 00:00:33.560]  看看詩人可以怎樣說
[00:00:33.560 --> 00:00:36.800]  盼望的源頭是我們的上帝
[00:00:36.800 --> 00:00:44.120]  我很記得,當我在去年年尾知道要說一個主日
[00:00:44.120 --> 00:00:47.000]  今天是詩篇讚美主日
[00:00:47.000 --> 00:00:50.600]  我要去說一篇詩篇的時候
[00:00:50.600 --> 00:00:53.440]  就立刻令我想起去年的一個片段
[00:00:53.440 --> 00:00:56.600]  去年我曾經帶過積青區
[00:00:56.600 --> 00:00:58.400]  有十幾個弟兄姊妹去查經
[00:00:58.400 --> 00:01:01.760]  隔壁用一些比較深入的方法去了解經文
[00:01:01.760 --> 00:01:04.600]  兩次我們是查詩篇的
[00:01:04.600 --> 00:01:06.600]  我很記得我跟他們說
[00:01:06.600 --> 00:01:08.400]  現在我給你一本詩篇去讀
[00:01:08.400 --> 00:01:13.000]  請你這個星期用半個小時去讀這篇詩篇
[00:01:13.000 --> 00:01:16.960]  然後當時有一個即稱
[00:01:16.960 --> 00:01:18.240]  就立刻WhatsApp問我
[00:01:18.240 --> 00:01:19.240]  Pastor Jason
[00:01:19.240 --> 00:01:22.840]  30秒看完的東西,我怎樣可以看半個小時呢?
[00:01:22.840 --> 00:01:25.240]  30秒我就看完了這篇詩
[00:01:25.720 --> 00:01:27.480]  你叫我看30分鐘,那怎樣呢?
[00:01:27.480 --> 00:01:32.160]  對了,今天是講詩篇
[00:01:32.160 --> 00:01:35.880]  所以也給大家看看一些詩意的圖畫
[00:01:35.880 --> 00:01:39.120]  這張照片我在英國動物園的時候拍的
[00:01:39.120 --> 00:01:41.080]  我手上拿著的那本書
[00:01:41.080 --> 00:01:45.360]  就是一個由他拉比寫的詩篇
[00:01:45.360 --> 00:01:47.680]  就是教我們怎樣看詩篇的
[00:01:47.680 --> 00:01:50.360]  這本書的作者
[00:01:50.360 --> 00:01:53.720]  Jonathan McGinnis
[00:01:53.720 --> 00:01:54.720]  這位拉比
[00:01:54.720 --> 00:01:56.720]  他是這樣說的,在序言裡
[00:01:56.720 --> 00:02:00.880]  如果你想很有效,很明白詩篇說些甚麼
[00:02:00.880 --> 00:02:02.960]  最好的方法
[00:02:02.960 --> 00:02:05.440]  就是去cafe
[00:02:05.440 --> 00:02:07.560]  買杯咖啡
[00:02:07.560 --> 00:02:09.680]  慢慢談
[00:02:09.680 --> 00:02:11.840]  慢慢看
[00:02:11.840 --> 00:02:16.800]  這樣你就可以代入到詩的境界
[00:02:16.800 --> 00:02:20.680]  並且明白詩人想說的是甚麼
[00:02:20.680 --> 00:02:24.240]  所以你今天看到PowerPoint也有很多咖啡
[00:02:24.240 --> 00:02:25.840]  因為大家也很放鬆
[00:02:25.840 --> 00:02:27.720]  雖然我們很趕時間
[00:02:27.720 --> 00:02:29.280]  但是我們很放鬆的
[00:02:29.280 --> 00:02:31.120]  我們慢慢去看看
[00:02:31.120 --> 00:02:34.080]  究竟詩怎樣一層一層的
[00:02:34.080 --> 00:02:36.560]  將它的意思表達給我們看
[00:02:36.560 --> 00:02:41.760]  詩為甚麼要慢慢去讀呢?
[00:02:41.760 --> 00:02:48.320]  第一,因為詩其實要求讀者在不同的場景下
[00:02:48.320 --> 00:02:52.520]  去感受、去體會詩人想表達的訊息
[00:02:53.720 --> 00:02:57.080]  詩篇不像寶羅書信那麼直接
[00:02:57.080 --> 00:02:59.640]  叫你有甚麼可以做,有甚麼不可以做
[00:02:59.640 --> 00:03:02.640]  反而詩用了很多圖畫
[00:03:02.640 --> 00:03:04.440]  很多比喻
[00:03:04.440 --> 00:03:05.760]  我們中國人也是
[00:03:05.760 --> 00:03:07.360]  藏自明月光
[00:03:07.360 --> 00:03:09.520]  月亮不是純粹想說有個月亮
[00:03:09.520 --> 00:03:12.600]  我們很豐富的,月亮表達團圓
[00:03:12.600 --> 00:03:16.840]  猶太一樣,詩、圖畫是不直接的表達
[00:03:16.840 --> 00:03:20.120]  還有它的邏輯不明顯
[00:03:20.120 --> 00:03:24.240]  它要求讀者要浸入去去感受、去體會
[00:03:24.240 --> 00:03:26.880]  詩明白到詩人帶出的訊息
[00:03:26.880 --> 00:03:28.760]  所以你喝咖啡,你越輕鬆的時候
[00:03:28.760 --> 00:03:31.320]  你就越容易投入到詩的世界
[00:03:31.320 --> 00:03:35.800]  而另一個要用三十分鐘去看一篇
[00:03:35.800 --> 00:03:37.920]  三十秒就看完的詩篇的原因
[00:03:37.920 --> 00:03:40.760]  就是因為你去讀一首詩
[00:03:40.760 --> 00:03:42.680]  你要明白它
[00:03:42.680 --> 00:03:45.040]  你是要由一個整體去看的
[00:03:45.040 --> 00:03:47.520]  稍後你會見到詩篇二十四篇
[00:03:47.520 --> 00:03:50.280]  其實由三個不同的部份組成
[00:03:50.280 --> 00:03:53.280]  這三個不同的部份
[00:03:53.280 --> 00:03:55.760]  是三幅不同的圖畫
[00:03:55.760 --> 00:03:58.000]  但是你要明白這二十四篇說什麼
[00:03:58.000 --> 00:04:01.560]  你就要將它這三幅完全沒有拉桿的圖畫
[00:04:01.560 --> 00:04:03.040]  連在一起
[00:04:03.040 --> 00:04:05.400]  找到它的主題
[00:04:05.400 --> 00:04:08.320]  所以這個我也是在想為什麼要喝咖啡
[00:04:08.320 --> 00:04:10.760]  就是因為你要提神
[00:04:10.760 --> 00:04:12.840]  才可以做到這一回事
[00:04:12.840 --> 00:04:16.640]  所以稍後我們會一起
[00:04:16.640 --> 00:04:19.600]  去試試看詩篇二十三篇
[00:04:19.600 --> 00:04:22.600]  看它不同的圖畫想表達什麼
[00:04:22.600 --> 00:04:26.040]  然後將它串連在一起
[00:04:26.040 --> 00:04:29.680]  首先要
[00:04:29.680 --> 00:04:31.840]  一開始的時候跟大家講一講
[00:04:31.840 --> 00:04:34.600]  詩篇二十四篇它想講什麼呢
[00:04:34.600 --> 00:04:36.280]  其實它是想講
[00:04:36.280 --> 00:04:37.680]  神是誰
[00:04:37.680 --> 00:04:39.320]  它要答一個問題
[00:04:39.320 --> 00:04:42.080]  耶和華究竟是誰
[00:04:42.080 --> 00:04:44.240]  所以你見到每一個段落都有耶和華
[00:04:44.240 --> 00:04:46.920]  還有它問了很多關於誰的問題
[00:04:46.920 --> 00:04:48.040]  誰是誰
[00:04:48.040 --> 00:04:48.920]  誰是這個人
[00:04:48.920 --> 00:04:50.680]  誰可以做到這些事情
[00:04:50.680 --> 00:04:52.280]  它問了很多誰
[00:04:52.280 --> 00:04:54.040]  亦都不斷強調耶和華
[00:04:54.040 --> 00:04:55.360]  所以我們看二十四篇的時候
[00:04:55.360 --> 00:04:57.160]  我們要注意作者
[00:04:57.160 --> 00:04:59.920]  他要表達耶和華究竟是誰
[00:04:59.920 --> 00:05:02.440]  好了 說這麼多
[00:05:02.440 --> 00:05:05.640]  我們就不如一起去看看詩篇二十四篇
[00:05:05.640 --> 00:05:07.480]  我們首先拿個概念
[00:05:07.480 --> 00:05:08.240]  OK
[00:05:08.240 --> 00:05:10.280]  不如我們一起讀好嗎
[00:05:10.280 --> 00:05:12.480]  準備 一 二 三
[00:05:12.480 --> 00:05:15.240]  地和其中所充滿的
[00:05:15.240 --> 00:05:17.760]  世界和住在其中的
[00:05:17.760 --> 00:05:19.840]  都屬耶和華
[00:05:19.840 --> 00:05:22.680]  祂把地建立在海上
[00:05:22.680 --> 00:05:25.280]  安定在江河之上
[00:05:25.280 --> 00:05:27.480]  首先我們剛剛唱詩歌
[00:05:27.480 --> 00:05:30.560]  這一次天賦世界
