
[00:00:00.000 --> 00:00:08.180]  我們每個基督徒都知道我們要去實踐或者遵行或者履行這個大使命
[00:00:08.180 --> 00:00:12.700]  在《馬特弗林第十八章》第十九二十節耶穌這樣說
[00:00:12.700 --> 00:00:18.700]  "所以你們要去使萬民作我的門徒,奉父之聖靈的名,爲他們施浸飯"
[00:00:18.700 --> 00:00:22.500]  我所教訓你們或者吩咐你們的,都要教導他們遵守
[00:00:22.500 --> 00:00:27.220]  "那我就天天與你們同在,直到世代的終結"
[00:00:27.220 --> 00:00:29.660]  這個是和收本的經文
[00:00:29.660 --> 00:00:34.780]  因爲告訴我們,其實我們每個人都要去做這種工作
[00:00:34.780 --> 00:00:40.700]  這個知道就是"what to do",就是我們應該去做
[00:00:40.700 --> 00:00:44.900]  但是,有時候我們都會問一個問題,就是"how"
[00:00:44.900 --> 00:00:47.140]  應該怎樣去做呢?
[00:00:47.140 --> 00:00:52.740]  我們面對的是有限的資源、有限的能力、有限的地域
[00:00:52.740 --> 00:00:58.180]  我們怎樣去將福音更加有效地傳開去呢?
[00:00:58.180 --> 00:01:05.300]  當耶穌在他昇天之前,將大聖面交給這十一個
[00:01:05.300 --> 00:01:13.100]  或者有人說是一百二十個的追隨者,十二個門徒的時候
[00:01:13.100 --> 00:01:16.820]  當時的環境和現在是很不同的
[00:01:16.820 --> 00:01:20.900]  現在起碼都能開車三千里過來
[00:01:20.900 --> 00:01:35.060]  當時的交通、資源、資訊、科技等等,和今天都差很遠
[00:01:35.060 --> 00:01:43.780]  你要將福音傳到地極,去到世界的盡頭的時候
[00:01:43.780 --> 00:01:46.620]  是否有可能做得到呢?大家試想一下
[00:01:46.620 --> 00:01:50.340]  當時的交通、資訊是否真的有能力
[00:01:50.340 --> 00:01:54.700]  這十二個門徒可以將福音傳到地極
[00:01:54.700 --> 00:01:59.340]  傳到澳洲、傳到南極、傳到俄羅斯、傳到美國
[00:01:59.340 --> 00:02:03.060]  有沒有可能做得到呢?在終生的日子裏面
[00:02:03.060 --> 00:02:09.860]  當然有些解經家說這是一代傳一代的使命
[00:02:09.860 --> 00:02:13.540]  但是我們在很多學者的研究裏面
[00:02:13.540 --> 00:02:21.220]  特別有一個在貝拉的社會科學教授叫做Watley Stark
[00:02:21.220 --> 00:02:25.540]  Watley Stark他寫了一本書叫The Rise of Christianity
[00:02:25.540 --> 00:02:27.540]  就是基督教的興起
[00:02:27.540 --> 00:02:31.220]  這本書很出名,就是研究基督教的興起
[00:02:31.220 --> 00:02:37.380]  Watley Stark他做的研究就是估計,粗略估計
[00:02:37.380 --> 00:02:46.980]  基督徒在主後150年到主後300年,150年間
[00:02:46.980 --> 00:02:57.140]  基督徒的數字是由差不多4萬人增長到600萬人
[00:02:57.140 --> 00:03:01.540]  是由4萬人在150年之內
[00:03:01.540 --> 00:03:08.900]  大家知道那150年是基督徒面對最大的逼迫的時代
[00:03:08.900 --> 00:03:13.300]  就是羅馬帝國的皇帝迫害基督徒的時代
[00:03:13.300 --> 00:03:19.940]  直到326年當昆士蘭丁停止了迫害
[00:03:19.940 --> 00:03:29.380]  甚至將基督教慢慢成爲羅馬帝國的信仰
[00:03:29.380 --> 00:03:35.140]  但是150年到300年這一段被迫害得最嚴重的時間
[00:03:35.140 --> 00:03:37.540]  反而是增長得最快
[00:03:37.540 --> 00:03:45.620]  由4萬人在150年之後,是增長十幾倍到600萬個基督徒
[00:03:45.620 --> 00:03:50.900]  我們就要問,究竟初期的仕途
[00:03:50.900 --> 00:03:56.100]  他們沒有我們這樣的資訊,沒有今天這麼多的科技
[00:03:56.100 --> 00:03:58.500]  沒有今天這麼多的所謂的方法
