
[00:00:00.000 --> 00:00:04.600]  今天講的是大時代中的小故事
[00:00:04.600 --> 00:00:08.200]  我們知道六雲記過去有很多大人物
[00:00:08.200 --> 00:00:12.360]  阿蝦 若嵐 約莎法
[00:00:12.360 --> 00:00:18.660]  但今天有很多小故事很值得我們在這章的經文去思考
[00:00:18.660 --> 00:00:23.200]  在網上找到一個頗有趣的笑話
[00:00:23.200 --> 00:00:27.000]  講到一個太太剛剛她老公離開 走了
[00:00:27.000 --> 00:00:28.960]  以後都不回來了
[00:00:28.960 --> 00:00:32.340]  只剩下她和兩個很小的小朋友
[00:00:32.340 --> 00:00:34.600]  有一次她很失望
[00:00:34.600 --> 00:00:35.840]  就和神祈禱
[00:00:35.840 --> 00:00:37.640]  我老公走了
[00:00:37.640 --> 00:00:38.960]  她拿走了所有東西
[00:00:38.960 --> 00:00:40.300]  我現在沒有東西做
[00:00:40.300 --> 00:00:43.240]  神啊 你不要讓我中六合彩
[00:00:43.240 --> 00:00:46.800]  祈禱兩個月後都沒有中
[00:00:46.800 --> 00:00:49.200]  她又祈禱了
[00:00:49.200 --> 00:00:52.100]  將小朋友帶去睡覺之後
[00:00:52.100 --> 00:00:53.800]  神啊 真的很不妥
[00:00:53.800 --> 00:00:56.500]  這次人們來拿我的房子走了
[00:00:56.500 --> 00:00:57.900]  我又還沒有東西做
[00:00:57.900 --> 00:00:59.100]  我要中六合彩
[00:00:59.100 --> 00:01:00.900]  神啊 你幫我中六合彩吧
[00:01:00.900 --> 00:01:02.100]  又沒有東西發生
[00:01:02.100 --> 00:01:03.600]  兩個月後又祈禱了
[00:01:03.600 --> 00:01:05.060]  神啊 真的來拿我的房子了
[00:01:05.060 --> 00:01:06.700]  這次吃都沒得吃了
[00:01:06.700 --> 00:01:09.340]  怎麼辦 神啊 你幫我中六合彩吧
[00:01:09.340 --> 00:01:11.300]  就是當她站第三次的時候
[00:01:11.300 --> 00:01:13.400]  有個光從天上射下
[00:01:13.400 --> 00:01:14.160]  就和她說
[00:01:14.160 --> 00:01:15.440]  女兒啊
[00:01:15.440 --> 00:01:17.200]  你要我幫你中六合彩
