
[00:00:00.000 --> 00:00:03.480]  我這裡又選了一首歌的歌詞
[00:00:03.480 --> 00:00:07.940]  可能你們聽過 應該是上年很流行的歌
[00:00:07.940 --> 00:00:09.540]  叫《神愛世人》
[00:00:09.540 --> 00:00:12.240]  它說 像突然沒收 突然沒有
[00:00:12.240 --> 00:00:16.080]  浸沒了感受 似燈光一色 關上了門口
[00:00:16.080 --> 00:00:18.920]  聽說過神愛很多人 很可能
[00:00:18.920 --> 00:00:22.560]  數我亦有份 我兩卻活到這世人
[00:00:22.560 --> 00:00:24.960]  這世人 不似事過人
[00:00:24.960 --> 00:00:27.560]  我悄悄問我一生人怎可能
[00:00:27.560 --> 00:00:30.680]  早注定餘生 雙眼內沒有神
[00:00:30.680 --> 00:00:33.400]  仍望著你的淚印
[00:00:33.400 --> 00:00:35.640]  我想你大概捕捉到那種情緒
[00:00:35.640 --> 00:00:37.920]  其實是一種很絕望
[00:00:37.920 --> 00:00:42.580]  都在問 究竟我為何還在做人呢
[00:00:42.580 --> 00:00:44.880]  一種很絕望的情緒在裡面
[00:00:44.880 --> 00:00:47.280]  但這首歌很流行
[00:00:47.280 --> 00:00:50.420]  都反映香港人的一種情緒
[00:00:50.420 --> 00:00:54.800]  一種很有代表性的一種感覺
[00:00:57.760 --> 00:01:01.800]  我們有人說這個年代叫創傷的時代
[00:01:01.800 --> 00:01:04.600]  如果你有看我寫的
[00:01:04.600 --> 00:01:07.740]  都是時代論壇經常寫 經常說創傷
[00:01:07.740 --> 00:01:11.440]  學生取笑我 叫我做創傷之鬼
[00:01:11.440 --> 00:01:13.140]  是日文來的
[00:01:13.140 --> 00:01:18.240]  我這幾年自己都有很多經歷
[00:01:18.240 --> 00:01:22.460]  我有家人都是經歷校園欺凌
[00:01:22.460 --> 00:01:27.460]  接著有創傷 有情緒病
[00:01:27.460 --> 00:01:31.360]  不只是我家人
[00:01:31.360 --> 00:01:36.300]  其實香港很多人都經歷過創傷的經驗
[00:01:36.300 --> 00:01:43.280]  難以去描述 難以去頂住的經驗
[00:01:43.280 --> 00:01:44.980]  很痛苦的經驗
[00:01:44.980 --> 00:01:51.220]  你看看全世界很多地方都同樣經歷相類的事情
[00:01:51.220 --> 00:01:53.220]  911襲擊
[00:01:53.220 --> 00:01:55.720]  不過你們很小 還沒出生
[00:01:55.720 --> 00:01:59.160]  另外就是最近的大埔火災
[00:01:59.160 --> 00:02:02.360]  我們太古城都經歷過一些事情
[00:02:02.360 --> 00:02:06.400]  我都看到八卦相教會的網站
[00:02:06.400 --> 00:02:13.280]  其實都很快有些活動幫助大家一起去面對這件事
[00:02:13.280 --> 00:02:19.080]  在創傷的時代我們應該怎樣去照顧自己
[00:02:19.080 --> 00:02:21.420]  還有照顧身邊的人
[00:02:21.420 --> 00:02:23.420]  特別今天我們青少年主日
[00:02:23.420 --> 00:02:26.620]  其實香港的青少年是很艱難的
[00:02:26.620 --> 00:02:30.220]  你想想如果養一江魚
[00:02:30.220 --> 00:02:32.220]  牠忽然之間死了
[00:02:32.220 --> 00:02:34.220]  或者有些死了
[00:02:34.220 --> 00:02:36.220]  你都會問發生什麼事
[00:02:36.220 --> 00:02:41.300]  但原來香港很多年青人都會自尋短見
[00:02:41.300 --> 00:02:44.540]  或者叫做輕生的事情
[00:02:44.540 --> 00:02:47.540]  都是在反映香港這個社會出了問題
