
[00:00:00.000 --> 00:00:07.000]  我們是以詩篇119篇作為一個中心
[00:00:07.000 --> 00:00:17.000]  這一篇詩篇就是告訴我們聖經,就是神的話,帶來全屏
[00:00:27.000 --> 00:00:33.000]  詩篇是聖經中篇幅最多的一卷
[00:00:33.000 --> 00:00:38.000]  詩篇66卷,詩篇是最長的
[00:00:38.000 --> 00:00:47.000]  而且第119篇又是詩篇裡頭最長的一篇
[00:00:47.000 --> 00:00:50.000]  一共有176節
[00:00:53.000 --> 00:01:00.000]  我們講到詩篇119篇就會想像到這是一篇很長的詩篇
[00:01:00.000 --> 00:01:05.000]  在歷史上曾經有一次的話
[00:01:05.000 --> 00:01:11.000]  英國那個時候有教會受到逼迫
[00:01:11.000 --> 00:01:15.000]  有國家教會來逼迫一般的教會
[00:01:15.000 --> 00:01:19.000]  有些不參加國家教會的就會受到逼迫
[00:01:19.000 --> 00:01:25.000]  所以英國有一個傳道人受到這樣的逼迫以後
[00:01:25.000 --> 00:01:32.000]  就判處他死刑,要把他放在腳架上吊死
[00:01:32.000 --> 00:01:40.000]  那個時候按照當時的習俗
[00:01:40.000 --> 00:01:49.000]  允許被處死的犯人在臨死以前可以唱一篇詩篇
[00:01:49.000 --> 00:01:57.000]  這位傳道人的弟兄就選了119篇
[00:01:57.000 --> 00:01:59.000]  他要唱119篇
[00:01:59.000 --> 00:02:06.000]  他唱到詩篇差不多是三分之二的時候
[00:02:06.000 --> 00:02:08.000]  還沒有唱到三分之二
[00:02:09.000 --> 00:02:13.000]  立刻有一個人傳送一個命令來了
[00:02:13.000 --> 00:02:19.000]  說赦免他,就判處他死刑了
[00:02:19.000 --> 00:02:22.000]  結果他就活下來了
[00:02:22.000 --> 00:02:27.000]  176篇聖經能夠都背下來
[00:02:27.000 --> 00:02:32.000]  而且在臨死的時候還能夠這樣唱出來
[00:02:32.000 --> 00:02:34.000]  的確是很不容易
[00:02:34.000 --> 00:02:42.000]  所以這個弟兄這個傳道人實在對神的話是非常的喜愛
[00:02:42.000 --> 00:02:46.000]  非常的覺得非常寶貴
[00:02:46.000 --> 00:02:55.000]  這詩篇119篇一封得22段
[00:02:55.000 --> 00:03:00.000]  我們中文聖經你就看叫和合本聖經
[00:03:00.000 --> 00:03:02.000]  就會把它封得22段
[00:03:02.000 --> 00:03:04.000]  每一段是八節
[00:03:04.000 --> 00:03:08.000]  都是用同一個字母開始
[00:03:08.000 --> 00:03:14.000]  這個22段是按照希伯來文的
[00:03:14.000 --> 00:03:16.000]  它們是22個字母
[00:03:16.000 --> 00:03:19.000]  從這個A好像像英文一樣
[00:03:19.000 --> 00:03:21.000]  從ABCP一直排下來
[00:03:21.000 --> 00:03:26.000]  所以每八節都是以頭一個字
[00:03:26.000 --> 00:03:32.000]  頭一個字每一個字的第一個字的第一個字母
[00:03:32.000 --> 00:03:35.000]  就是這個A或者你只是A
[00:03:35.000 --> 00:03:37.000]  頭八節是A
[00:03:37.000 --> 00:03:40.000]  那麼每一節一二三四五六七八
