
[00:00:00.000 --> 00:00:03.000]  天父 謝謝你的恩典 是你的恩典
[00:00:03.000 --> 00:00:06.240]  能夠讓我們看到這樣一個愛的信息
[00:00:06.240 --> 00:00:09.300]  從易寧的身上 我們卻可以看到
[00:00:09.300 --> 00:00:12.340]  天父 當你降生爲人 爲我們救主的時候
[00:00:12.340 --> 00:00:15.340]  我們的生命可以發生怎樣的改變
[00:00:15.340 --> 00:00:18.340]  我們的生命可以發生怎樣的改變
[00:00:18.340 --> 00:00:21.340]  從一個完全被世俗去充滿的人 變成一個
[00:00:21.340 --> 00:00:24.340]  可以完全道空自己 然後與救主相遇的
[00:00:24.340 --> 00:00:27.340]  這樣一個被神的愛充滿了全新的人
[00:00:27.340 --> 00:00:30.340]  不單單是我們自己被主你來充滿
[00:00:30.340 --> 00:00:33.340]  我們和我們的一家都藉着你來得救
[00:00:33.340 --> 00:00:36.340]  我們和我們的一家都藉着你來得救
[00:00:36.340 --> 00:00:39.340]  主啊 這是一個何等愛的信息 就求你來祝福
[00:00:39.340 --> 00:00:42.340]  讓我們用今天聖誕節的時間
[00:00:42.340 --> 00:00:45.340]  一起來思想你跟我們的關係
[00:00:45.340 --> 00:00:48.340]  來去思想我們作爲人如何來回應
[00:00:48.340 --> 00:00:51.340]  你爲我們所設立的
[00:00:51.340 --> 00:00:54.340]  這一個愛的邀請 也如何能夠去回應
[00:00:54.340 --> 00:00:57.340]  我們在心裏面常常也許都不知道
[00:00:57.340 --> 00:01:00.340]  是向你已經做的禱告
[00:01:00.340 --> 00:01:03.340]  天父就願你今天祝福我們 親自與我們同在
[00:01:03.340 --> 00:01:06.340]  禱告奉耶穌基督的名
[00:01:06.340 --> 00:01:09.340]  聖誕節呢 是一個很快樂的日子
[00:01:09.340 --> 00:01:12.340]  是一個很開心的季節
[00:01:12.340 --> 00:01:15.340]  各大商場呢 都會有各種的打折
[00:01:15.340 --> 00:01:18.340]  那我們看到在教會里面 也會有非常漂亮的
[00:01:18.340 --> 00:01:21.340]  這個聖誕的裝飾 但是聖誕節呢
[00:01:21.340 --> 00:01:24.340]  其實也是一個平安的季節
[00:01:24.340 --> 00:01:27.340]  在傳統的教會傳統當中呢
[00:01:27.340 --> 00:01:30.340]  是用各種的禮儀 還有一個預備的心
[00:01:30.340 --> 00:01:33.340]  是一個安靜的心 來迎接聖誕節
[00:01:33.340 --> 00:01:36.340]  在這個安靜的過程當中
[00:01:36.340 --> 00:01:39.340]  我們不僅僅是在這一天
