
[00:00:00.000 --> 00:00:04.200]  很開心今天可以跟大家分享訊息
[00:00:04.200 --> 00:00:08.200]  很想說之前想給大家看一張照片
[00:00:08.200 --> 00:00:13.400]  大家有沒有人看得出或猜到這是一個什麼歷史場景呢?
[00:00:13.400 --> 00:00:14.800]  給一些貼士,有點難的
[00:00:14.800 --> 00:00:21.200]  就是中國一個很著名的戰爭的事跡
[00:00:21.200 --> 00:00:23.600]  這裡聽到好像有點答案
[00:00:23.600 --> 00:00:27.800]  再給一些提示,就是跟很多船、很多火有關的
[00:00:27.800 --> 00:00:32.600]  是的,大家都相信,就是赤壁之戰、火燒連環船
[00:00:32.600 --> 00:00:37.000]  有沒有人都聽過這個事跡,你輕輕揮一揮手
[00:00:37.000 --> 00:00:41.200]  都很多,因為即使不是熟悉歷史事跡的人
[00:00:41.200 --> 00:00:42.800]  都應該聽過這件事
[00:00:42.800 --> 00:00:45.800]  因為可能身邊的人或者電視、電影都有
[00:00:45.800 --> 00:00:48.800]  甚至認識這個場景的人物
[00:00:48.800 --> 00:00:51.000]  譬如有什麼歷史人物,這個場景
[00:00:51.000 --> 00:00:54.600]  可能有諸葛亮、周瑜、曹操他們
[00:00:54.600 --> 00:00:59.400]  但是我想問你們,這個關於三國歷史的事跡
[00:00:59.400 --> 00:01:05.400]  或者三國歷史,有沒有人知道三國歷史的結局是怎樣的?
[00:01:05.400 --> 00:01:09.200]  這個就有點難了,究竟三國是偽屬誤
[00:01:09.200 --> 00:01:13.400]  哪一個國的君王最後統一了天下呢?
[00:01:13.400 --> 00:01:16.800]  有沒有人知道的?如果你知道就輕輕揮一揮手
[00:01:16.800 --> 00:01:19.600]  馬上少很多了,都有的
[00:01:19.600 --> 00:01:21.000]  這個都是很有趣的
[00:01:21.000 --> 00:01:24.800]  因為電視很少會拍三國歷史的結局
[00:01:24.800 --> 00:01:27.600]  為什麼?因為沒有一些很精彩的場面
[00:01:27.600 --> 00:01:31.400]  沒有赤壁之戰這麼豐富的戲劇性去拍出來
[00:01:31.400 --> 00:01:36.200]  所以除非你真的看歷史、看書、去找資料
[00:01:36.200 --> 00:01:41.800]  如果不是,你真的不會知道這個三國歷史的結局
[00:01:41.800 --> 00:01:44.600]  同樣,我今天想和大家分享
[00:01:44.600 --> 00:01:46.400]  在《聖經》裏面也是的
[00:01:46.400 --> 00:01:49.600]  我們有很多很出名的事跡人物
[00:01:49.600 --> 00:01:52.800]  譬如大衛,一定聽過
[00:01:52.800 --> 00:01:57.000]  大衛在非正式統計是香港教會兒童崇拜裏面
[00:01:57.000 --> 00:01:59.200]  用得最多的《聖經》人物
[00:01:59.200 --> 00:02:00.200]  知不知道為什麼?
[00:02:00.200 --> 00:02:03.000]  這個是我自己的非正式統計
[00:02:03.000 --> 00:02:04.400]  是教會成長
[00:02:04.400 --> 00:02:09.400]  我們都知道很多《聖經》裏面的人物的一些厲害的事跡
[00:02:09.400 --> 00:02:12.000]  譬如大衛、所羅門,很多事跡的
[00:02:12.000 --> 00:02:15.600]  但是他們的結局,我們又記不記得呢?
[00:02:15.600 --> 00:02:18.800]  一說到他們的結局,可能你就會想不到
[00:02:18.800 --> 00:02:20.400]  《聖經》有沒有說的
[00:02:20.400 --> 00:02:25.000]  所以今天很想透過三個我們很熟悉的人物
[00:02:25.000 --> 00:02:28.800]  去將他們在《聖經》裏面被描述的結局
[00:02:28.800 --> 00:02:31.200]  去對比、去反思
[00:02:31.200 --> 00:02:34.200]  目的是去審查我們的生命
[00:02:34.200 --> 00:02:37.600]  所以這個時間我們有一個祈禱開始
[00:02:37.600 --> 00:02:39.000]  祈主我們多謝祢
[00:02:39.000 --> 00:02:42.000]  因為祢的恩典叫我們可以在這個地方
[00:02:42.000 --> 00:02:43.000]  所以主我求神
[00:02:43.000 --> 00:02:46.200]  祢的話語親自成為我們生命的激勵
[00:02:46.200 --> 00:02:49.200]  並且幫助我們聽道行道
[00:02:49.200 --> 00:02:52.200]  我們反思我們怎樣去回應
